MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 20, max_th = 1.131896e+00, time=2024-09-03 10:05:30 
jj1 = 5, max_th = 1.134285e+00, time=2024-09-03 10:07:45 
jj1 = 50, max_th = 2.492939e+00, time=2024-09-03 10:12:48 
jj1 = 40, max_th = 1.703890e+00, time=2024-09-03 10:15:14 
jj1 = 10, max_th = 2.191828e+00, time=2024-09-03 10:20:06 
jj1 = 45, max_th = 2.555595e+00, time=2024-09-03 10:22:10 
jj1 = 25, max_th = 1.795513e+00, time=2024-09-03 10:22:31 
jj1 = 55, max_th = 2.169483e+00, time=2024-09-03 10:23:53 
jj1 = 60, max_th = 1.912153e+00, time=2024-09-03 10:24:38 
jj1 = 30, max_th = 1.860964e+00, time=2024-09-03 10:24:58 
jj1 = 35, max_th = 1.965032e+00, time=2024-09-03 10:25:26 
jj1 = 19, max_th = 1.718864e+00, time=2024-09-03 10:25:52 
jj1 = 39, max_th = 2.769042e+00, time=2024-09-03 10:28:22 
jj1 = 49, max_th = 2.396699e+00, time=2024-09-03 10:30:10 
jj1 = 15, max_th = 1.929558e+00, time=2024-09-03 10:30:19 
jj1 = 9, max_th = 2.539586e+00, time=2024-09-03 10:31:44 
jj1 = 14, max_th = 3.130880e+00, time=2024-09-03 10:32:23 
jj1 = 38, max_th = 1.068324e+00, time=2024-09-03 10:33:38 
jj1 = 4, max_th = 1.677332e+00, time=2024-09-03 10:35:04 
jj1 = 13, max_th = 2.971473e+00, time=2024-09-03 10:37:33 
jj1 = 44, max_th = 1.302247e+00, time=2024-09-03 10:41:16 
jj1 = 18, max_th = 2.525894e+00, time=2024-09-03 10:42:49 
jj1 = 29, max_th = 2.202039e+00, time=2024-09-03 10:42:54 
jj1 = 54, max_th = 2.009390e+00, time=2024-09-03 10:48:12 
jj1 = 59, max_th = 1.834849e+00, time=2024-09-03 10:49:16 
jj1 = 24, max_th = 2.083686e+00, time=2024-09-03 10:51:16 
jj1 = 53, max_th = 1.156783e+00, time=2024-09-03 10:52:06 
jj1 = 17, max_th = 1.207556e+00, time=2024-09-03 10:54:58 
jj1 = 12, max_th = 2.327392e+00, time=2024-09-03 10:55:26 
jj1 = 3, max_th = 1.975549e+00, time=2024-09-03 10:55:49 
jj1 = 37, max_th = 2.185656e+00, time=2024-09-03 10:56:03 
jj1 = 48, max_th = 2.148453e+00, time=2024-09-03 10:56:35 
jj1 = 34, max_th = 2.179469e+00, time=2024-09-03 11:00:32 
jj1 = 28, max_th = 2.625506e+00, time=2024-09-03 11:01:42 
jj1 = 43, max_th = 1.892971e+00, time=2024-09-03 11:03:45 
jj1 = 8, max_th = 2.288956e+00, time=2024-09-03 11:03:48 
jj1 = 27, max_th = 3.044085e+00, time=2024-09-03 11:04:11 
jj1 = 7, max_th = 1.220141e+00, time=2024-09-03 11:07:17 
jj1 = 23, max_th = 2.506724e+00, time=2024-09-03 11:08:06 
jj1 = 2, max_th = 2.608974e+00, time=2024-09-03 11:09:20 
jj1 = 11, max_th = 2.619258e+00, time=2024-09-03 11:10:33 
jj1 = 16, max_th = 1.636425e+00, time=2024-09-03 11:11:23 
jj1 = 52, max_th = 2.358085e+00, time=2024-09-03 11:11:53 
jj1 = 33, max_th = 1.610455e+00, time=2024-09-03 11:15:01 
jj1 = 47, max_th = 1.700291e+00, time=2024-09-03 11:15:43 
jj1 = 26, max_th = 1.282769e+00, time=2024-09-03 11:15:55 
jj1 = 58, max_th = 1.778043e+00, time=2024-09-03 11:16:46 
jj1 = 177, max_th = 2.436584e+00, time=2024-09-03 11:17:41 
jj1 = 36, max_th = 1.792914e+00, time=2024-09-03 11:18:20 
jj1 = 6, max_th = 2.212869e+00, time=2024-09-03 11:26:37 
jj1 = 32, max_th = 2.904421e+00, time=2024-09-03 11:27:39 
jj1 = 46, max_th = 1.193433e+00, time=2024-09-03 11:28:17 
jj1 = 216, max_th = 1.408289e+00, time=2024-09-03 11:29:12 
jj1 = 42, max_th = 2.222898e+00, time=2024-09-03 11:30:52 
jj1 = 31, max_th = 8.759556e-01, time=2024-09-03 11:32:00 
jj1 = 1, max_th = 1.566441e+00, time=2024-09-03 11:32:37 
jj1 = 51, max_th = 2.209039e+00, time=2024-09-03 11:33:00 
jj1 = 489, max_th = 3.295757e+00, time=2024-09-03 11:33:14 
jj1 = 372, max_th = 2.353602e+00, time=2024-09-03 11:35:23 
jj1 = 22, max_th = 2.020013e+00, time=2024-09-03 11:36:36 
