MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 35, max_th = 8.974832e-01, time=2025-04-15 09:56:34 
jj1 = 20, max_th = 2.974462e+00, time=2025-04-15 09:57:16 
jj1 = 40, max_th = 2.771365e+00, time=2025-04-15 10:00:30 
jj1 = 25, max_th = 1.574914e+00, time=2025-04-15 10:02:55 
jj1 = 5, max_th = 1.373914e+00, time=2025-04-15 10:05:17 
jj1 = 30, max_th = 2.576833e+00, time=2025-04-15 10:05:40 
jj1 = 45, max_th = 1.504357e+00, time=2025-04-15 10:06:18 
jj1 = 29, max_th = 7.805811e-01, time=2025-04-15 10:09:02 
jj1 = 55, max_th = 1.656005e+00, time=2025-04-15 10:10:51 
jj1 = 10, max_th = 1.722110e+00, time=2025-04-15 10:11:48 
jj1 = 60, max_th = 2.148439e+00, time=2025-04-15 10:12:20 
jj1 = 50, max_th = 1.886540e+00, time=2025-04-15 10:15:59 
jj1 = 15, max_th = 2.025721e+00, time=2025-04-15 10:16:07 
jj1 = 34, max_th = 1.976845e+00, time=2025-04-15 10:18:30 
jj1 = 44, max_th = 2.411232e+00, time=2025-04-15 10:19:45 
jj1 = 4, max_th = 2.402054e+00, time=2025-04-15 10:20:21 
jj1 = 19, max_th = 2.224037e+00, time=2025-04-15 10:21:02 
jj1 = 39, max_th = 2.234480e+00, time=2025-04-15 10:22:58 
jj1 = 59, max_th = 1.322218e+00, time=2025-04-15 10:23:15 
jj1 = 18, max_th = 2.675782e+00, time=2025-04-15 10:26:44 
jj1 = 54, max_th = 1.438840e+00, time=2025-04-15 10:27:56 
jj1 = 9, max_th = 2.344753e+00, time=2025-04-15 10:28:20 
jj1 = 24, max_th = 1.771123e+00, time=2025-04-15 10:28:46 
jj1 = 8, max_th = 8.119720e-01, time=2025-04-15 10:31:11 
jj1 = 28, max_th = 1.978671e+00, time=2025-04-15 10:33:20 
jj1 = 49, max_th = 1.643593e+00, time=2025-04-15 10:34:48 
jj1 = 14, max_th = 1.692347e+00, time=2025-04-15 10:34:55 
jj1 = 3, max_th = 1.564357e+00, time=2025-04-15 10:35:10 
jj1 = 58, max_th = 1.315067e+00, time=2025-04-15 10:35:34 
jj1 = 53, max_th = 1.436187e+00, time=2025-04-15 10:39:30 
jj1 = 43, max_th = 2.243526e+00, time=2025-04-15 10:40:25 
jj1 = 33, max_th = 1.895041e+00, time=2025-04-15 10:40:46 
jj1 = 52, max_th = 2.912242e+00, time=2025-04-15 10:43:20 
jj1 = 42, max_th = 9.041606e-01, time=2025-04-15 10:43:27 
jj1 = 7, max_th = 1.430241e+00, time=2025-04-15 10:46:19 
jj1 = 13, max_th = 2.524906e+00, time=2025-04-15 10:46:49 
jj1 = 17, max_th = 2.047445e+00, time=2025-04-15 10:47:09 
jj1 = 38, max_th = 2.035788e+00, time=2025-04-15 10:48:53 
jj1 = 41, max_th = 1.134427e+00, time=2025-04-15 10:49:44 
jj1 = 23, max_th = 1.778888e+00, time=2025-04-15 10:50:42 
jj1 = 48, max_th = 1.803144e+00, time=2025-04-15 10:52:25 
jj1 = 27, max_th = 1.796073e+00, time=2025-04-15 10:54:04 
jj1 = 57, max_th = 2.335589e+00, time=2025-04-15 10:55:34 
jj1 = 2, max_th = 1.758239e+00, time=2025-04-15 10:56:51 
jj1 = 32, max_th = 2.403982e+00, time=2025-04-15 10:59:05 
jj1 = 16, max_th = 1.556592e+00, time=2025-04-15 11:01:31 
jj1 = 1, max_th = 1.060979e+00, time=2025-04-15 11:02:50 
jj1 = 411, max_th = 2.149304e+00, time=2025-04-15 11:06:35 
jj1 = 51, max_th = 1.809490e+00, time=2025-04-15 11:06:57 
jj1 = 47, max_th = 1.483737e+00, time=2025-04-15 11:07:06 
jj1 = 410, max_th = 3.117960e+00, time=2025-04-15 11:08:31 
jj1 = 6, max_th = 1.766811e+00, time=2025-04-15 11:08:44 
jj1 = 31, max_th = 1.257699e+00, time=2025-04-15 11:09:14 
jj1 = 12, max_th = 2.062901e+00, time=2025-04-15 11:10:03 
jj1 = 37, max_th = 2.166238e+00, time=2025-04-15 11:12:11 
jj1 = 22, max_th = 2.017018e+00, time=2025-04-15 11:14:42 
jj1 = 56, max_th = 2.239747e+00, time=2025-04-15 11:15:52 
jj1 = 26, max_th = 1.933251e+00, time=2025-04-15 11:18:21 
jj1 = 528, max_th = 7.289780e-01, time=2025-04-15 11:18:22 
jj1 = 216, max_th = 1.630636e+00, time=2025-04-15 11:20:38 
jj1 = 46, max_th = 2.315007e+00, time=2025-04-15 11:20:40 
jj1 = 36, max_th = 2.580951e+00, time=2025-04-15 11:25:49 
jj1 = 215, max_th = 2.817275e+00, time=2025-04-15 11:27:12 
jj1 = 99, max_th = 1.826214e+00, time=2025-04-15 11:27:15 
jj1 = 372, max_th = 5.901477e-01, time=2025-04-15 11:28:16 
jj1 = 489, max_th = 1.826705e+00, time=2025-04-15 11:29:02 
jj1 = 138, max_th = 2.233679e+00, time=2025-04-15 11:30:12 
jj1 = 333, max_th = 1.957667e+00, time=2025-04-15 11:31:01 
jj1 = 409, max_th = 1.968019e+00, time=2025-04-15 11:32:52 
jj1 = 11, max_th = 2.036909e+00, time=2025-04-15 11:34:11 
jj1 = 294, max_th = 1.431804e+00, time=2025-04-15 11:35:43 
jj1 = 488, max_th = 2.642004e+00, time=2025-04-15 11:39:03 
jj1 = 21, max_th = 2.043796e+00, time=2025-04-15 11:39:04 
jj1 = 527, max_th = 1.760926e+00, time=2025-04-15 11:40:07 
jj1 = 98, max_th = 1.424763e+00, time=2025-04-15 11:45:23 
jj1 = 450, max_th = 1.852923e+00, time=2025-04-15 11:46:31 
jj1 = 332, max_th = 1.434621e+00, time=2025-04-15 11:57:18 
jj1 = 371, max_th = 2.047847e+00, time=2025-04-15 11:57:30 
jj1 = 255, max_th = 1.451026e+00, time=2025-04-15 12:00:41 
jj1 = 214, max_th = 2.161781e+00, time=2025-04-15 12:01:34 
jj1 = 487, max_th = 2.586775e+00, time=2025-04-15 12:01:38 
jj1 = 408, max_th = 2.011199e+00, time=2025-04-15 12:05:42 
jj1 = 177, max_th = 1.632527e+00, time=2025-04-15 12:09:39 
jj1 = 254, max_th = 8.303945e-01, time=2025-04-15 12:10:07 
jj1 = 293, max_th = 1.739954e+00, time=2025-04-15 12:16:35 
jj1 = 137, max_th = 2.083658e+00, time=2025-04-15 12:16:59 
jj1 = 97, max_th = 1.714301e+00, time=2025-04-15 12:27:04 
jj1 = 449, max_th = 2.241017e+00, time=2025-04-15 12:27:54 
jj1 = 370, max_th = 2.527156e+00, time=2025-04-15 12:32:09 
jj1 = 526, max_th = 2.081971e+00, time=2025-04-15 12:41:02 
jj1 = 176, max_th = 1.455065e+00, time=2025-04-15 12:41:43 
jj1 = 486, max_th = 2.372057e+00, time=2025-04-15 12:49:02 
jj1 = 136, max_th = 1.424607e+00, time=2025-04-15 12:49:58 
jj1 = 331, max_th = 2.267868e+00, time=2025-04-15 12:50:05 
jj1 = 213, max_th = 1.836891e+00, time=2025-04-15 12:53:27 
jj1 = 292, max_th = 2.427292e+00, time=2025-04-15 12:55:04 
jj1 = 407, max_th = 2.233766e+00, time=2025-04-15 12:58:11 
jj1 = 175, max_th = 1.514948e+00, time=2025-04-15 13:03:20 
jj1 = 253, max_th = 2.083435e+00, time=2025-04-15 13:07:11 
jj1 = 448, max_th = 1.863099e+00, time=2025-04-15 13:18:38 
jj1 = 369, max_th = 1.838635e+00, time=2025-04-15 13:18:55 
jj1 = 96, max_th = 2.033843e+00, time=2025-04-15 13:19:38 
jj1 = 135, max_th = 2.527685e+00, time=2025-04-15 13:19:58 
jj1 = 212, max_th = 2.522643e+00, time=2025-04-15 13:21:06 
jj1 = 525, max_th = 1.912286e+00, time=2025-04-15 13:30:16 
jj1 = 524, max_th = -7.961371e-02, time=2025-04-15 13:32:48 
jj1 = 485, max_th = 1.907591e+00, time=2025-04-15 13:33:03 
jj1 = 406, max_th = 2.496709e+00, time=2025-04-15 13:33:13 
jj1 = 291, max_th = 1.653671e+00, time=2025-04-15 13:36:42 
jj1 = 174, max_th = 2.307387e+00, time=2025-04-15 13:44:12 
jj1 = 95, max_th = 2.530965e+00, time=2025-04-15 13:46:24 
jj1 = 134, max_th = 1.455272e+00, time=2025-04-15 13:49:27 
jj1 = 484, max_th = 2.682567e+00, time=2025-04-15 13:51:19 
jj1 = 252, max_th = 2.047706e+00, time=2025-04-15 13:53:32 
jj1 = 368, max_th = 1.943631e+00, time=2025-04-15 13:59:40 
