MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 55, max_th = 2.546250e+00, time=2024-09-03 10:12:47 
jj1 = 50, max_th = 1.511133e+00, time=2024-09-03 10:12:49 
jj1 = 25, max_th = 1.330584e+00, time=2024-09-03 10:13:37 
jj1 = 10, max_th = 1.336588e+00, time=2024-09-03 10:14:07 
jj1 = 40, max_th = 2.532009e+00, time=2024-09-03 10:15:19 
jj1 = 20, max_th = 1.471035e+00, time=2024-09-03 10:16:36 
jj1 = 35, max_th = 1.556162e+00, time=2024-09-03 10:17:57 
jj1 = 30, max_th = 1.663792e+00, time=2024-09-03 10:20:32 
jj1 = 60, max_th = 1.678921e+00, time=2024-09-03 10:21:32 
jj1 = 45, max_th = 1.625005e+00, time=2024-09-03 10:21:50 
jj1 = 5, max_th = 1.865886e+00, time=2024-09-03 10:24:28 
jj1 = 15, max_th = 1.939217e+00, time=2024-09-03 10:25:01 
jj1 = 34, max_th = 2.784409e+00, time=2024-09-03 10:25:34 
jj1 = 24, max_th = 1.366434e+00, time=2024-09-03 10:26:47 
jj1 = 9, max_th = 1.596605e+00, time=2024-09-03 10:31:36 
jj1 = 49, max_th = 2.333113e+00, time=2024-09-03 10:32:56 
jj1 = 4, max_th = 1.307064e+00, time=2024-09-03 10:34:07 
jj1 = 3, max_th = 3.082563e+00, time=2024-09-03 10:36:04 
jj1 = 59, max_th = 2.150078e+00, time=2024-09-03 10:36:20 
jj1 = 19, max_th = 2.257423e+00, time=2024-09-03 10:36:50 
jj1 = 8, max_th = 1.198620e+00, time=2024-09-03 10:37:51 
jj1 = 54, max_th = 2.171382e+00, time=2024-09-03 10:38:36 
jj1 = 23, max_th = 2.496693e+00, time=2024-09-03 10:39:50 
jj1 = 39, max_th = 1.978662e+00, time=2024-09-03 10:41:57 
jj1 = 44, max_th = 1.662685e+00, time=2024-09-03 10:42:23 
jj1 = 29, max_th = 1.820338e+00, time=2024-09-03 10:43:01 
jj1 = 48, max_th = 1.318708e+00, time=2024-09-03 10:43:28 
jj1 = 14, max_th = 1.951212e+00, time=2024-09-03 10:44:26 
jj1 = 33, max_th = 1.676983e+00, time=2024-09-03 10:47:05 
jj1 = 47, max_th = 8.920894e-01, time=2024-09-03 10:47:38 
jj1 = 38, max_th = 9.787265e-01, time=2024-09-03 10:47:52 
jj1 = 58, max_th = 1.363495e+00, time=2024-09-03 10:49:26 
jj1 = 57, max_th = 8.246165e-01, time=2024-09-03 10:53:02 
jj1 = 18, max_th = 1.623934e+00, time=2024-09-03 10:56:15 
jj1 = 43, max_th = 1.657305e+00, time=2024-09-03 11:02:10 
jj1 = 22, max_th = 1.905192e+00, time=2024-09-03 11:02:11 
jj1 = 7, max_th = 2.140547e+00, time=2024-09-03 11:02:28 
jj1 = 53, max_th = 1.870707e+00, time=2024-09-03 11:03:26 
jj1 = 2, max_th = 1.973484e+00, time=2024-09-03 11:03:40 
jj1 = 28, max_th = 2.188546e+00, time=2024-09-03 11:05:55 
jj1 = 46, max_th = 2.370731e+00, time=2024-09-03 11:06:05 
jj1 = 13, max_th = 1.908724e+00, time=2024-09-03 11:07:40 
jj1 = 52, max_th = 9.246863e-01, time=2024-09-03 11:08:34 
jj1 = 32, max_th = 1.844024e+00, time=2024-09-03 11:10:45 
jj1 = 37, max_th = 1.909420e+00, time=2024-09-03 11:11:43 
jj1 = 36, max_th = 2.900640e+00, time=2024-09-03 11:15:02 
jj1 = 42, max_th = 1.385230e+00, time=2024-09-03 11:15:18 
jj1 = 17, max_th = 2.338304e+00, time=2024-09-03 11:15:45 
jj1 = 56, max_th = 1.915483e+00, time=2024-09-03 11:16:39 
jj1 = 12, max_th = 1.399605e+00, time=2024-09-03 11:16:42 
jj1 = 21, max_th = 1.602005e+00, time=2024-09-03 11:17:14 
jj1 = 1, max_th = 1.576893e+00, time=2024-09-03 11:22:34 
jj1 = 16, max_th = 2.694163e+00, time=2024-09-03 11:23:28 
jj1 = 450, max_th = 1.627740e+00, time=2024-09-03 11:24:01 
jj1 = 6, max_th = 1.966041e+00, time=2024-09-03 11:27:15 
jj1 = 31, max_th = 2.303535e+00, time=2024-09-03 11:27:46 
jj1 = 51, max_th = 2.146146e+00, time=2024-09-03 11:28:34 
jj1 = 27, max_th = 1.886971e+00, time=2024-09-03 11:29:09 
jj1 = 372, max_th = 1.515322e+00, time=2024-09-03 11:30:27 
jj1 = 255, max_th = 1.560264e+00, time=2024-09-03 11:32:57 
jj1 = 216, max_th = 1.382066e+00, time=2024-09-03 11:34:58 
jj1 = 528, max_th = 2.328558e+00, time=2024-09-03 11:35:14 
jj1 = 333, max_th = 1.235293e+00, time=2024-09-03 11:36:51 
jj1 = 41, max_th = 1.912590e+00, time=2024-09-03 11:36:59 
jj1 = 11, max_th = 2.179353e+00, time=2024-09-03 11:37:17 
jj1 = 371, max_th = 1.270361e+00, time=2024-09-03 11:39:17 
jj1 = 449, max_th = 1.610146e+00, time=2024-09-03 11:40:56 
jj1 = 332, max_th = 9.331629e-01, time=2024-09-03 11:41:12 
jj1 = 99, max_th = 2.153525e+00, time=2024-09-03 11:41:23 
jj1 = 138, max_th = 1.615124e+00, time=2024-09-03 11:44:49 
jj1 = 448, max_th = 9.609709e-01, time=2024-09-03 11:44:54 
jj1 = 26, max_th = 1.658109e+00, time=2024-09-03 11:46:20 
jj1 = 215, max_th = 1.373198e+00, time=2024-09-03 11:46:25 
jj1 = 411, max_th = 1.333062e+00, time=2024-09-03 11:48:19 
jj1 = 254, max_th = 2.363143e+00, time=2024-09-03 11:50:03 
jj1 = 489, max_th = 1.880778e+00, time=2024-09-03 11:50:27 
jj1 = 370, max_th = 2.404691e+00, time=2024-09-03 11:53:40 
jj1 = 177, max_th = 2.371938e+00, time=2024-09-03 11:54:50 
jj1 = 527, max_th = 2.283547e+00, time=2024-09-03 11:55:31 
jj1 = 137, max_th = 1.591573e+00, time=2024-09-03 12:00:56 
jj1 = 331, max_th = 2.159796e+00, time=2024-09-03 12:01:24 
jj1 = 488, max_th = 1.448718e+00, time=2024-09-03 12:01:53 
jj1 = 98, max_th = 1.938082e+00, time=2024-09-03 12:02:48 
jj1 = 447, max_th = 1.819297e+00, time=2024-09-03 12:06:11 
jj1 = 410, max_th = 1.665267e+00, time=2024-09-03 12:06:32 
jj1 = 97, max_th = 8.870637e-01, time=2024-09-03 12:06:33 
jj1 = 214, max_th = 1.955441e+00, time=2024-09-03 12:06:38 
jj1 = 526, max_th = 2.581289e+00, time=2024-09-03 12:07:00 
jj1 = 294, max_th = 1.868687e+00, time=2024-09-03 12:08:36 
jj1 = 176, max_th = 1.699481e+00, time=2024-09-03 12:08:45 
jj1 = 253, max_th = 1.896212e+00, time=2024-09-03 12:10:06 
jj1 = 409, max_th = 2.635731e+00, time=2024-09-03 12:15:05 
jj1 = 525, max_th = 2.663831e+00, time=2024-09-03 12:16:08 
jj1 = 369, max_th = 2.125095e+00, time=2024-09-03 12:16:31 
jj1 = 136, max_th = 1.901744e+00, time=2024-09-03 12:18:59 
jj1 = 487, max_th = 1.662450e+00, time=2024-09-03 12:19:35 
jj1 = 330, max_th = 2.156351e+00, time=2024-09-03 12:20:56 
jj1 = 408, max_th = 2.741085e+00, time=2024-09-03 12:21:56 
jj1 = 293, max_th = 2.402379e+00, time=2024-09-03 12:22:43 
jj1 = 96, max_th = 1.518548e+00, time=2024-09-03 12:22:44 
jj1 = 446, max_th = 1.630245e+00, time=2024-09-03 12:24:04 
jj1 = 213, max_th = 1.954713e+00, time=2024-09-03 12:26:47 
jj1 = 175, max_th = 1.684577e+00, time=2024-09-03 12:27:16 
jj1 = 252, max_th = 2.323041e+00, time=2024-09-03 12:28:30 
jj1 = 135, max_th = 2.623109e+00, time=2024-09-03 12:29:20 
jj1 = 407, max_th = 1.242369e+00, time=2024-09-03 12:31:10 
jj1 = 95, max_th = 1.320022e+00, time=2024-09-03 12:34:15 
jj1 = 368, max_th = 1.684614e+00, time=2024-09-03 12:34:47 
jj1 = 329, max_th = 1.647939e+00, time=2024-09-03 12:36:29 
jj1 = 524, max_th = 2.138134e+00, time=2024-09-03 12:37:55 
jj1 = 174, max_th = 1.316420e+00, time=2024-09-03 12:37:55 
jj1 = 292, max_th = 1.676879e+00, time=2024-09-03 12:40:39 
jj1 = 486, max_th = 1.865944e+00, time=2024-09-03 12:41:49 
jj1 = 445, max_th = 1.660840e+00, time=2024-09-03 12:42:16 
jj1 = 134, max_th = 1.657128e+00, time=2024-09-03 12:46:26 
jj1 = 212, max_th = 1.808326e+00, time=2024-09-03 12:46:27 
jj1 = 251, max_th = 2.204460e+00, time=2024-09-03 12:46:57 
jj1 = 173, max_th = 1.293245e+00, time=2024-09-03 12:47:46 
jj1 = 328, max_th = 1.362049e+00, time=2024-09-03 12:47:54 
jj1 = 523, max_th = 1.315770e+00, time=2024-09-03 12:49:14 
jj1 = 94, max_th = 2.426597e+00, time=2024-09-03 12:50:15 
jj1 = 406, max_th = 2.103398e+00, time=2024-09-03 12:50:46 
jj1 = 444, max_th = 1.315860e+00, time=2024-09-03 12:52:37 
jj1 = 485, max_th = 2.398676e+00, time=2024-09-03 12:55:10 
jj1 = 291, max_th = 2.348161e+00, time=2024-09-03 12:55:42 
jj1 = 367, max_th = 1.933243e+00, time=2024-09-03 12:57:04 
jj1 = 93, max_th = 1.333571e+00, time=2024-09-03 13:00:32 
jj1 = 366, max_th = 2.853813e+00, time=2024-09-03 13:01:36 
jj1 = 250, max_th = 1.901300e+00, time=2024-09-03 13:01:44 
jj1 = 443, max_th = 2.563756e+00, time=2024-09-03 13:04:18 
jj1 = 327, max_th = 2.341727e+00, time=2024-09-03 13:04:45 
jj1 = 522, max_th = 1.597548e+00, time=2024-09-03 13:04:54 
jj1 = 405, max_th = 2.480781e+00, time=2024-09-03 13:05:26 
jj1 = 211, max_th = 1.963908e+00, time=2024-09-03 13:08:09 
jj1 = 92, max_th = 1.194738e+00, time=2024-09-03 13:08:36 
jj1 = 133, max_th = 1.873672e+00, time=2024-09-03 13:08:47 
jj1 = 172, max_th = 1.820661e+00, time=2024-09-03 13:10:10 
jj1 = 290, max_th = 1.655121e+00, time=2024-09-03 13:12:29 
jj1 = 404, max_th = 1.203232e+00, time=2024-09-03 13:13:31 
jj1 = 521, max_th = 1.381905e+00, time=2024-09-03 13:17:05 
jj1 = 171, max_th = 2.780059e+00, time=2024-09-03 13:17:12 
jj1 = 484, max_th = 1.878757e+00, time=2024-09-03 13:17:25 
jj1 = 365, max_th = 1.528387e+00, time=2024-09-03 13:17:29 
jj1 = 483, max_th = -5.029152e-02, time=2024-09-03 13:18:04 
jj1 = 249, max_th = 2.167386e+00, time=2024-09-03 13:23:03 
jj1 = 210, max_th = 1.520873e+00, time=2024-09-03 13:24:53 
jj1 = 248, max_th = 3.055742e+00, time=2024-09-03 13:25:06 
jj1 = 91, max_th = 2.379305e+00, time=2024-09-03 13:25:14 
jj1 = 326, max_th = 1.859646e+00, time=2024-09-03 13:25:23 
jj1 = 442, max_th = 1.879153e+00, time=2024-09-03 13:26:15 
