MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 40, max_th = 2.664069e+00, time=2024-09-03 10:07:15 
jj1 = 55, max_th = 1.535278e+00, time=2024-09-03 10:13:26 
jj1 = 50, max_th = 2.056781e+00, time=2024-09-03 10:14:34 
jj1 = 30, max_th = 1.533914e+00, time=2024-09-03 10:18:03 
jj1 = 25, max_th = 2.444062e+00, time=2024-09-03 10:20:01 
jj1 = 60, max_th = 2.568953e+00, time=2024-09-03 10:21:02 
jj1 = 15, max_th = 2.260206e+00, time=2024-09-03 10:22:07 
jj1 = 24, max_th = -2.894625e+00, time=2024-09-03 10:22:49 
jj1 = 45, max_th = 1.893679e+00, time=2024-09-03 10:23:24 
jj1 = 14, max_th = -2.257719e-01, time=2024-09-03 10:23:37 
jj1 = 35, max_th = 2.006516e+00, time=2024-09-03 10:23:44 
jj1 = 10, max_th = 1.705832e+00, time=2024-09-03 10:23:59 
jj1 = 5, max_th = 1.744556e+00, time=2024-09-03 10:24:50 
jj1 = 20, max_th = 1.786737e+00, time=2024-09-03 10:25:29 
jj1 = 4, max_th = -5.735737e-04, time=2024-09-03 10:27:32 
jj1 = 54, max_th = 1.310555e+00, time=2024-09-03 10:28:00 
jj1 = 39, max_th = 1.607375e+00, time=2024-09-03 10:28:32 
jj1 = 23, max_th = 3.066098e+00, time=2024-09-03 10:32:53 
jj1 = 49, max_th = 1.587061e+00, time=2024-09-03 10:33:40 
jj1 = 29, max_th = 2.237033e+00, time=2024-09-03 10:35:44 
jj1 = 53, max_th = 2.579263e+00, time=2024-09-03 10:36:33 
jj1 = 59, max_th = 1.499151e+00, time=2024-09-03 10:36:45 
jj1 = 19, max_th = 2.677356e+00, time=2024-09-03 10:37:23 
jj1 = 34, max_th = 2.293145e+00, time=2024-09-03 10:41:31 
jj1 = 44, max_th = 1.588280e+00, time=2024-09-03 10:43:47 
jj1 = 3, max_th = 1.704935e+00, time=2024-09-03 10:44:09 
jj1 = 13, max_th = 2.207397e+00, time=2024-09-03 10:48:05 
jj1 = 9, max_th = 2.285331e+00, time=2024-09-03 10:49:32 
jj1 = 38, max_th = 1.792650e+00, time=2024-09-03 10:50:31 
jj1 = 28, max_th = 1.341446e+00, time=2024-09-03 10:51:35 
jj1 = 58, max_th = 2.569783e+00, time=2024-09-03 10:56:02 
jj1 = 48, max_th = 2.167476e+00, time=2024-09-03 10:56:59 
jj1 = 52, max_th = 1.796189e+00, time=2024-09-03 10:57:47 
jj1 = 33, max_th = 8.405490e-01, time=2024-09-03 11:01:33 
jj1 = 18, max_th = 1.962687e+00, time=2024-09-03 11:06:35 
jj1 = 22, max_th = 1.958950e+00, time=2024-09-03 11:07:36 
jj1 = 8, max_th = 2.354079e+00, time=2024-09-03 11:07:51 
jj1 = 37, max_th = 2.153514e+00, time=2024-09-03 11:10:09 
jj1 = 57, max_th = 1.673700e+00, time=2024-09-03 11:11:08 
jj1 = 27, max_th = 1.644866e+00, time=2024-09-03 11:11:38 
jj1 = 32, max_th = 1.495486e+00, time=2024-09-03 11:12:56 
