MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 25, max_th = 2.947283e+00, time=2024-09-08 10:55:24 
jj1 = 55, max_th = 2.826174e+00, time=2024-09-08 10:56:55 
jj1 = 60, max_th = 2.474766e+00, time=2024-09-08 10:58:24 
jj1 = 5, max_th = 1.871854e+00, time=2024-09-08 10:59:43 
jj1 = 30, max_th = 1.751289e+00, time=2024-09-08 11:00:10 
jj1 = 40, max_th = 1.885571e+00, time=2024-09-08 11:00:27 
jj1 = 10, max_th = 1.954424e+00, time=2024-09-08 11:02:14 
jj1 = 9, max_th = 3.837052e+00, time=2024-09-08 11:02:24 
jj1 = 59, max_th = 2.559231e+00, time=2024-09-08 11:02:40 
jj1 = 20, max_th = 2.623581e+00, time=2024-09-08 11:03:04 
jj1 = 50, max_th = 1.724581e+00, time=2024-09-08 11:03:31 
jj1 = 45, max_th = 2.122225e+00, time=2024-09-08 11:04:53 
jj1 = 54, max_th = 1.594654e+00, time=2024-09-08 11:06:04 
jj1 = 4, max_th = 2.306154e+00, time=2024-09-08 11:06:58 
jj1 = 53, max_th = 4.080625e+00, time=2024-09-08 11:07:13 
jj1 = 58, max_th = 1.239958e+00, time=2024-09-08 11:07:49 
jj1 = 35, max_th = 2.160253e+00, time=2024-09-08 11:08:24 
jj1 = 24, max_th = 2.138511e+00, time=2024-09-08 11:08:49 
jj1 = 15, max_th = 2.026648e+00, time=2024-09-08 11:09:59 
jj1 = 8, max_th = 1.846901e+00, time=2024-09-08 11:10:33 
jj1 = 39, max_th = 1.695339e+00, time=2024-09-08 11:11:19 
