jj1 = 49, max_th = 9.973890e-01, time=2025-01-24 15:30:06 
jj1 = 21, max_th = 9.961672e-01, time=2025-01-24 15:30:07 
jj1 = 7, max_th = 2.633263e+00, time=2025-01-24 15:31:55 
jj1 = 28, max_th = 2.434902e+00, time=2025-01-24 15:33:46 
jj1 = 42, max_th = 2.432771e+00, time=2025-01-24 15:33:49 
jj1 = 35, max_th = 1.697057e+00, time=2025-01-24 15:34:13 
jj1 = 56, max_th = 2.202127e+00, time=2025-01-24 15:34:27 
jj1 = 14, max_th = 1.717813e+00, time=2025-01-24 15:35:07 
jj1 = 20, max_th = 1.712437e+00, time=2025-01-24 15:36:22 
jj1 = 41, max_th = 1.399834e+00, time=2025-01-24 15:36:35 
jj1 = 19, max_th = -2.401718e-02, time=2025-01-24 15:36:41 
jj1 = 27, max_th = 1.400490e+00, time=2025-01-24 15:36:54 
jj1 = 13, max_th = 2.814725e+00, time=2025-01-24 15:36:58 
jj1 = 48, max_th = 1.991546e+00, time=2025-01-24 15:37:17 
jj1 = 6, max_th = 1.715041e+00, time=2025-01-24 15:38:19 
jj1 = 26, max_th = 9.927302e-01, time=2025-01-24 15:38:27 
jj1 = 55, max_th = 1.383557e+00, time=2025-01-24 15:38:30 
jj1 = 12, max_th = 2.816772e+00, time=2025-01-24 15:38:52 
jj1 = 47, max_th = 2.801566e+00, time=2025-01-24 15:38:57 
jj1 = 34, max_th = 2.427602e+00, time=2025-01-24 15:39:35 
jj1 = 11, max_th = 9.828357e-01, time=2025-01-24 15:40:28 
jj1 = 54, max_th = 2.636617e+00, time=2025-01-24 15:41:44 
jj1 = 25, max_th = 2.626692e+00, time=2025-01-24 15:41:55 
jj1 = 40, max_th = 1.697600e+00, time=2025-01-24 15:42:07 
jj1 = 46, max_th = 1.387454e+00, time=2025-01-24 15:42:58 
jj1 = 18, max_th = 2.208228e+00, time=2025-01-24 15:43:10 
jj1 = 33, max_th = 2.431402e+00, time=2025-01-24 15:44:51 
jj1 = 32, max_th = -3.814451e-02, time=2025-01-24 15:45:09 
jj1 = 31, max_th = -4.096289e-03, time=2025-01-24 15:45:27 
jj1 = 24, max_th = 1.404621e+00, time=2025-01-24 15:45:41 
jj1 = 5, max_th = 1.981797e+00, time=2025-01-24 15:45:49 
jj1 = 39, max_th = 2.442093e+00, time=2025-01-24 15:46:55 
jj1 = 10, max_th = 2.220781e+00, time=2025-01-24 15:47:27 
jj1 = 17, max_th = 2.438381e+00, time=2025-01-24 15:48:09 
jj1 = 53, max_th = 2.224544e+00, time=2025-01-24 15:48:43 
jj1 = 4, max_th = 2.640810e+00, time=2025-01-24 15:48:56 
jj1 = 45, max_th = 2.218306e+00, time=2025-01-24 15:49:59 
jj1 = 23, max_th = 1.700701e+00, time=2025-01-24 15:50:37 
jj1 = 30, max_th = 1.726383e+00, time=2025-01-24 15:52:12 
jj1 = 52, max_th = 1.405854e+00, time=2025-01-24 15:52:34 
jj1 = 9, max_th = 2.424760e+00, time=2025-01-24 15:52:51 
jj1 = 3, max_th = 2.424578e+00, time=2025-01-24 15:54:19 
jj1 = 38, max_th = 1.981234e+00, time=2025-01-24 15:54:29 
jj1 = 16, max_th = 2.228388e+00, time=2025-01-24 15:55:03 
jj1 = 44, max_th = 2.413884e+00, time=2025-01-24 15:55:18 
jj1 = 22, max_th = 1.697791e+00, time=2025-01-24 15:56:05 
jj1 = 2, max_th = 2.816979e+00, time=2025-01-24 15:56:11 
jj1 = 8, max_th = 2.631908e+00, time=2025-01-24 15:56:13 
jj1 = 29, max_th = 1.379180e+00, time=2025-01-24 15:56:12 
jj1 = 15, max_th = 2.810420e+00, time=2025-01-24 15:56:53 
jj1 = 51, max_th = 2.421848e+00, time=2025-01-24 15:57:52 
jj1 = 37, max_th = 1.410826e+00, time=2025-01-24 15:58:33 
jj1 = 233, max_th = 2.625321e+00, time=2025-01-24 16:00:20 
jj1 = 43, max_th = 2.216882e+00, time=2025-01-24 16:02:09 
jj1 = 292, max_th = 2.222197e+00, time=2025-01-24 16:03:05 
jj1 = 351, max_th = 2.224944e+00, time=2025-01-24 16:03:11 
jj1 = 1, max_th = 1.977098e+00, time=2025-01-24 16:03:48 
jj1 = 174, max_th = 1.982262e+00, time=2025-01-24 16:03:48 
jj1 = 50, max_th = 2.206652e+00, time=2025-01-24 16:04:18 
jj1 = 36, max_th = 1.996443e+00, time=2025-01-24 16:05:09 
jj1 = 173, max_th = 2.814604e+00, time=2025-01-24 16:05:41 
jj1 = 469, max_th = 2.428924e+00, time=2025-01-24 16:07:31 
jj1 = 232, max_th = 1.982947e+00, time=2025-01-24 16:07:51 
jj1 = 350, max_th = 1.698622e+00, time=2025-01-24 16:08:25 
jj1 = 291, max_th = 1.986309e+00, time=2025-01-24 16:10:29 
jj1 = 172, max_th = 2.431309e+00, time=2025-01-24 16:10:56 
jj1 = 115, max_th = 1.961969e+00, time=2025-01-24 16:11:04 
jj1 = 528, max_th = 1.982987e+00, time=2025-01-24 16:11:45 
jj1 = 349, max_th = 2.613253e+00, time=2025-01-24 16:11:49 
jj1 = 410, max_th = 2.231468e+00, time=2025-01-24 16:11:57 
jj1 = 409, max_th = -1.108056e-02, time=2025-01-24 16:12:16 
jj1 = 290, max_th = 2.806074e+00, time=2025-01-24 16:12:18 
jj1 = 171, max_th = 9.794299e-01, time=2025-01-24 16:12:33 
jj1 = 231, max_th = 2.434667e+00, time=2025-01-24 16:12:58 
jj1 = 468, max_th = 1.707256e+00, time=2025-01-24 16:13:36 
jj1 = 114, max_th = 1.365654e+00, time=2025-01-24 16:14:46 
jj1 = 289, max_th = 1.397655e+00, time=2025-01-24 16:15:52 
jj1 = 467, max_th = 1.386484e+00, time=2025-01-24 16:17:38 
jj1 = 348, max_th = 1.717370e+00, time=2025-01-24 16:18:20 
jj1 = 527, max_th = 1.973982e+00, time=2025-01-24 16:19:24 
jj1 = 170, max_th = 2.221219e+00, time=2025-01-24 16:19:31 
jj1 = 230, max_th = 2.220807e+00, time=2025-01-24 16:19:54 
jj1 = 408, max_th = 1.977564e+00, time=2025-01-24 16:19:58 
jj1 = 113, max_th = 2.211096e+00, time=2025-01-24 16:21:28 
jj1 = 288, max_th = 1.708277e+00, time=2025-01-24 16:22:00 
jj1 = 169, max_th = 1.410105e+00, time=2025-01-24 16:23:37 
jj1 = 229, max_th = 1.394011e+00, time=2025-01-24 16:23:44 
jj1 = 112, max_th = 2.639392e+00, time=2025-01-24 16:24:39 
jj1 = 347, max_th = 1.714301e+00, time=2025-01-24 16:24:46 
jj1 = 466, max_th = 1.977698e+00, time=2025-01-24 16:25:17 
jj1 = 168, max_th = 2.798396e+00, time=2025-01-24 16:25:18 
jj1 = 526, max_th = 1.726384e+00, time=2025-01-24 16:26:09 
jj1 = 407, max_th = 1.727638e+00, time=2025-01-24 16:26:41 
jj1 = 228, max_th = 2.440256e+00, time=2025-01-24 16:28:38 
jj1 = 287, max_th = 1.991040e+00, time=2025-01-24 16:29:08 
jj1 = 465, max_th = 1.411265e+00, time=2025-01-24 16:29:23 
jj1 = 525, max_th = 2.433288e+00, time=2025-01-24 16:31:16 
jj1 = 111, max_th = 1.726058e+00, time=2025-01-24 16:31:24 
jj1 = 346, max_th = 2.224795e+00, time=2025-01-24 16:31:43 
jj1 = 406, max_th = 2.435411e+00, time=2025-01-24 16:31:47 
jj1 = 167, max_th = 2.224773e+00, time=2025-01-24 16:32:20 
jj1 = 227, max_th = 1.360737e+00, time=2025-01-24 16:32:22 
jj1 = 286, max_th = 1.402745e+00, time=2025-01-24 16:32:49 
jj1 = 166, max_th = 9.808581e-01, time=2025-01-24 16:33:53 
jj1 = 345, max_th = 1.398947e+00, time=2025-01-24 16:35:02 
jj1 = 405, max_th = 2.400695e+00, time=2025-01-24 16:36:00 
jj1 = 464, max_th = 2.225068e+00, time=2025-01-24 16:36:24 
jj1 = 165, max_th = 2.638097e+00, time=2025-01-24 16:37:05 
jj1 = 110, max_th = 2.219275e+00, time=2025-01-24 16:38:15 
jj1 = 524, max_th = 1.988002e+00, time=2025-01-24 16:38:32 
jj1 = 285, max_th = 1.710850e+00, time=2025-01-24 16:39:04 
jj1 = 226, max_th = 2.216707e+00, time=2025-01-24 16:39:11 
jj1 = 404, max_th = 2.624431e+00, time=2025-01-24 16:39:30 
jj1 = 403, max_th = 3.149970e+00, time=2025-01-24 16:39:45 
jj1 = 109, max_th = 9.756339e-01, time=2025-01-24 16:39:51 
jj1 = 463, max_th = 2.415360e+00, time=2025-01-24 16:41:44 
jj1 = 344, max_th = 2.232065e+00, time=2025-01-24 16:41:50 
jj1 = 164, max_th = 1.697840e+00, time=2025-01-24 16:42:30 
jj1 = 523, max_th = 2.446956e+00, time=2025-01-24 16:42:56 
jj1 = 225, max_th = 1.360790e+00, time=2025-01-24 16:42:58 
jj1 = 343, max_th = 9.935752e-01, time=2025-01-24 16:43:22 
jj1 = 284, max_th = 2.419367e+00, time=2025-01-24 16:44:24 
jj1 = 402, max_th = 1.984145e+00, time=2025-01-24 16:48:01 
jj1 = 108, max_th = 1.979861e+00, time=2025-01-24 16:48:16 
jj1 = 342, max_th = 1.383874e+00, time=2025-01-24 16:48:16 
jj1 = 522, max_th = 1.698639e+00, time=2025-01-24 16:49:13 
jj1 = 462, max_th = 2.226642e+00, time=2025-01-24 16:49:54 
jj1 = 163, max_th = 2.205143e+00, time=2025-01-24 16:50:05 
jj1 = 401, max_th = 9.797599e-01, time=2025-01-24 16:50:10 
jj1 = 521, max_th = 9.972571e-01, time=2025-01-24 16:51:10 
jj1 = 400, max_th = 2.985354e+00, time=2025-01-24 16:51:25 
jj1 = 224, max_th = 1.981935e+00, time=2025-01-24 16:52:23 
jj1 = 107, max_th = 1.404603e+00, time=2025-01-24 16:53:17 
jj1 = 283, max_th = 1.973090e+00, time=2025-01-24 16:54:29 
jj1 = 223, max_th = 1.399680e+00, time=2025-01-24 16:56:24 
jj1 = 341, max_th = 2.220274e+00, time=2025-01-24 16:57:32 
jj1 = 162, max_th = 1.715716e+00, time=2025-01-24 16:58:48 
jj1 = 106, max_th = 1.373429e+00, time=2025-01-24 16:58:51 
jj1 = 222, max_th = 2.820086e+00, time=2025-01-24 16:58:54 
jj1 = 282, max_th = 2.619936e+00, time=2025-01-24 16:59:10 
jj1 = 461, max_th = 1.989595e+00, time=2025-01-24 16:59:41 
jj1 = 520, max_th = 2.213247e+00, time=2025-01-24 17:00:14 
jj1 = 399, max_th = 2.221966e+00, time=2025-01-24 17:00:48 
jj1 = 105, max_th = 2.433960e+00, time=2025-01-24 17:05:48 
jj1 = 398, max_th = 1.394793e+00, time=2025-01-24 17:05:51 
jj1 = 281, max_th = 1.698252e+00, time=2025-01-24 17:06:22 
jj1 = 340, max_th = 1.728493e+00, time=2025-01-24 17:06:31 
jj1 = 339, max_th = 2.993538e+00, time=2025-01-24 17:07:40 
jj1 = 161, max_th = 1.728273e+00, time=2025-01-24 17:07:49 
jj1 = 221, max_th = 1.986625e+00, time=2025-01-24 17:08:52 
jj1 = 460, max_th = 1.989153e+00, time=2025-01-24 17:09:29 
jj1 = 519, max_th = 1.967904e+00, time=2025-01-24 17:10:23 
jj1 = 104, max_th = 2.622885e+00, time=2025-01-24 17:10:29 
jj1 = 220, max_th = 2.633999e+00, time=2025-01-24 17:13:19 
jj1 = 338, max_th = 2.431912e+00, time=2025-01-24 17:14:39 
jj1 = 219, max_th = 9.766340e-01, time=2025-01-24 17:15:28 
jj1 = 160, max_th = 1.709551e+00, time=2025-01-24 17:16:10 
jj1 = 397, max_th = 1.978830e+00, time=2025-01-24 17:16:15 
jj1 = 280, max_th = 1.961866e+00, time=2025-01-24 17:16:16 
jj1 = 459, max_th = 2.209669e+00, time=2025-01-24 17:18:28 
jj1 = 337, max_th = 1.398911e+00, time=2025-01-24 17:19:05 
jj1 = 103, max_th = 2.224250e+00, time=2025-01-24 17:19:55 
jj1 = 518, max_th = 1.973662e+00, time=2025-01-24 17:20:45 
jj1 = 517, max_th = 2.986488e+00, time=2025-01-24 17:22:00 
jj1 = 516, max_th = -4.007102e-03, time=2025-01-24 17:22:25 
jj1 = 279, max_th = 2.440230e+00, time=2025-01-24 17:22:55 
jj1 = 278, max_th = 9.949453e-01, time=2025-01-24 17:24:57 
jj1 = 159, max_th = 2.224506e+00, time=2025-01-24 17:25:38 
jj1 = 218, max_th = 1.981260e+00, time=2025-01-24 17:25:38 
jj1 = 396, max_th = 1.988196e+00, time=2025-01-24 17:26:05 
jj1 = 458, max_th = 1.722719e+00, time=2025-01-24 17:27:30 
jj1 = 217, max_th = 9.581811e-01, time=2025-01-24 17:27:33 
jj1 = 336, max_th = 1.981101e+00, time=2025-01-24 17:29:16 
jj1 = 102, max_th = 1.988589e+00, time=2025-01-24 17:29:47 
jj1 = 515, max_th = 2.211589e+00, time=2025-01-24 17:31:29 
jj1 = 216, max_th = 2.631734e+00, time=2025-01-24 17:32:05 
jj1 = 395, max_th = 2.438532e+00, time=2025-01-24 17:32:47 
jj1 = 457, max_th = 2.445493e+00, time=2025-01-24 17:33:41 
jj1 = 277, max_th = 2.215484e+00, time=2025-01-24 17:34:14 
jj1 = 394, max_th = 9.928144e-01, time=2025-01-24 17:34:54 
jj1 = 158, max_th = 1.994540e+00, time=2025-01-24 17:34:55 
jj1 = 335, max_th = 1.717783e+00, time=2025-01-24 17:38:07 
jj1 = 101, max_th = 2.226014e+00, time=2025-01-24 17:39:11 
jj1 = 215, max_th = 1.676636e+00, time=2025-01-24 17:40:46 
jj1 = 514, max_th = 2.224159e+00, time=2025-01-24 17:41:00 
jj1 = 456, max_th = 2.230248e+00, time=2025-01-24 17:43:02 
jj1 = 276, max_th = 1.976584e+00, time=2025-01-24 17:44:35 
jj1 = 393, max_th = 1.988353e+00, time=2025-01-24 17:44:50 
jj1 = 157, max_th = 1.964080e+00, time=2025-01-24 17:44:51 
jj1 = 334, max_th = 2.424054e+00, time=2025-01-24 17:45:27 
jj1 = 455, max_th = 2.815828e+00, time=2025-01-24 17:45:33 
jj1 = 454, max_th = -1.021570e-02, time=2025-01-24 17:45:59 
jj1 = 392, max_th = 9.913603e-01, time=2025-01-24 17:46:55 
jj1 = 513, max_th = 1.699115e+00, time=2025-01-24 17:47:48 
jj1 = 391, max_th = 9.864661e-01, time=2025-01-24 17:49:03 
jj1 = 100, max_th = 1.988143e+00, time=2025-01-24 17:49:04 
jj1 = 156, max_th = 2.624014e+00, time=2025-01-24 17:49:36 
jj1 = 214, max_th = 1.973689e+00, time=2025-01-24 17:51:09 
jj1 = 275, max_th = 2.423445e+00, time=2025-01-24 17:51:52 
jj1 = 512, max_th = 2.622007e+00, time=2025-01-24 17:52:30 
jj1 = 333, max_th = 1.726217e+00, time=2025-01-24 17:54:35 
jj1 = 99, max_th = 2.434549e+00, time=2025-01-24 17:56:00 
jj1 = 453, max_th = 1.978757e+00, time=2025-01-24 17:56:24 
jj1 = 390, max_th = 1.680407e+00, time=2025-01-24 17:57:50 
jj1 = 213, max_th = 2.437593e+00, time=2025-01-24 17:57:57 
jj1 = 274, max_th = 2.406205e+00, time=2025-01-24 17:58:43 
jj1 = 155, max_th = 2.218820e+00, time=2025-01-24 17:58:55 
jj1 = 332, max_th = 1.409784e+00, time=2025-01-24 18:00:02 
jj1 = 154, max_th = 9.904832e-01, time=2025-01-24 18:01:02 
jj1 = 153, max_th = 3.292982e+00, time=2025-01-24 18:01:16 
jj1 = 212, max_th = 2.607279e+00, time=2025-01-24 18:02:27 
jj1 = 511, max_th = 1.983196e+00, time=2025-01-24 18:02:40 
jj1 = 98, max_th = 2.437955e+00, time=2025-01-24 18:02:50 
jj1 = 97, max_th = 3.453404e+00, time=2025-01-24 18:02:54 
jj1 = 452, max_th = 2.216360e+00, time=2025-01-24 18:05:47 
jj1 = 331, max_th = 2.432510e+00, time=2025-01-24 18:07:05 
jj1 = 273, max_th = 1.723953e+00, time=2025-01-24 18:07:53 
jj1 = 389, max_th = 1.973129e+00, time=2025-01-24 18:08:10 
jj1 = 272, max_th = 2.805808e+00, time=2025-01-24 18:10:20 
jj1 = 152, max_th = 1.987968e+00, time=2025-01-24 18:11:11 
jj1 = 211, max_th = 2.214621e+00, time=2025-01-24 18:11:39 
jj1 = 510, max_th = 2.219903e+00, time=2025-01-24 18:12:01 
jj1 = 96, max_th = 2.213133e+00, time=2025-01-24 18:12:03 
jj1 = 388, max_th = 1.408715e+00, time=2025-01-24 18:13:37 
jj1 = 210, max_th = 9.961853e-01, time=2025-01-24 18:13:39 
jj1 = 451, max_th = 1.721443e+00, time=2025-01-24 18:14:50 
jj1 = 209, max_th = 2.809513e+00, time=2025-01-24 18:16:10 
jj1 = 330, max_th = 2.219868e+00, time=2025-01-24 18:16:25 
jj1 = 509, max_th = 2.429414e+00, time=2025-01-24 18:19:10 
jj1 = 95, max_th = 2.416981e+00, time=2025-01-24 18:19:20 
jj1 = 271, max_th = 1.963906e+00, time=2025-01-24 18:20:25 
jj1 = 151, max_th = 2.219596e+00, time=2025-01-24 18:20:37 
jj1 = 387, max_th = 2.426263e+00, time=2025-01-24 18:20:56 
jj1 = 386, max_th = -2.711643e-02, time=2025-01-24 18:21:21 
jj1 = 150, max_th = 2.806985e+00, time=2025-01-24 18:23:06 
jj1 = 329, max_th = 2.430233e+00, time=2025-01-24 18:23:31 
jj1 = 450, max_th = 1.721836e+00, time=2025-01-24 18:23:57 
jj1 = 208, max_th = 1.717056e+00, time=2025-01-24 18:25:03 
jj1 = 270, max_th = 2.426242e+00, time=2025-01-24 18:27:44 
jj1 = 508, max_th = 1.725646e+00, time=2025-01-24 18:28:20 
jj1 = 94, max_th = 1.975943e+00, time=2025-01-24 18:29:43 
jj1 = 207, max_th = 2.623733e+00, time=2025-01-24 18:29:45 
jj1 = 385, max_th = 1.715380e+00, time=2025-01-24 18:30:02 
jj1 = 328, max_th = 2.430868e+00, time=2025-01-24 18:30:40 
jj1 = 149, max_th = 1.989737e+00, time=2025-01-24 18:32:55 
jj1 = 449, max_th = 1.996470e+00, time=2025-01-24 18:32:58 
jj1 = 269, max_th = 1.729284e+00, time=2025-01-24 18:36:53 
jj1 = 507, max_th = 2.205455e+00, time=2025-01-24 18:36:57 
jj1 = 93, max_th = 1.712377e+00, time=2025-01-24 18:38:20 
jj1 = 384, max_th = 1.711748e+00, time=2025-01-24 18:38:35 
jj1 = 206, max_th = 1.721821e+00, time=2025-01-24 18:38:53 
jj1 = 383, max_th = -1.209958e-03, time=2025-01-24 18:38:59 
jj1 = 506, max_th = 9.747680e-01, time=2025-01-24 18:39:03 
jj1 = 327, max_th = 2.205761e+00, time=2025-01-24 18:39:16 
jj1 = 268, max_th = 2.635535e+00, time=2025-01-24 18:41:18 
jj1 = 148, max_th = 1.715169e+00, time=2025-01-24 18:41:41 
jj1 = 448, max_th = 2.212953e+00, time=2025-01-24 18:42:09 
jj1 = 92, max_th = 1.377004e+00, time=2025-01-24 18:43:42 
jj1 = 447, max_th = 1.400295e+00, time=2025-01-24 18:46:08 
jj1 = 205, max_th = 2.219138e+00, time=2025-01-24 18:48:14 
jj1 = 326, max_th = 2.233743e+00, time=2025-01-24 18:48:24 
jj1 = 382, max_th = 2.221922e+00, time=2025-01-24 18:48:23 
jj1 = 505, max_th = 1.963715e+00, time=2025-01-24 18:49:03 
jj1 = 267, max_th = 1.689699e+00, time=2025-01-24 18:49:40 
jj1 = 91, max_th = 2.437662e+00, time=2025-01-24 18:50:28 
jj1 = 90, max_th = -3.301015e-02, time=2025-01-24 18:50:52 
jj1 = 147, max_th = 1.985742e+00, time=2025-01-24 18:51:43 
jj1 = 446, max_th = 2.438430e+00, time=2025-01-24 18:52:56 
jj1 = 325, max_th = 1.408897e+00, time=2025-01-24 18:53:50 
jj1 = 504, max_th = 2.436457e+00, time=2025-01-24 18:55:54 
jj1 = 204, max_th = 1.718237e+00, time=2025-01-24 18:57:07 
jj1 = 503, max_th = 9.913633e-01, time=2025-01-24 18:58:02 
jj1 = 324, max_th = 1.400800e+00, time=2025-01-24 18:58:15 
jj1 = 381, max_th = 1.985191e+00, time=2025-01-24 18:58:31 
jj1 = 266, max_th = 2.218213e+00, time=2025-01-24 18:59:05 
jj1 = 203, max_th = 9.937742e-01, time=2025-01-24 18:59:13 
jj1 = 89, max_th = 1.729269e+00, time=2025-01-24 18:59:54 
jj1 = 146, max_th = 2.214321e+00, time=2025-01-24 19:00:53 
jj1 = 202, max_th = 2.812159e+00, time=2025-01-24 19:01:44 
jj1 = 445, max_th = 2.226091e+00, time=2025-01-24 19:02:29 
jj1 = 444, max_th = 2.640447e+00, time=2025-01-24 19:06:45 
jj1 = 323, max_th = 1.718207e+00, time=2025-01-24 19:07:08 
jj1 = 502, max_th = 1.724897e+00, time=2025-01-24 19:07:11 
jj1 = 380, max_th = 2.226107e+00, time=2025-01-24 19:07:59 
jj1 = 265, max_th = 1.725954e+00, time=2025-01-24 19:08:14 
jj1 = 88, max_th = 1.721560e+00, time=2025-01-24 19:08:55 
jj1 = 145, max_th = 1.694214e+00, time=2025-01-24 19:08:55 
jj1 = 201, max_th = 2.213417e+00, time=2025-01-24 19:10:52 
jj1 = 200, max_th = 3.144714e+00, time=2025-01-24 19:11:25 
jj1 = 379, max_th = 2.622377e+00, time=2025-01-24 19:12:44 
jj1 = 501, max_th = 2.442848e+00, time=2025-01-24 19:13:40 
jj1 = 378, max_th = 9.799286e-01, time=2025-01-24 19:14:56 
jj1 = 443, max_th = 2.217795e+00, time=2025-01-24 19:16:06 
jj1 = 322, max_th = 1.723442e+00, time=2025-01-24 19:16:18 
jj1 = 264, max_th = 1.724208e+00, time=2025-01-24 19:17:21 
jj1 = 87, max_th = 1.991573e+00, time=2025-01-24 19:18:34 
jj1 = 144, max_th = 1.980233e+00, time=2025-01-24 19:19:16 
jj1 = 199, max_th = 2.209423e+00, time=2025-01-24 19:20:16 
jj1 = 500, max_th = 2.200483e+00, time=2025-01-24 19:20:32 
jj1 = 86, max_th = 2.614583e+00, time=2025-01-24 19:23:16 
jj1 = 321, max_th = 2.423541e+00, time=2025-01-24 19:23:37 
jj1 = 263, max_th = 2.437539e+00, time=2025-01-24 19:24:10 
jj1 = 442, max_th = 1.718272e+00, time=2025-01-24 19:25:01 
jj1 = 377, max_th = 1.979320e+00, time=2025-01-24 19:25:15 
jj1 = 85, max_th = 2.621115e+00, time=2025-01-24 19:28:01 
jj1 = 198, max_th = 1.633432e+00, time=2025-01-24 19:28:21 
jj1 = 143, max_th = 1.982303e+00, time=2025-01-24 19:29:32 
jj1 = 499, max_th = 1.984142e+00, time=2025-01-24 19:30:41 
jj1 = 376, max_th = 2.439204e+00, time=2025-01-24 19:32:00 
jj1 = 498, max_th = 9.639337e-01, time=2025-01-24 19:32:43 
jj1 = 320, max_th = 1.992279e+00, time=2025-01-24 19:33:09 
jj1 = 197, max_th = 1.387392e+00, time=2025-01-24 19:33:34 
jj1 = 262, max_th = 1.965396e+00, time=2025-01-24 19:34:08 
