MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 25, max_th = 7.843388e-01, time=2025-04-15 09:55:07 
jj1 = 40, max_th = 2.692410e+00, time=2025-04-15 10:00:55 
jj1 = 45, max_th = 1.273331e+00, time=2025-04-15 10:01:52 
jj1 = 44, max_th = 3.007119e+00, time=2025-04-15 10:02:49 
jj1 = 35, max_th = 2.349772e+00, time=2025-04-15 10:06:08 
jj1 = 20, max_th = 1.477291e+00, time=2025-04-15 10:08:07 
jj1 = 5, max_th = 2.260917e+00, time=2025-04-15 10:09:30 
jj1 = 55, max_th = 2.362407e+00, time=2025-04-15 10:10:15 
jj1 = 50, max_th = 2.101647e+00, time=2025-04-15 10:12:23 
jj1 = 30, max_th = 2.288921e+00, time=2025-04-15 10:13:58 
jj1 = 24, max_th = 2.102482e+00, time=2025-04-15 10:14:03 
jj1 = 10, max_th = 1.567231e+00, time=2025-04-15 10:14:26 
jj1 = 60, max_th = 2.286580e+00, time=2025-04-15 10:14:33 
jj1 = 15, max_th = 2.271470e+00, time=2025-04-15 10:16:11 
jj1 = 43, max_th = 2.099647e+00, time=2025-04-15 10:18:53 
jj1 = 39, max_th = 1.473929e+00, time=2025-04-15 10:19:10 
jj1 = 19, max_th = 2.515516e+00, time=2025-04-15 10:21:57 
jj1 = 42, max_th = 9.218887e-01, time=2025-04-15 10:24:25 
jj1 = 34, max_th = 1.589428e+00, time=2025-04-15 10:26:33 
jj1 = 23, max_th = 2.393436e+00, time=2025-04-15 10:28:50 
jj1 = 4, max_th = 1.896783e+00, time=2025-04-15 10:30:10 
jj1 = 9, max_th = 2.478824e+00, time=2025-04-15 10:30:31 
jj1 = 29, max_th = 2.252538e+00, time=2025-04-15 10:32:59 
jj1 = 14, max_th = 2.382019e+00, time=2025-04-15 10:33:38 
jj1 = 49, max_th = 1.621234e+00, time=2025-04-15 10:34:17 
jj1 = 59, max_th = 1.653582e+00, time=2025-04-15 10:35:07 
jj1 = 54, max_th = 2.024525e+00, time=2025-04-15 10:36:52 
jj1 = 8, max_th = 2.761527e+00, time=2025-04-15 10:37:07 
jj1 = 38, max_th = 1.929049e+00, time=2025-04-15 10:41:37 
jj1 = 18, max_th = 2.050365e+00, time=2025-04-15 10:42:10 
jj1 = 28, max_th = 1.415103e+00, time=2025-04-15 10:44:33 
jj1 = 33, max_th = 2.290010e+00, time=2025-04-15 10:47:16 
jj1 = 41, max_th = 2.171590e+00, time=2025-04-15 10:48:48 
jj1 = 22, max_th = 1.776233e+00, time=2025-04-15 10:50:55 
jj1 = 58, max_th = 2.406216e+00, time=2025-04-15 10:50:56 
jj1 = 3, max_th = 1.877476e+00, time=2025-04-15 10:53:13 
jj1 = 37, max_th = 1.281135e+00, time=2025-04-15 10:53:37 
jj1 = 53, max_th = 2.490452e+00, time=2025-04-15 10:53:48 
jj1 = 48, max_th = 1.851456e+00, time=2025-04-15 10:54:09 
jj1 = 13, max_th = 1.829249e+00, time=2025-04-15 10:56:11 
jj1 = 21, max_th = 2.733127e+00, time=2025-04-15 10:59:12 
jj1 = 17, max_th = 2.257331e+00, time=2025-04-15 11:01:10 
