jj1 = 21, max_th = 1.399372e+00, time=2025-01-20 21:29:41 
jj1 = 20, max_th = 9.862449e-01, time=2025-01-20 21:31:16 
jj1 = 14, max_th = 2.414235e+00, time=2025-01-20 21:31:46 
jj1 = 35, max_th = 1.714025e+00, time=2025-01-20 21:32:51 
jj1 = 49, max_th = 1.993375e+00, time=2025-01-20 21:33:28 
jj1 = 28, max_th = 1.963781e+00, time=2025-01-20 21:33:49 
jj1 = 42, max_th = 1.978794e+00, time=2025-01-20 21:34:04 
jj1 = 56, max_th = 1.977254e+00, time=2025-01-20 21:34:08 
jj1 = 7, max_th = 1.975206e+00, time=2025-01-20 21:34:13 
jj1 = 13, max_th = 1.402265e+00, time=2025-01-20 21:35:14 
jj1 = 48, max_th = 1.404676e+00, time=2025-01-20 21:37:14 
jj1 = 41, max_th = 1.404686e+00, time=2025-01-20 21:37:46 
jj1 = 19, max_th = 1.991295e+00, time=2025-01-20 21:38:20 
jj1 = 34, max_th = 1.990859e+00, time=2025-01-20 21:39:52 
jj1 = 12, max_th = 2.434362e+00, time=2025-01-20 21:40:17 
jj1 = 6, max_th = 1.717306e+00, time=2025-01-20 21:40:41 
jj1 = 27, max_th = 1.990786e+00, time=2025-01-20 21:40:50 
jj1 = 55, max_th = 2.219612e+00, time=2025-01-20 21:41:00 
jj1 = 40, max_th = 1.403338e+00, time=2025-01-20 21:41:25 
jj1 = 18, max_th = 2.632988e+00, time=2025-01-20 21:41:39 
jj1 = 11, max_th = 9.688595e-01, time=2025-01-20 21:41:44 
jj1 = 47, max_th = 2.429186e+00, time=2025-01-20 21:42:33 
jj1 = 5, max_th = 2.424603e+00, time=2025-01-20 21:46:02 
jj1 = 33, max_th = 1.992134e+00, time=2025-01-20 21:46:50 
jj1 = 39, max_th = 1.707831e+00, time=2025-01-20 21:47:26 
jj1 = 54, max_th = 2.218942e+00, time=2025-01-20 21:47:48 
jj1 = 26, max_th = 1.981845e+00, time=2025-01-20 21:48:15 
jj1 = 38, max_th = 2.978156e+00, time=2025-01-20 21:48:24 
jj1 = 17, max_th = 1.986703e+00, time=2025-01-20 21:48:55 
jj1 = 10, max_th = 1.988714e+00, time=2025-01-20 21:48:55 
jj1 = 25, max_th = 9.943931e-01, time=2025-01-20 21:49:44 
jj1 = 46, max_th = 1.978212e+00, time=2025-01-20 21:50:06 
jj1 = 37, max_th = 2.629174e+00, time=2025-01-20 21:51:44 
jj1 = 53, max_th = 1.409353e+00, time=2025-01-20 21:51:47 
jj1 = 16, max_th = 1.402387e+00, time=2025-01-20 21:52:27 
