jj1 = 36, max_th = 2.310208e+00, time=2025-04-07 17:59:21 
jj1 = 293, max_th = 2.610855e+00, time=2025-04-07 18:00:57 
jj1 = 42, max_th = 1.821562e+00, time=2025-04-07 18:01:40 
jj1 = 51, max_th = 2.339345e+00, time=2025-04-07 18:02:22 
jj1 = 46, max_th = 1.294952e+00, time=2025-04-07 18:03:06 
jj1 = 137, max_th = 1.542907e+00, time=2025-04-07 18:10:02 
jj1 = 1, max_th = 1.901279e+00, time=2025-04-07 18:11:59 
jj1 = 332, max_th = 1.892101e+00, time=2025-04-07 18:14:02 
jj1 = 22, max_th = 1.702411e+00, time=2025-04-07 18:14:10 
jj1 = 489, max_th = 1.437921e+00, time=2025-04-07 18:16:45 
jj1 = 528, max_th = 1.938035e+00, time=2025-04-07 18:17:13 
jj1 = 450, max_th = 1.746514e+00, time=2025-04-07 18:18:00 
jj1 = 176, max_th = 1.779004e+00, time=2025-04-07 18:18:12 
jj1 = 136, max_th = 2.651412e+00, time=2025-04-07 18:19:15 
jj1 = 216, max_th = 1.975610e+00, time=2025-04-07 18:19:40 
jj1 = 21, max_th = 7.255406e-01, time=2025-04-07 18:20:58 
jj1 = 41, max_th = 1.690546e+00, time=2025-04-07 18:21:47 
jj1 = 99, max_th = 1.498856e+00, time=2025-04-07 18:22:00 
jj1 = 292, max_th = 1.843015e+00, time=2025-04-07 18:24:59 
jj1 = 372, max_th = 2.026174e+00, time=2025-04-07 18:26:25 
jj1 = 331, max_th = 1.859461e+00, time=2025-04-07 18:33:36 
jj1 = 488, max_th = 2.259471e+00, time=2025-04-07 18:34:51 
jj1 = 487, max_th = -2.821305e-04, time=2025-04-07 18:36:21 
jj1 = 330, max_th = 1.007899e+00, time=2025-04-07 18:38:15 
jj1 = 175, max_th = 1.948705e+00, time=2025-04-07 18:38:29 
jj1 = 449, max_th = 2.512269e+00, time=2025-04-07 18:39:19 
jj1 = 411, max_th = 1.997446e+00, time=2025-04-07 18:42:48 
jj1 = 255, max_th = 2.027662e+00, time=2025-04-07 18:44:03 
jj1 = 98, max_th = 1.837753e+00, time=2025-04-07 18:44:40 
jj1 = 215, max_th = 1.965072e+00, time=2025-04-07 18:45:26 
jj1 = 291, max_th = 1.634545e+00, time=2025-04-07 18:47:39 
jj1 = 329, max_th = 1.286696e+00, time=2025-04-07 18:47:50 
jj1 = 371, max_th = 1.778548e+00, time=2025-04-07 18:48:06 
jj1 = 97, max_th = 1.009180e+00, time=2025-04-07 18:49:45 
jj1 = 527, max_th = 1.986232e+00, time=2025-04-07 18:51:40 
jj1 = 135, max_th = 2.113963e+00, time=2025-04-07 18:51:48 
jj1 = 290, max_th = 2.706184e+00, time=2025-04-07 18:55:21 
jj1 = 174, max_th = 1.741593e+00, time=2025-04-07 18:57:24 
jj1 = 448, max_th = 2.418427e+00, time=2025-04-07 18:57:59 
jj1 = 410, max_th = 2.684912e+00, time=2025-04-07 19:00:07 
jj1 = 486, max_th = 1.880773e+00, time=2025-04-07 19:00:11 
jj1 = 370, max_th = 2.250289e+00, time=2025-04-07 19:00:55 
jj1 = 328, max_th = 2.418284e+00, time=2025-04-07 19:01:56 
jj1 = 214, max_th = 2.342348e+00, time=2025-04-07 19:03:13 
jj1 = 526, max_th = 1.407896e+00, time=2025-04-07 19:04:15 
jj1 = 254, max_th = 1.758257e+00, time=2025-04-07 19:04:31 
jj1 = 409, max_th = 8.543325e-01, time=2025-04-07 19:04:49 
