jj1 = 109, max_th = 1.722285e+00, time=2025-03-11 00:29:16 
jj1 = 524, max_th = 1.990322e+00, time=2025-03-11 00:31:13 
jj1 = 466, max_th = 1.975958e+00, time=2025-03-11 00:31:18 
jj1 = 406, max_th = 1.718879e+00, time=2025-03-11 00:32:13 
jj1 = 290, max_th = 1.352162e+00, time=2025-03-11 00:34:02 
jj1 = 108, max_th = 2.625811e+00, time=2025-03-11 00:35:32 
jj1 = 348, max_th = 2.435749e+00, time=2025-03-11 00:37:04 
jj1 = 230, max_th = 1.698429e+00, time=2025-03-11 00:37:45 
jj1 = 523, max_th = 2.443715e+00, time=2025-03-11 00:39:48 
jj1 = 522, max_th = -2.828056e-02, time=2025-03-11 00:40:22 
jj1 = 169, max_th = 1.983404e+00, time=2025-03-11 00:40:55 
jj1 = 465, max_th = 1.716385e+00, time=2025-03-11 00:42:57 
jj1 = 107, max_th = 2.426846e+00, time=2025-03-11 00:45:07 
jj1 = 289, max_th = 1.711947e+00, time=2025-03-11 00:45:25 
jj1 = 405, max_th = 1.976115e+00, time=2025-03-11 00:46:05 
jj1 = 347, max_th = 2.431261e+00, time=2025-03-11 00:46:30 
jj1 = 229, max_th = 2.438014e+00, time=2025-03-11 00:46:45 
jj1 = 288, max_th = 9.771264e-01, time=2025-03-11 00:48:09 
jj1 = 228, max_th = 2.963160e+00, time=2025-03-11 00:48:37 
jj1 = 168, max_th = 2.219468e+00, time=2025-03-11 00:53:28 
jj1 = 521, max_th = 1.964571e+00, time=2025-03-11 00:53:42 
jj1 = 106, max_th = 2.436786e+00, time=2025-03-11 00:54:09 
jj1 = 464, max_th = 2.225723e+00, time=2025-03-11 00:55:35 
jj1 = 404, max_th = 1.967334e+00, time=2025-03-11 00:59:46 
jj1 = 346, max_th = 1.974774e+00, time=2025-03-11 01:00:23 
jj1 = 287, max_th = 1.993587e+00, time=2025-03-11 01:00:43 
jj1 = 227, max_th = 1.994203e+00, time=2025-03-11 01:01:12 
jj1 = 520, max_th = 2.433610e+00, time=2025-03-11 01:03:10 
jj1 = 463, max_th = 2.428069e+00, time=2025-03-11 01:05:18 
jj1 = 105, max_th = 1.710263e+00, time=2025-03-11 01:05:31 
jj1 = 167, max_th = 2.221323e+00, time=2025-03-11 01:06:10 
jj1 = 403, max_th = 1.951711e+00, time=2025-03-11 01:11:14 
jj1 = 104, max_th = 1.406026e+00, time=2025-03-11 01:12:29 
jj1 = 226, max_th = 1.710527e+00, time=2025-03-11 01:12:35 
jj1 = 519, max_th = 2.420749e+00, time=2025-03-11 01:13:02 
jj1 = 345, max_th = 2.223583e+00, time=2025-03-11 01:13:04 
jj1 = 286, max_th = 1.986726e+00, time=2025-03-11 01:14:12 
jj1 = 462, max_th = 1.697682e+00, time=2025-03-11 01:15:11 
jj1 = 166, max_th = 2.194031e+00, time=2025-03-11 01:18:01 
jj1 = 518, max_th = 1.711372e+00, time=2025-03-11 01:24:30 
jj1 = 225, max_th = 1.724826e+00, time=2025-03-11 01:24:51 
jj1 = 402, max_th = 1.974398e+00, time=2025-03-11 01:25:14 
jj1 = 344, max_th = 2.226752e+00, time=2025-03-11 01:25:42 
jj1 = 103, max_th = 1.984673e+00, time=2025-03-11 01:26:01 
jj1 = 285, max_th = 2.223202e+00, time=2025-03-11 01:26:57 
jj1 = 517, max_th = 9.983457e-01, time=2025-03-11 01:27:05 
jj1 = 401, max_th = 9.978940e-01, time=2025-03-11 01:27:46 
jj1 = 461, max_th = 1.987046e+00, time=2025-03-11 01:28:31 
jj1 = 165, max_th = 1.681863e+00, time=2025-03-11 01:29:27 
jj1 = 224, max_th = 1.405739e+00, time=2025-03-11 01:31:52 
jj1 = 164, max_th = 9.620960e-01, time=2025-03-11 01:32:02 
jj1 = 516, max_th = 1.408025e+00, time=2025-03-11 01:34:20 
jj1 = 400, max_th = 1.409032e+00, time=2025-03-11 01:35:02 
jj1 = 343, max_th = 1.719745e+00, time=2025-03-11 01:37:35 
jj1 = 460, max_th = 2.420521e+00, time=2025-03-11 01:38:16 
jj1 = 102, max_th = 2.223187e+00, time=2025-03-11 01:38:37 
jj1 = 284, max_th = 1.989158e+00, time=2025-03-11 01:40:06 
jj1 = 163, max_th = 1.719426e+00, time=2025-03-11 01:44:04 
jj1 = 101, max_th = 1.404349e+00, time=2025-03-11 01:45:25 
jj1 = 223, max_th = 1.965163e+00, time=2025-03-11 01:45:29 
jj1 = 399, max_th = 1.690068e+00, time=2025-03-11 01:46:11 
jj1 = 162, max_th = 9.984413e-01, time=2025-03-11 01:46:37 
jj1 = 459, max_th = 2.432311e+00, time=2025-03-11 01:47:42 
jj1 = 342, max_th = 2.201314e+00, time=2025-03-11 01:47:47 
jj1 = 515, max_th = 1.979373e+00, time=2025-03-11 01:48:13 
jj1 = 100, max_th = 9.837615e-01, time=2025-03-11 01:48:16 
jj1 = 398, max_th = 1.402737e+00, time=2025-03-11 01:52:42 
jj1 = 283, max_th = 2.225125e+00, time=2025-03-11 01:52:53 
jj1 = 222, max_th = 1.371732e+00, time=2025-03-11 01:53:00 
jj1 = 99, max_th = 2.431553e+00, time=2025-03-11 01:57:46 
jj1 = 458, max_th = 1.703056e+00, time=2025-03-11 01:57:49 
jj1 = 161, max_th = 1.719323e+00, time=2025-03-11 01:58:32 
jj1 = 221, max_th = 2.631024e+00, time=2025-03-11 01:59:04 
jj1 = 341, max_th = 1.727743e+00, time=2025-03-11 01:59:55 
jj1 = 514, max_th = 1.725369e+00, time=2025-03-11 02:00:29 
jj1 = 397, max_th = 2.426680e+00, time=2025-03-11 02:02:33 
jj1 = 160, max_th = 1.394614e+00, time=2025-03-11 02:05:23 
jj1 = 282, max_th = 1.993116e+00, time=2025-03-11 02:05:37 
jj1 = 281, max_th = -6.304008e-02, time=2025-03-11 02:06:05 
jj1 = 457, max_th = 1.694614e+00, time=2025-03-11 02:08:24 
jj1 = 98, max_th = 1.718676e+00, time=2025-03-11 02:09:40 
jj1 = 340, max_th = 1.703556e+00, time=2025-03-11 02:10:09 
jj1 = 513, max_th = 1.689312e+00, time=2025-03-11 02:11:15 
