MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 15, max_th = 3.217910e-01, time=2025-04-10 19:52:56 
jj1 = 20, max_th = 9.225195e-01, time=2025-04-10 19:57:35 
jj1 = 60, max_th = 9.599878e-01, time=2025-04-10 20:03:42 
jj1 = 19, max_th = 1.171561e+00, time=2025-04-10 20:05:58 
jj1 = 30, max_th = 1.856091e+00, time=2025-04-10 20:08:42 
jj1 = 10, max_th = 1.864893e+00, time=2025-04-10 20:10:57 
jj1 = 25, max_th = 2.161279e+00, time=2025-04-10 20:12:23 
jj1 = 40, max_th = 2.377389e+00, time=2025-04-10 20:12:32 
jj1 = 5, max_th = 2.132250e+00, time=2025-04-10 20:12:58 
jj1 = 55, max_th = 2.126733e+00, time=2025-04-10 20:13:23 
jj1 = 45, max_th = 2.019923e+00, time=2025-04-10 20:17:00 
jj1 = 18, max_th = 2.472185e+00, time=2025-04-10 20:17:19 
jj1 = 14, max_th = 1.991777e+00, time=2025-04-10 20:17:35 
jj1 = 4, max_th = 8.822522e-01, time=2025-04-10 20:19:06 
jj1 = 50, max_th = 1.840877e+00, time=2025-04-10 20:20:14 
jj1 = 24, max_th = 1.305187e+00, time=2025-04-10 20:24:16 
jj1 = 39, max_th = 1.068998e+00, time=2025-04-10 20:25:33 
jj1 = 17, max_th = 2.604923e+00, time=2025-04-10 20:27:54 
jj1 = 59, max_th = 2.011520e+00, time=2025-04-10 20:29:14 
jj1 = 54, max_th = 2.229371e+00, time=2025-04-10 20:29:33 
jj1 = 3, max_th = 1.240894e+00, time=2025-04-10 20:29:47 
jj1 = 29, max_th = 2.242542e+00, time=2025-04-10 20:30:47 
jj1 = 49, max_th = 1.206655e+00, time=2025-04-10 20:31:20 
jj1 = 38, max_th = 9.352492e-01, time=2025-04-10 20:32:56 
jj1 = 13, max_th = 2.332157e+00, time=2025-04-10 20:38:23 
jj1 = 9, max_th = 1.782213e+00, time=2025-04-10 20:38:30 
jj1 = 35, max_th = 2.053156e+00, time=2025-04-10 20:38:34 
jj1 = 23, max_th = 2.557231e+00, time=2025-04-10 20:38:40 
jj1 = 2, max_th = 1.354902e+00, time=2025-04-10 20:39:59 
jj1 = 37, max_th = 9.197336e-01, time=2025-04-10 20:41:02 
jj1 = 44, max_th = 1.976854e+00, time=2025-04-10 20:42:22 
jj1 = 8, max_th = 1.109982e+00, time=2025-04-10 20:43:20 
jj1 = 16, max_th = 2.417571e+00, time=2025-04-10 20:45:17 
jj1 = 58, max_th = 2.241569e+00, time=2025-04-10 20:47:09 
jj1 = 48, max_th = 1.656971e+00, time=2025-04-10 20:48:11 
jj1 = 1, max_th = 1.219449e+00, time=2025-04-10 20:51:06 
jj1 = 28, max_th = 1.640279e+00, time=2025-04-10 20:51:32 
jj1 = 7, max_th = 3.011685e+00, time=2025-04-10 20:53:36 
jj1 = 22, max_th = 2.527802e+00, time=2025-04-10 20:54:01 
jj1 = 53, max_th = 1.911509e+00, time=2025-04-10 20:55:57 
jj1 = 12, max_th = 1.600747e+00, time=2025-04-10 20:56:36 
jj1 = 43, max_th = 1.699672e+00, time=2025-04-10 20:58:47 
jj1 = 34, max_th = 2.103752e+00, time=2025-04-10 21:00:41 
jj1 = 216, max_th = 2.763547e+00, time=2025-04-10 21:01:16 
jj1 = 47, max_th = 1.371377e+00, time=2025-04-10 21:01:42 
jj1 = 36, max_th = 2.088345e+00, time=2025-04-10 21:05:29 
jj1 = 6, max_th = 1.333917e+00, time=2025-04-10 21:05:38 
jj1 = 33, max_th = 2.737284e+00, time=2025-04-10 21:09:05 
jj1 = 27, max_th = 2.377660e+00, time=2025-04-10 21:10:16 
jj1 = 32, max_th = -6.150350e-02, time=2025-04-10 21:11:04 
jj1 = 52, max_th = 1.482256e+00, time=2025-04-10 21:11:22 
jj1 = 215, max_th = 1.417395e+00, time=2025-04-10 21:11:29 
jj1 = 57, max_th = 1.960181e+00, time=2025-04-10 21:11:45 
jj1 = 99, max_th = 2.356242e+00, time=2025-04-10 21:11:46 
jj1 = 11, max_th = 2.419821e+00, time=2025-04-10 21:16:28 
jj1 = 21, max_th = 2.294192e+00, time=2025-04-10 21:18:16 
jj1 = 42, max_th = 1.613003e+00, time=2025-04-10 21:19:33 
jj1 = 51, max_th = 2.782162e+00, time=2025-04-10 21:20:03 
jj1 = 46, max_th = 2.002308e+00, time=2025-04-10 21:21:51 
jj1 = 372, max_th = 1.708729e+00, time=2025-04-10 21:23:57 
jj1 = 98, max_th = 2.560169e+00, time=2025-04-10 21:26:09 
jj1 = 41, max_th = 9.304283e-01, time=2025-04-10 21:26:14 
jj1 = 138, max_th = 1.377496e+00, time=2025-04-10 21:26:37 
jj1 = 371, max_th = 8.955305e-01, time=2025-04-10 21:27:46 
jj1 = 56, max_th = 1.616580e+00, time=2025-04-10 21:33:27 
jj1 = 489, max_th = 2.221525e+00, time=2025-04-10 21:35:54 
jj1 = 31, max_th = 2.206030e+00, time=2025-04-10 21:36:23 
jj1 = 450, max_th = 2.210446e+00, time=2025-04-10 21:36:40 
jj1 = 177, max_th = 1.862994e+00, time=2025-04-10 21:38:16 
jj1 = 255, max_th = 1.986632e+00, time=2025-04-10 21:38:47 
jj1 = 214, max_th = 1.908190e+00, time=2025-04-10 21:39:23 
jj1 = 26, max_th = 1.969948e+00, time=2025-04-10 21:40:31 
jj1 = 176, max_th = 6.183450e-01, time=2025-04-10 21:40:42 
jj1 = 488, max_th = 3.023061e+00, time=2025-04-10 21:43:04 
jj1 = 411, max_th = 2.083855e+00, time=2025-04-10 21:48:08 
jj1 = 213, max_th = 2.773215e+00, time=2025-04-10 21:48:13 
jj1 = 97, max_th = 2.519096e+00, time=2025-04-10 21:49:19 
jj1 = 528, max_th = 2.042907e+00, time=2025-04-10 21:49:30 
jj1 = 370, max_th = 2.263073e+00, time=2025-04-10 21:51:11 
jj1 = 137, max_th = 1.869955e+00, time=2025-04-10 21:57:36 
jj1 = 487, max_th = 1.353144e+00, time=2025-04-10 21:59:05 
jj1 = 527, max_th = 1.291048e+00, time=2025-04-10 21:59:46 
jj1 = 254, max_th = 1.750987e+00, time=2025-04-10 22:00:25 
jj1 = 96, max_th = 1.279006e+00, time=2025-04-10 22:00:35 
jj1 = 449, max_th = 2.533398e+00, time=2025-04-10 22:00:51 
jj1 = 136, max_th = 1.161264e+00, time=2025-04-10 22:00:52 
jj1 = 333, max_th = 2.084175e+00, time=2025-04-10 22:02:35 
jj1 = 294, max_th = 2.145090e+00, time=2025-04-10 22:08:15 
jj1 = 253, max_th = 1.271899e+00, time=2025-04-10 22:09:25 
jj1 = 175, max_th = 2.358944e+00, time=2025-04-10 22:10:33 
jj1 = 369, max_th = 2.170650e+00, time=2025-04-10 22:11:57 
jj1 = 410, max_th = 2.325604e+00, time=2025-04-10 22:14:48 
jj1 = 332, max_th = 1.087027e+00, time=2025-04-10 22:14:50 
jj1 = 409, max_th = 3.205902e+00, time=2025-04-10 22:15:59 
jj1 = 526, max_th = 1.691940e+00, time=2025-04-10 22:17:26 
jj1 = 525, max_th = 4.605747e-01, time=2025-04-10 22:19:35 
jj1 = 448, max_th = 1.897066e+00, time=2025-04-10 22:20:12 
jj1 = 252, max_th = 2.362457e+00, time=2025-04-10 22:21:19 
jj1 = 486, max_th = 2.430177e+00, time=2025-04-10 22:21:22 
jj1 = 95, max_th = 1.379675e+00, time=2025-04-10 22:21:34 
jj1 = 135, max_th = 1.783050e+00, time=2025-04-10 22:23:17 
jj1 = 408, max_th = 1.205926e+00, time=2025-04-10 22:23:43 
jj1 = 524, max_th = 9.687612e-01, time=2025-04-10 22:25:56 
jj1 = 293, max_th = 1.735369e+00, time=2025-04-10 22:26:50 
jj1 = 174, max_th = 2.204938e+00, time=2025-04-10 22:28:28 
jj1 = 251, max_th = 2.880573e+00, time=2025-04-10 22:28:36 
jj1 = 331, max_th = 2.139179e+00, time=2025-04-10 22:33:26 
jj1 = 330, max_th = 5.950054e-01, time=2025-04-10 22:34:48 
jj1 = 368, max_th = 1.857483e+00, time=2025-04-10 22:35:02 
jj1 = 407, max_th = 1.411184e+00, time=2025-04-10 22:36:45 
jj1 = 94, max_th = 2.298864e+00, time=2025-04-10 22:38:14 
jj1 = 523, max_th = 1.761795e+00, time=2025-04-10 22:44:32 
jj1 = 292, max_th = 2.434839e+00, time=2025-04-10 22:45:04 
jj1 = 134, max_th = 2.223549e+00, time=2025-04-10 22:46:13 
jj1 = 250, max_th = 1.847730e+00, time=2025-04-10 22:46:51 
jj1 = 447, max_th = 2.080923e+00, time=2025-04-10 22:46:53 
jj1 = 212, max_th = 1.643125e+00, time=2025-04-10 22:46:59 
jj1 = 485, max_th = 2.136153e+00, time=2025-04-10 22:47:22 
jj1 = 329, max_th = 1.380867e+00, time=2025-04-10 22:47:31 
jj1 = 93, max_th = 2.539733e+00, time=2025-04-10 22:48:24 
jj1 = 367, max_th = 1.442866e+00, time=2025-04-10 22:50:27 
jj1 = 173, max_th = 2.051556e+00, time=2025-04-10 22:51:40 
jj1 = 522, max_th = 1.501378e+00, time=2025-04-10 22:57:17 
jj1 = 133, max_th = 2.601913e+00, time=2025-04-10 22:58:01 
jj1 = 366, max_th = 1.093879e+00, time=2025-04-10 22:58:40 
jj1 = 328, max_th = 1.222123e+00, time=2025-04-10 22:59:16 
jj1 = 406, max_th = 2.463101e+00, time=2025-04-10 22:59:53 
jj1 = 484, max_th = 2.575810e+00, time=2025-04-10 23:00:03 
jj1 = 172, max_th = 1.247181e+00, time=2025-04-10 23:02:59 
jj1 = 249, max_th = 2.298091e+00, time=2025-04-10 23:03:12 
jj1 = 132, max_th = 3.201497e+00, time=2025-04-10 23:03:18 
jj1 = 291, max_th = 1.949768e+00, time=2025-04-10 23:03:43 
jj1 = 405, max_th = 1.192676e+00, time=2025-04-10 23:08:12 
jj1 = 92, max_th = 2.246747e+00, time=2025-04-10 23:08:57 
jj1 = 446, max_th = 2.209023e+00, time=2025-04-10 23:11:22 
jj1 = 211, max_th = 2.011638e+00, time=2025-04-10 23:13:13 
jj1 = 290, max_th = 1.221328e+00, time=2025-04-10 23:16:32 
jj1 = 91, max_th = 2.433867e+00, time=2025-04-10 23:17:21 
jj1 = 327, max_th = 2.275929e+00, time=2025-04-10 23:18:03 
jj1 = 90, max_th = 3.237184e+00, time=2025-04-10 23:18:59 
jj1 = 365, max_th = 1.831475e+00, time=2025-04-10 23:19:45 
jj1 = 521, max_th = 2.162709e+00, time=2025-04-10 23:20:22 
jj1 = 248, max_th = 2.423723e+00, time=2025-04-10 23:21:25 
jj1 = 171, max_th = 1.697051e+00, time=2025-04-10 23:23:10 
jj1 = 131, max_th = 1.582787e+00, time=2025-04-10 23:25:02 
jj1 = 483, max_th = 2.137464e+00, time=2025-04-10 23:25:48 
jj1 = 210, max_th = 2.498877e+00, time=2025-04-10 23:27:09 
jj1 = 89, max_th = 2.666673e+00, time=2025-04-10 23:29:50 
jj1 = 170, max_th = 2.724543e+00, time=2025-04-10 23:30:05 
jj1 = 445, max_th = 1.741550e+00, time=2025-04-10 23:30:07 
jj1 = 404, max_th = 1.846082e+00, time=2025-04-10 23:31:52 
jj1 = 247, max_th = 2.705462e+00, time=2025-04-10 23:31:59 
jj1 = 88, max_th = 3.128735e+00, time=2025-04-10 23:33:04 
jj1 = 520, max_th = 2.401869e+00, time=2025-04-10 23:33:33 
jj1 = 87, max_th = 1.132553e+00, time=2025-04-10 23:35:25 
jj1 = 326, max_th = 2.546199e+00, time=2025-04-10 23:35:27 
jj1 = 246, max_th = 1.050503e+00, time=2025-04-10 23:37:19 
jj1 = 519, max_th = 1.204061e+00, time=2025-04-10 23:40:42 
jj1 = 289, max_th = 2.067802e+00, time=2025-04-10 23:42:17 
jj1 = 364, max_th = 2.267919e+00, time=2025-04-10 23:44:51 
jj1 = 518, max_th = 8.843672e-01, time=2025-04-10 23:47:13 
jj1 = 130, max_th = 2.135621e+00, time=2025-04-10 23:49:03 
jj1 = 517, max_th = -2.588964e-03, time=2025-04-10 23:49:10 
jj1 = 403, max_th = 1.679993e+00, time=2025-04-10 23:50:00 
jj1 = 129, max_th = 3.117767e+00, time=2025-04-10 23:51:00 
jj1 = 209, max_th = 1.738781e+00, time=2025-04-10 23:56:40 
jj1 = 245, max_th = 2.095459e+00, time=2025-04-10 23:56:40 
jj1 = 325, max_th = 1.108778e+00, time=2025-04-10 23:58:07 
jj1 = 444, max_th = 2.049218e+00, time=2025-04-11 00:00:07 
jj1 = 86, max_th = 1.756933e+00, time=2025-04-11 00:00:15 
jj1 = 363, max_th = 1.617541e+00, time=2025-04-11 00:01:57 
jj1 = 169, max_th = 2.040818e+00, time=2025-04-11 00:03:49 
jj1 = 402, max_th = 1.556105e+00, time=2025-04-11 00:04:10 
jj1 = 443, max_th = 2.881455e+00, time=2025-04-11 00:04:53 
jj1 = 288, max_th = 1.683164e+00, time=2025-04-11 00:06:04 
jj1 = 482, max_th = 2.224018e+00, time=2025-04-11 00:08:51 
jj1 = 516, max_th = 1.864735e+00, time=2025-04-11 00:09:49 
jj1 = 244, max_th = 2.628886e+00, time=2025-04-11 00:10:24 
jj1 = 362, max_th = 2.511929e+00, time=2025-04-11 00:14:34 
jj1 = 128, max_th = 1.859015e+00, time=2025-04-11 00:15:29 
jj1 = 85, max_th = 2.266676e+00, time=2025-04-11 00:16:09 
jj1 = 208, max_th = 1.706323e+00, time=2025-04-11 00:18:54 
jj1 = 287, max_th = 1.486497e+00, time=2025-04-11 00:22:49 
jj1 = 324, max_th = 1.516750e+00, time=2025-04-11 00:24:11 
jj1 = 168, max_th = 1.576103e+00, time=2025-04-11 00:25:01 
jj1 = 481, max_th = 2.376845e+00, time=2025-04-11 00:25:53 
jj1 = 84, max_th = 1.318327e+00, time=2025-04-11 00:26:08 
jj1 = 442, max_th = 1.838617e+00, time=2025-04-11 00:28:47 
jj1 = 515, max_th = 1.624892e+00, time=2025-04-11 00:30:12 
jj1 = 167, max_th = 1.297820e+00, time=2025-04-11 00:33:50 
jj1 = 441, max_th = 9.990188e-01, time=2025-04-11 00:33:56 
jj1 = 401, max_th = 1.912335e+00, time=2025-04-11 00:36:42 
jj1 = 514, max_th = 2.719054e+00, time=2025-04-11 00:39:06 
jj1 = 400, max_th = 2.602720e+00, time=2025-04-11 00:39:41 
jj1 = 323, max_th = 1.605016e+00, time=2025-04-11 00:40:52 
jj1 = 127, max_th = 2.024401e+00, time=2025-04-11 00:43:19 
jj1 = 243, max_th = 2.308472e+00, time=2025-04-11 00:45:42 
jj1 = 166, max_th = 1.468973e+00, time=2025-04-11 00:47:30 
jj1 = 207, max_th = 2.209111e+00, time=2025-04-11 00:48:27 
jj1 = 480, max_th = 1.785594e+00, time=2025-04-11 00:49:20 
jj1 = 286, max_th = 2.119948e+00, time=2025-04-11 00:52:00 
jj1 = 83, max_th = 2.147273e+00, time=2025-04-11 00:54:14 
jj1 = 322, max_th = 1.402583e+00, time=2025-04-11 00:57:14 
jj1 = 399, max_th = 2.109866e+00, time=2025-04-11 00:57:35 
jj1 = 361, max_th = 2.308108e+00, time=2025-04-11 00:58:54 
jj1 = 206, max_th = 1.310552e+00, time=2025-04-11 00:59:33 
