MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 292, max_th = 2.311760e+00, time=2024-09-08 11:38:29 
jj1 = 450, max_th = 1.838025e+00, time=2024-09-08 11:38:52 
jj1 = 408, max_th = 1.663002e+00, time=2024-09-08 11:40:10 
jj1 = 526, max_th = 2.297918e+00, time=2024-09-08 11:41:14 
jj1 = 97, max_th = 2.396560e+00, time=2024-09-08 11:41:33 
jj1 = 254, max_th = 2.149527e+00, time=2024-09-08 11:42:10 
jj1 = 525, max_th = 8.782242e-01, time=2024-09-08 11:42:39 
jj1 = 137, max_th = 1.919854e+00, time=2024-09-08 11:43:04 
jj1 = 449, max_th = 2.556789e+00, time=2024-09-08 11:43:22 
jj1 = 214, max_th = 1.606882e+00, time=2024-09-08 11:44:01 
jj1 = 371, max_th = 1.822485e+00, time=2024-09-08 11:44:32 
jj1 = 407, max_th = 2.553490e+00, time=2024-09-08 11:44:34 
jj1 = 487, max_th = 2.127892e+00, time=2024-09-08 11:46:14 
jj1 = 331, max_th = 2.177522e+00, time=2024-09-08 11:46:17 
jj1 = 175, max_th = 2.135303e+00, time=2024-09-08 11:46:53 
jj1 = 291, max_th = 1.920424e+00, time=2024-09-08 11:47:21 
jj1 = 524, max_th = 1.736507e+00, time=2024-09-08 11:50:34 
jj1 = 448, max_th = 1.672938e+00, time=2024-09-08 11:50:58 
jj1 = 96, max_th = 1.926317e+00, time=2024-09-08 11:51:07 
jj1 = 253, max_th = 1.974749e+00, time=2024-09-08 11:51:25 
jj1 = 136, max_th = 2.160932e+00, time=2024-09-08 11:51:26 
jj1 = 213, max_th = 2.103978e+00, time=2024-09-08 11:51:40 
jj1 = 447, max_th = 8.973232e-01, time=2024-09-08 11:52:10 
jj1 = 406, max_th = 2.194558e+00, time=2024-09-08 11:52:11 
jj1 = 330, max_th = 1.949316e+00, time=2024-09-08 11:53:09 
jj1 = 290, max_th = 2.471622e+00, time=2024-09-08 11:53:10 
jj1 = 370, max_th = 1.963025e+00, time=2024-09-08 11:53:27 
jj1 = 174, max_th = 1.636555e+00, time=2024-09-08 11:53:43 
jj1 = 486, max_th = 2.313063e+00, time=2024-09-08 11:53:44 
jj1 = 369, max_th = 8.890022e-01, time=2024-09-08 11:54:47 
jj1 = 212, max_th = 2.731111e+00, time=2024-09-08 11:54:53 
jj1 = 523, max_th = 2.563108e+00, time=2024-09-08 11:55:14 
jj1 = 95, max_th = 2.251667e+00, time=2024-09-08 11:57:23 
jj1 = 252, max_th = 1.692477e+00, time=2024-09-08 11:58:35 
jj1 = 485, max_th = 2.577330e+00, time=2024-09-08 11:58:36 
jj1 = 446, max_th = 2.380774e+00, time=2024-09-08 11:59:01 
jj1 = 135, max_th = 2.145856e+00, time=2024-09-08 11:59:13 
jj1 = 173, max_th = 2.386681e+00, time=2024-09-08 12:00:10 
jj1 = 251, max_th = 9.147842e-01, time=2024-09-08 12:00:10 
jj1 = 405, max_th = 1.814686e+00, time=2024-09-08 12:00:29 
jj1 = 368, max_th = 2.321577e+00, time=2024-09-08 12:00:45 
jj1 = 289, max_th = 2.161389e+00, time=2024-09-08 12:01:25 
jj1 = 211, max_th = 1.615235e+00, time=2024-09-08 12:01:55 
jj1 = 329, max_th = 1.938311e+00, time=2024-09-08 12:01:59 
jj1 = 94, max_th = 2.352506e+00, time=2024-09-08 12:03:25 
jj1 = 522, max_th = 1.907377e+00, time=2024-09-08 12:03:32 
jj1 = 134, max_th = 2.577620e+00, time=2024-09-08 12:04:03 
jj1 = 250, max_th = 2.585572e+00, time=2024-09-08 12:04:33 
jj1 = 172, max_th = 2.504486e+00, time=2024-09-08 12:04:57 
jj1 = 521, max_th = 2.747069e+00, time=2024-09-08 12:06:00 
jj1 = 484, max_th = 1.685022e+00, time=2024-09-08 12:06:20 
jj1 = 445, max_th = 1.717384e+00, time=2024-09-08 12:06:43 
jj1 = 328, max_th = 1.366860e+00, time=2024-09-08 12:06:50 
jj1 = 404, max_th = 1.697997e+00, time=2024-09-08 12:06:54 
jj1 = 93, max_th = 2.585422e+00, time=2024-09-08 12:07:47 
jj1 = 288, max_th = 2.381773e+00, time=2024-09-08 12:08:09 
jj1 = 367, max_th = 1.733443e+00, time=2024-09-08 12:08:42 
jj1 = 133, max_th = 2.399700e+00, time=2024-09-08 12:08:52 
jj1 = 210, max_th = 1.898313e+00, time=2024-09-08 12:09:09 
jj1 = 171, max_th = 1.314474e+00, time=2024-09-08 12:09:10 
jj1 = 483, max_th = 2.604465e+00, time=2024-09-08 12:10:26 
jj1 = 444, max_th = 2.530169e+00, time=2024-09-08 12:12:01 
jj1 = 366, max_th = 1.240558e+00, time=2024-09-08 12:12:04 
jj1 = 287, max_th = 1.322737e+00, time=2024-09-08 12:12:24 
jj1 = 170, max_th = 1.241057e+00, time=2024-09-08 12:12:57 
jj1 = 403, max_th = 1.535991e+00, time=2024-09-08 12:13:11 
jj1 = 249, max_th = 2.126589e+00, time=2024-09-08 12:13:38 
jj1 = 520, max_th = 1.944249e+00, time=2024-09-08 12:14:16 
jj1 = 209, max_th = 2.199855e+00, time=2024-09-08 12:14:34 
jj1 = 327, max_th = 1.808033e+00, time=2024-09-08 12:15:04 
jj1 = 92, max_th = 1.668874e+00, time=2024-09-08 12:15:11 
jj1 = 132, max_th = 1.621191e+00, time=2024-09-08 12:16:15 
