MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 293, max_th = 1.918210e+00, time=2024-09-08 11:45:47 
jj1 = 528, max_th = 2.396000e+00, time=2024-09-08 11:46:06 
jj1 = 98, max_th = 2.942340e+00, time=2024-09-08 11:47:06 
jj1 = 447, max_th = 1.525141e+00, time=2024-09-08 11:47:37 
jj1 = 215, max_th = 1.744012e+00, time=2024-09-08 11:49:24 
jj1 = 371, max_th = 2.077338e+00, time=2024-09-08 11:50:35 
jj1 = 410, max_th = 2.233233e+00, time=2024-09-08 11:50:49 
jj1 = 485, max_th = 2.024246e+00, time=2024-09-08 11:51:16 
jj1 = 97, max_th = 1.917277e+00, time=2024-09-08 11:51:32 
jj1 = 484, max_th = 9.636304e-02, time=2024-09-08 11:51:55 
jj1 = 251, max_th = 1.994072e+00, time=2024-09-08 11:52:39 
jj1 = 527, max_th = 1.428541e+00, time=2024-09-08 11:52:40 
jj1 = 446, max_th = 1.173139e+00, time=2024-09-08 11:53:01 
jj1 = 333, max_th = 1.885000e+00, time=2024-09-08 11:53:23 
jj1 = 292, max_th = 2.344532e+00, time=2024-09-08 11:53:28 
jj1 = 136, max_th = -4.808132e-01, time=2024-09-08 11:54:37 
jj1 = 250, max_th = 1.100504e+00, time=2024-09-08 11:54:40 
jj1 = 332, max_th = 2.934867e+00, time=2024-09-08 11:56:16 
jj1 = 445, max_th = 9.200504e-01, time=2024-09-08 11:56:17 
jj1 = 291, max_th = 2.780226e+00, time=2024-09-08 11:56:58 
jj1 = 409, max_th = 1.465146e+00, time=2024-09-08 11:57:21 
jj1 = 96, max_th = 2.193696e+00, time=2024-09-08 11:57:26 
jj1 = 444, max_th = 3.379059e+00, time=2024-09-08 11:57:59 
jj1 = 443, max_th = -1.146340e-01, time=2024-09-08 11:58:31 
jj1 = 95, max_th = 2.962429e+00, time=2024-09-08 11:58:39 
jj1 = 526, max_th = 1.511655e+00, time=2024-09-08 11:59:28 
jj1 = 331, max_th = 2.534455e+00, time=2024-09-08 11:59:29 
jj1 = 370, max_th = 1.975474e+00, time=2024-09-08 11:59:46 
jj1 = 214, max_th = 1.825574e+00, time=2024-09-08 11:59:54 
jj1 = 483, max_th = 1.911061e+00, time=2024-09-08 12:01:16 
jj1 = 135, max_th = 2.316302e+00, time=2024-09-08 12:01:36 
jj1 = 290, max_th = 1.606113e+00, time=2024-09-08 12:03:37 
jj1 = 289, max_th = -5.166593e-01, time=2024-09-08 12:03:49 
jj1 = 249, max_th = 2.229483e+00, time=2024-09-08 12:04:05 
jj1 = 213, max_th = 2.633834e+00, time=2024-09-08 12:04:15 
jj1 = 525, max_th = 1.491792e+00, time=2024-09-08 12:05:14 
jj1 = 524, max_th = 2.057323e-01, time=2024-09-08 12:05:18 
