jj1 = 28, max_th = 9.881401e-01, time=2025-03-09 10:05:06 
jj1 = 35, max_th = 2.809065e+00, time=2025-03-09 10:05:38 
jj1 = 21, max_th = 2.600063e+00, time=2025-03-09 10:06:20 
jj1 = 42, max_th = 2.627031e+00, time=2025-03-09 10:08:33 
jj1 = 56, max_th = 1.329301e+00, time=2025-03-09 10:09:09 
jj1 = 7, max_th = 1.720529e+00, time=2025-03-09 10:14:23 
jj1 = 14, max_th = 2.213697e+00, time=2025-03-09 10:14:38 
jj1 = 49, max_th = 1.977928e+00, time=2025-03-09 10:16:15 
jj1 = 41, max_th = 1.703178e+00, time=2025-03-09 10:18:43 
jj1 = 34, max_th = 1.988920e+00, time=2025-03-09 10:18:52 
jj1 = 27, max_th = 1.984347e+00, time=2025-03-09 10:18:56 
jj1 = 20, max_th = 1.978354e+00, time=2025-03-09 10:20:25 
jj1 = 33, max_th = 9.984128e-01, time=2025-03-09 10:21:24 
jj1 = 13, max_th = 1.406222e+00, time=2025-03-09 10:21:45 
jj1 = 55, max_th = 1.960230e+00, time=2025-03-09 10:22:13 
jj1 = 26, max_th = 2.815039e+00, time=2025-03-09 10:22:18 
jj1 = 12, max_th = 9.946691e-01, time=2025-03-09 10:24:31 
jj1 = 6, max_th = 1.709299e+00, time=2025-03-09 10:25:40 
jj1 = 48, max_th = 1.711058e+00, time=2025-03-09 10:27:36 
jj1 = 5, max_th = 2.805994e+00, time=2025-03-09 10:28:57 
jj1 = 25, max_th = 1.392113e+00, time=2025-03-09 10:29:21 
jj1 = 40, max_th = 1.711813e+00, time=2025-03-09 10:30:19 
jj1 = 4, max_th = 2.816854e+00, time=2025-03-09 10:32:22 
jj1 = 19, max_th = 2.211956e+00, time=2025-03-09 10:32:39 
jj1 = 11, max_th = 2.436228e+00, time=2025-03-09 10:33:45 
jj1 = 54, max_th = 1.724662e+00, time=2025-03-09 10:34:28 
jj1 = 32, max_th = 1.970801e+00, time=2025-03-09 10:35:19 
jj1 = 24, max_th = 2.433513e+00, time=2025-03-09 10:38:46 
