MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 331, max_th = 1.362277e+00, time=2024-09-04 22:17:40 
jj1 = 97, max_th = 1.343921e+00, time=2024-09-04 22:18:21 
jj1 = 137, max_th = 1.911916e+00, time=2024-09-04 22:18:58 
jj1 = 175, max_th = 2.091916e+00, time=2024-09-04 22:19:09 
jj1 = 489, max_th = 1.653023e+00, time=2024-09-04 22:19:53 
jj1 = 408, max_th = 2.259017e+00, time=2024-09-04 22:21:28 
jj1 = 450, max_th = 1.602223e+00, time=2024-09-04 22:21:32 
jj1 = 214, max_th = 1.401195e+00, time=2024-09-04 22:21:54 
jj1 = 368, max_th = 1.472232e+00, time=2024-09-04 22:22:16 
jj1 = 294, max_th = 1.810792e+00, time=2024-09-04 22:22:56 
jj1 = 525, max_th = 2.010117e+00, time=2024-09-04 22:23:27 
jj1 = 330, max_th = 1.800124e+00, time=2024-09-04 22:23:56 
jj1 = 407, max_th = 1.387752e+00, time=2024-09-04 22:24:11 
jj1 = 254, max_th = 1.789719e+00, time=2024-09-04 22:24:44 
jj1 = 329, max_th = 8.343255e-01, time=2024-09-04 22:24:49 
jj1 = 96, max_th = 2.050279e+00, time=2024-09-04 22:26:11 
jj1 = 524, max_th = 1.060933e+00, time=2024-09-04 22:26:11 
jj1 = 293, max_th = 1.521926e+00, time=2024-09-04 22:27:33 
jj1 = 174, max_th = 1.945416e+00, time=2024-09-04 22:27:48 
jj1 = 253, max_th = 2.767052e+00, time=2024-09-04 22:28:04 
jj1 = 95, max_th = 1.019167e+00, time=2024-09-04 22:28:48 
jj1 = 488, max_th = 2.037787e+00, time=2024-09-04 22:29:01 
jj1 = 136, max_th = 2.278073e+00, time=2024-09-04 22:29:41 
jj1 = 406, max_th = 1.569498e+00, time=2024-09-04 22:30:00 
jj1 = 449, max_th = 2.111338e+00, time=2024-09-04 22:30:24 
jj1 = 328, max_th = 1.368726e+00, time=2024-09-04 22:30:56 
jj1 = 292, max_th = 1.408964e+00, time=2024-09-04 22:31:44 
jj1 = 252, max_th = 1.575068e+00, time=2024-09-04 22:32:42 
jj1 = 523, max_th = 2.244139e+00, time=2024-09-04 22:32:54 
jj1 = 367, max_th = 2.119080e+00, time=2024-09-04 22:33:36 
jj1 = 213, max_th = 2.124829e+00, time=2024-09-04 22:34:05 
jj1 = 135, max_th = 1.900927e+00, time=2024-09-04 22:35:11 
jj1 = 448, max_th = 1.458416e+00, time=2024-09-04 22:35:37 
jj1 = 173, max_th = 2.190327e+00, time=2024-09-04 22:36:29 
jj1 = 405, max_th = 1.624874e+00, time=2024-09-04 22:37:29 
jj1 = 134, max_th = 2.674811e+00, time=2024-09-04 22:38:09 
jj1 = 94, max_th = 1.876893e+00, time=2024-09-04 22:38:40 
jj1 = 291, max_th = 2.420067e+00, time=2024-09-04 22:38:43 
jj1 = 327, max_th = 1.872663e+00, time=2024-09-04 22:38:46 
jj1 = 487, max_th = 1.663249e+00, time=2024-09-04 22:38:59 
jj1 = 486, max_th = 5.674092e-01, time=2024-09-04 22:41:18 
jj1 = 251, max_th = 2.373043e+00, time=2024-09-04 22:41:21 
jj1 = 366, max_th = 1.905165e+00, time=2024-09-04 22:41:32 
jj1 = 93, max_th = 1.064705e+00, time=2024-09-04 22:41:44 
jj1 = 212, max_th = 1.539710e+00, time=2024-09-04 22:42:40 
jj1 = 133, max_th = 1.633442e+00, time=2024-09-04 22:43:06 
jj1 = 522, max_th = 2.078967e+00, time=2024-09-04 22:43:09 
jj1 = 172, max_th = 2.025440e+00, time=2024-09-04 22:43:47 
jj1 = 326, max_th = 1.899852e+00, time=2024-09-04 22:44:44 
jj1 = 521, max_th = 1.152191e+00, time=2024-09-04 22:45:42 
jj1 = 404, max_th = 1.651950e+00, time=2024-09-04 22:45:58 
jj1 = 447, max_th = 2.462870e+00, time=2024-09-04 22:47:14 
jj1 = 211, max_th = 1.701813e+00, time=2024-09-04 22:48:42 
jj1 = 92, max_th = 1.618794e+00, time=2024-09-04 22:48:54 
jj1 = 365, max_th = 2.365646e+00, time=2024-09-04 22:48:54 
jj1 = 485, max_th = 3.270111e+00, time=2024-09-04 22:49:12 
jj1 = 290, max_th = 1.979085e+00, time=2024-09-04 22:49:14 
jj1 = 325, max_th = 2.467073e+00, time=2024-09-04 22:50:08 
jj1 = 250, max_th = 2.134362e+00, time=2024-09-04 22:50:15 
jj1 = 171, max_th = 1.515514e+00, time=2024-09-04 22:50:30 
jj1 = 403, max_th = 2.557497e+00, time=2024-09-04 22:50:43 
jj1 = 364, max_th = 1.103242e+00, time=2024-09-04 22:51:31 
jj1 = 520, max_th = 2.350433e+00, time=2024-09-04 22:51:32 
jj1 = 91, max_th = 1.086061e+00, time=2024-09-04 22:51:43 
jj1 = 446, max_th = 1.641989e+00, time=2024-09-04 22:52:18 
jj1 = 363, max_th = 7.901383e-01, time=2024-09-04 22:52:25 
jj1 = 249, max_th = 1.258855e+00, time=2024-09-04 22:55:31 
jj1 = 362, max_th = 1.620850e+00, time=2024-09-04 22:56:05 
jj1 = 289, max_th = 2.542851e+00, time=2024-09-04 22:56:12 
jj1 = 484, max_th = 1.802327e+00, time=2024-09-04 22:56:39 
jj1 = 483, max_th = 1.047070e+00, time=2024-09-04 22:56:53 
jj1 = 445, max_th = 2.596443e+00, time=2024-09-04 22:57:04 
jj1 = 324, max_th = 2.157444e+00, time=2024-09-04 22:57:41 
jj1 = 170, max_th = 1.781720e+00, time=2024-09-04 22:59:36 
jj1 = 402, max_th = 2.022970e+00, time=2024-09-04 23:00:26 
jj1 = 519, max_th = 2.071011e+00, time=2024-09-04 23:01:48 
jj1 = 210, max_th = 2.021511e+00, time=2024-09-04 23:02:49 
jj1 = 361, max_th = 1.439414e+00, time=2024-09-04 23:03:15 
jj1 = 90, max_th = 2.231504e+00, time=2024-09-04 23:03:29 
jj1 = 288, max_th = 2.533252e+00, time=2024-09-04 23:03:37 
jj1 = 248, max_th = 2.007685e+00, time=2024-09-04 23:05:04 
jj1 = 132, max_th = 1.216146e+00, time=2024-09-04 23:05:45 
jj1 = 482, max_th = 1.982825e+00, time=2024-09-04 23:05:57 
jj1 = 481, max_th = -3.374147e-02, time=2024-09-04 23:06:03 
jj1 = 401, max_th = 1.658846e+00, time=2024-09-04 23:06:12 
jj1 = 444, max_th = 2.240195e+00, time=2024-09-04 23:06:21 
jj1 = 518, max_th = 3.001260e+00, time=2024-09-04 23:06:22 
jj1 = 169, max_th = 2.262441e+00, time=2024-09-04 23:06:58 
jj1 = 89, max_th = 2.973240e+00, time=2024-09-04 23:07:03 
jj1 = 209, max_th = 2.589873e+00, time=2024-09-04 23:08:18 
jj1 = 323, max_th = 1.761185e+00, time=2024-09-04 23:09:53 
