MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 60, max_th = 2.897552e+00, time=2024-09-04 21:31:57 
jj1 = 30, max_th = 2.598666e+00, time=2024-09-04 21:33:52 
jj1 = 45, max_th = 2.523653e+00, time=2024-09-04 21:35:36 
jj1 = 50, max_th = 2.401313e+00, time=2024-09-04 21:35:39 
jj1 = 10, max_th = 2.388634e+00, time=2024-09-04 21:36:43 
jj1 = 5, max_th = 1.612086e+00, time=2024-09-04 21:36:56 
jj1 = 40, max_th = 1.690522e+00, time=2024-09-04 21:37:22 
jj1 = 59, max_th = 1.611163e+00, time=2024-09-04 21:38:21 
jj1 = 35, max_th = 2.182754e+00, time=2024-09-04 21:38:40 
jj1 = 20, max_th = 1.940611e+00, time=2024-09-04 21:38:41 
jj1 = 15, max_th = 1.767592e+00, time=2024-09-04 21:38:46 
jj1 = 25, max_th = 1.983046e+00, time=2024-09-04 21:39:11 
jj1 = 55, max_th = 1.970076e+00, time=2024-09-04 21:39:11 
jj1 = 9, max_th = 2.677187e+00, time=2024-09-04 21:40:05 
jj1 = 44, max_th = 1.363540e+00, time=2024-09-04 21:40:06 
jj1 = 39, max_th = 2.400814e+00, time=2024-09-04 21:42:17 
jj1 = 29, max_th = 2.073851e+00, time=2024-09-04 21:42:24 
jj1 = 49, max_th = 1.629188e+00, time=2024-09-04 21:42:33 
jj1 = 4, max_th = 2.110359e+00, time=2024-09-04 21:45:03 
jj1 = 28, max_th = 1.282666e+00, time=2024-09-04 21:45:56 
jj1 = 43, max_th = 1.568460e+00, time=2024-09-04 21:46:05 
jj1 = 34, max_th = 1.943158e+00, time=2024-09-04 21:46:26 
jj1 = 24, max_th = 1.896705e+00, time=2024-09-04 21:46:34 
jj1 = 14, max_th = 1.860747e+00, time=2024-09-04 21:46:39 
jj1 = 13, max_th = 3.669706e+00, time=2024-09-04 21:46:40 
jj1 = 19, max_th = 1.960508e+00, time=2024-09-04 21:46:45 
jj1 = 58, max_th = 1.966869e+00, time=2024-09-04 21:46:48 
jj1 = 8, max_th = 1.626779e+00, time=2024-09-04 21:47:21 
jj1 = 54, max_th = 1.920128e+00, time=2024-09-04 21:47:32 
jj1 = 38, max_th = 1.646267e+00, time=2024-09-04 21:48:27 
jj1 = 12, max_th = 1.296408e+00, time=2024-09-04 21:50:13 
jj1 = 27, max_th = 1.381109e+00, time=2024-09-04 21:50:37 
jj1 = 48, max_th = 1.963226e+00, time=2024-09-04 21:51:02 
jj1 = 53, max_th = 1.339543e+00, time=2024-09-04 21:51:16 
jj1 = 7, max_th = 1.384158e+00, time=2024-09-04 21:51:54 
jj1 = 3, max_th = 2.103151e+00, time=2024-09-04 21:52:13 
jj1 = 33, max_th = 2.347245e+00, time=2024-09-04 21:52:19 
jj1 = 23, max_th = 1.705668e+00, time=2024-09-04 21:53:17 
jj1 = 42, max_th = 2.153951e+00, time=2024-09-04 21:53:17 
jj1 = 57, max_th = 2.323919e+00, time=2024-09-04 21:54:02 
jj1 = 41, max_th = 8.229212e-01, time=2024-09-04 21:54:31 
jj1 = 18, max_th = 2.169084e+00, time=2024-09-04 21:54:48 
jj1 = 52, max_th = 1.315146e+00, time=2024-09-04 21:55:26 
jj1 = 411, max_th = 9.649505e-01, time=2024-09-04 21:56:09 
jj1 = 32, max_th = 2.623334e+00, time=2024-09-04 21:56:18 
jj1 = 37, max_th = 1.964542e+00, time=2024-09-04 21:56:55 
jj1 = 26, max_th = 1.904837e+00, time=2024-09-04 21:58:15 
jj1 = 11, max_th = 2.171289e+00, time=2024-09-04 21:58:25 
jj1 = 47, max_th = 1.907303e+00, time=2024-09-04 21:58:39 
jj1 = 36, max_th = 1.008380e+00, time=2024-09-04 21:58:57 
jj1 = 51, max_th = 2.496190e+00, time=2024-09-04 21:59:33 
jj1 = 22, max_th = 1.696074e+00, time=2024-09-04 21:59:47 
jj1 = 6, max_th = 1.857695e+00, time=2024-09-04 21:59:51 
jj1 = 56, max_th = 1.647677e+00, time=2024-09-04 21:59:52 
jj1 = 2, max_th = 1.884601e+00, time=2024-09-04 22:00:32 
jj1 = 17, max_th = 2.394754e+00, time=2024-09-04 22:00:40 
jj1 = 294, max_th = 1.251945e+00, time=2024-09-04 22:01:04 
jj1 = 177, max_th = 1.217467e+00, time=2024-09-04 22:02:02 
jj1 = 410, max_th = 2.360967e+00, time=2024-09-04 22:02:32 
jj1 = 138, max_th = 2.697489e+00, time=2024-09-04 22:02:39 
jj1 = 409, max_th = 8.745714e-01, time=2024-09-04 22:03:59 
jj1 = 31, max_th = 2.129566e+00, time=2024-09-04 22:04:35 
jj1 = 16, max_th = 2.516305e+00, time=2024-09-04 22:05:36 
jj1 = 46, max_th = 1.625277e+00, time=2024-09-04 22:05:39 
jj1 = 21, max_th = 1.647459e+00, time=2024-09-04 22:05:47 
jj1 = 489, max_th = 2.314242e+00, time=2024-09-04 22:06:26 
jj1 = 333, max_th = 2.839796e+00, time=2024-09-04 22:06:35 
jj1 = 1, max_th = 2.422810e+00, time=2024-09-04 22:06:44 
jj1 = 372, max_th = 2.179916e+00, time=2024-09-04 22:07:08 
jj1 = 137, max_th = 2.533460e+00, time=2024-09-04 22:07:16 
jj1 = 528, max_th = 1.934949e+00, time=2024-09-04 22:08:17 
jj1 = 293, max_th = 1.908457e+00, time=2024-09-04 22:08:54 
jj1 = 176, max_th = 2.123490e+00, time=2024-09-04 22:10:30 
jj1 = 99, max_th = 2.594365e+00, time=2024-09-04 22:10:34 
jj1 = 371, max_th = 1.223889e+00, time=2024-09-04 22:10:45 
jj1 = 408, max_th = 1.634673e+00, time=2024-09-04 22:10:44 
jj1 = 332, max_th = 1.369818e+00, time=2024-09-04 22:11:08 
jj1 = 450, max_th = 1.555711e+00, time=2024-09-04 22:11:12 
jj1 = 216, max_th = 1.627724e+00, time=2024-09-04 22:12:43 
jj1 = 488, max_th = 1.688457e+00, time=2024-09-04 22:13:10 
jj1 = 136, max_th = 1.625464e+00, time=2024-09-04 22:14:01 
jj1 = 255, max_th = 2.175262e+00, time=2024-09-04 22:14:05 
jj1 = 527, max_th = 2.379201e+00, time=2024-09-04 22:14:56 
jj1 = 215, max_th = 1.315986e+00, time=2024-09-04 22:16:38 
jj1 = 175, max_th = 2.364856e+00, time=2024-09-04 22:16:59 
jj1 = 292, max_th = 1.967331e+00, time=2024-09-04 22:17:14 
jj1 = 449, max_th = 2.371552e+00, time=2024-09-04 22:17:48 
jj1 = 331, max_th = 1.625711e+00, time=2024-09-04 22:17:56 
jj1 = 407, max_th = 1.670626e+00, time=2024-09-04 22:17:59 
jj1 = 98, max_th = 1.870255e+00, time=2024-09-04 22:18:50 
jj1 = 370, max_th = 1.989553e+00, time=2024-09-04 22:18:50 
jj1 = 135, max_th = 1.645165e+00, time=2024-09-04 22:20:18 
jj1 = 526, max_th = 1.478644e+00, time=2024-09-04 22:20:28 
jj1 = 214, max_th = 1.649832e+00, time=2024-09-04 22:20:55 
jj1 = 487, max_th = 1.886946e+00, time=2024-09-04 22:21:25 
jj1 = 254, max_th = 1.864679e+00, time=2024-09-04 22:22:00 
jj1 = 330, max_th = 1.362897e+00, time=2024-09-04 22:22:18 
jj1 = 406, max_th = 2.365672e+00, time=2024-09-04 22:24:29 
jj1 = 174, max_th = 1.861472e+00, time=2024-09-04 22:24:53 
jj1 = 369, max_th = 2.356751e+00, time=2024-09-04 22:25:00 
jj1 = 291, max_th = 1.957528e+00, time=2024-09-04 22:25:08 
jj1 = 97, max_th = 2.212049e+00, time=2024-09-04 22:26:23 
jj1 = 448, max_th = 1.925356e+00, time=2024-09-04 22:26:28 
jj1 = 134, max_th = 1.693058e+00, time=2024-09-04 22:26:57 
jj1 = 213, max_th = 2.378737e+00, time=2024-09-04 22:27:30 
jj1 = 486, max_th = 2.419818e+00, time=2024-09-04 22:27:36 
jj1 = 525, max_th = 2.108604e+00, time=2024-09-04 22:28:19 
jj1 = 253, max_th = 2.201961e+00, time=2024-09-04 22:28:37 
jj1 = 329, max_th = 2.363352e+00, time=2024-09-04 22:28:49 
jj1 = 173, max_th = 1.597958e+00, time=2024-09-04 22:30:31 
jj1 = 485, max_th = 1.303821e+00, time=2024-09-04 22:30:49 
jj1 = 96, max_th = 2.528815e+00, time=2024-09-04 22:31:10 
jj1 = 405, max_th = 2.374240e+00, time=2024-09-04 22:31:21 
jj1 = 290, max_th = 1.903894e+00, time=2024-09-04 22:32:14 
jj1 = 172, max_th = 9.886747e-01, time=2024-09-04 22:32:18 
jj1 = 404, max_th = 2.947284e+00, time=2024-09-04 22:32:30 
jj1 = 447, max_th = 2.369438e+00, time=2024-09-04 22:33:06 
jj1 = 289, max_th = 8.721332e-01, time=2024-09-04 22:33:36 
jj1 = 368, max_th = 1.977360e+00, time=2024-09-04 22:33:42 
jj1 = 133, max_th = 2.110306e+00, time=2024-09-04 22:35:03 
jj1 = 524, max_th = 1.627375e+00, time=2024-09-04 22:35:10 
jj1 = 212, max_th = 2.058162e+00, time=2024-09-04 22:35:27 
jj1 = 328, max_th = 2.365491e+00, time=2024-09-04 22:35:30 
jj1 = 367, max_th = 2.738551e+00, time=2024-09-04 22:35:37 
jj1 = 252, max_th = 1.902882e+00, time=2024-09-04 22:35:52 
jj1 = 484, max_th = 1.504807e+00, time=2024-09-04 22:36:28 
jj1 = 403, max_th = 1.543327e+00, time=2024-09-04 22:38:14 
jj1 = 171, max_th = 1.634794e+00, time=2024-09-04 22:38:58 
jj1 = 170, max_th = 3.211126e+00, time=2024-09-04 22:39:17 
jj1 = 95, max_th = 2.178573e+00, time=2024-09-04 22:39:36 
jj1 = 169, max_th = 2.930864e+00, time=2024-09-04 22:40:39 
jj1 = 446, max_th = 1.846016e+00, time=2024-09-04 22:40:45 
jj1 = 483, max_th = 2.561847e+00, time=2024-09-04 22:40:58 
jj1 = 366, max_th = 2.387672e+00, time=2024-09-04 22:41:45 
jj1 = 288, max_th = 2.133799e+00, time=2024-09-04 22:41:48 
jj1 = 132, max_th = 1.579082e+00, time=2024-09-04 22:41:52 
jj1 = 131, max_th = 9.446486e-01, time=2024-09-04 22:43:20 
jj1 = 327, max_th = 2.234384e+00, time=2024-09-04 22:43:22 
jj1 = 211, max_th = 1.992747e+00, time=2024-09-04 22:43:27 
jj1 = 523, max_th = 2.086199e+00, time=2024-09-04 22:43:32 
jj1 = 130, max_th = -6.016881e-02, time=2024-09-04 22:43:38 
jj1 = 251, max_th = 1.930694e+00, time=2024-09-04 22:44:27 
jj1 = 482, max_th = 1.288614e+00, time=2024-09-04 22:44:38 
jj1 = 402, max_th = 1.952545e+00, time=2024-09-04 22:45:33 
jj1 = 94, max_th = 2.340262e+00, time=2024-09-04 22:46:13 
jj1 = 129, max_th = 1.302423e+00, time=2024-09-04 22:47:03 
jj1 = 522, max_th = 1.283289e+00, time=2024-09-04 22:47:15 
jj1 = 445, max_th = 2.296594e+00, time=2024-09-04 22:47:29 
jj1 = 168, max_th = 1.958039e+00, time=2024-09-04 22:48:39 
jj1 = 250, max_th = 1.362630e+00, time=2024-09-04 22:48:41 
jj1 = 365, max_th = 2.107053e+00, time=2024-09-04 22:49:41 
jj1 = 287, max_th = 2.182365e+00, time=2024-09-04 22:49:43 
jj1 = 521, max_th = 1.305097e+00, time=2024-09-04 22:50:37 
jj1 = 210, max_th = 2.156893e+00, time=2024-09-04 22:51:10 
jj1 = 481, max_th = 1.677520e+00, time=2024-09-04 22:51:53 
jj1 = 326, max_th = 1.915451e+00, time=2024-09-04 22:51:53 
jj1 = 93, max_th = 1.644800e+00, time=2024-09-04 22:52:30 
jj1 = 128, max_th = 1.611988e+00, time=2024-09-04 22:53:24 
jj1 = 364, max_th = 1.342670e+00, time=2024-09-04 22:53:47 
jj1 = 401, max_th = 2.122065e+00, time=2024-09-04 22:54:16 
jj1 = 286, max_th = 1.379969e+00, time=2024-09-04 22:54:21 
jj1 = 167, max_th = 2.468649e+00, time=2024-09-04 22:54:26 
jj1 = 400, max_th = 3.040200e+00, time=2024-09-04 22:55:07 
jj1 = 444, max_th = 1.922542e+00, time=2024-09-04 22:56:09 
jj1 = 480, max_th = 2.491733e+00, time=2024-09-04 22:56:40 
jj1 = 249, max_th = 1.892801e+00, time=2024-09-04 22:56:43 
jj1 = 92, max_th = 2.561161e+00, time=2024-09-04 22:56:54 
jj1 = 363, max_th = 1.184103e+00, time=2024-09-04 22:57:01 
jj1 = 520, max_th = 2.364912e+00, time=2024-09-04 22:57:06 
jj1 = 209, max_th = 1.642152e+00, time=2024-09-04 22:57:33 
jj1 = 285, max_th = 2.614376e+00, time=2024-09-04 22:58:13 
