jj1 = 14, max_th = 2.792345e+00, time=2025-03-08 09:47:12 
jj1 = 13, max_th = 2.990761e+00, time=2025-03-08 09:48:25 
jj1 = 7, max_th = 1.404364e+00, time=2025-03-08 09:49:40 
jj1 = 49, max_th = 1.406068e+00, time=2025-03-08 09:49:48 
jj1 = 56, max_th = 1.406092e+00, time=2025-03-08 09:49:50 
jj1 = 21, max_th = 2.436360e+00, time=2025-03-08 09:51:34 
jj1 = 35, max_th = 2.421819e+00, time=2025-03-08 09:51:58 
jj1 = 28, max_th = 1.721004e+00, time=2025-03-08 09:53:43 
jj1 = 42, max_th = 1.721078e+00, time=2025-03-08 09:53:43 
jj1 = 34, max_th = 2.627765e+00, time=2025-03-08 09:56:43 
jj1 = 6, max_th = 2.422911e+00, time=2025-03-08 09:57:05 
jj1 = 41, max_th = 2.609397e+00, time=2025-03-08 09:58:25 
jj1 = 12, max_th = 1.962531e+00, time=2025-03-08 09:58:34 
jj1 = 27, max_th = 1.403504e+00, time=2025-03-08 09:58:51 
jj1 = 48, max_th = 1.724142e+00, time=2025-03-08 09:59:04 
jj1 = 55, max_th = 2.216555e+00, time=2025-03-08 09:59:14 
jj1 = 20, max_th = 2.226561e+00, time=2025-03-08 10:01:14 
jj1 = 19, max_th = 9.566747e-01, time=2025-03-08 10:03:10 
jj1 = 11, max_th = 2.627353e+00, time=2025-03-08 10:03:17 
jj1 = 18, max_th = 3.131263e+00, time=2025-03-08 10:03:49 
jj1 = 26, max_th = 2.420156e+00, time=2025-03-08 10:06:14 
jj1 = 5, max_th = 1.996432e+00, time=2025-03-08 10:06:15 
jj1 = 40, max_th = 2.201271e+00, time=2025-03-08 10:06:15 
jj1 = 33, max_th = 1.989488e+00, time=2025-03-08 10:06:45 
jj1 = 47, max_th = 2.207391e+00, time=2025-03-08 10:08:02 
jj1 = 54, max_th = 1.719889e+00, time=2025-03-08 10:08:20 
jj1 = 17, max_th = 1.404906e+00, time=2025-03-08 10:09:07 
jj1 = 32, max_th = 2.814047e+00, time=2025-03-08 10:09:20 
jj1 = 10, max_th = 1.720467e+00, time=2025-03-08 10:12:28 
jj1 = 39, max_th = 1.716223e+00, time=2025-03-08 10:15:13 
jj1 = 53, max_th = 2.422389e+00, time=2025-03-08 10:15:47 
jj1 = 46, max_th = 1.949047e+00, time=2025-03-08 10:16:05 
jj1 = 16, max_th = 2.430426e+00, time=2025-03-08 10:16:24 
jj1 = 4, max_th = 1.965606e+00, time=2025-03-08 10:16:35 
jj1 = 25, max_th = 1.966839e+00, time=2025-03-08 10:16:44 
jj1 = 45, max_th = 9.748953e-01, time=2025-03-08 10:18:15 
jj1 = 31, max_th = 1.718354e+00, time=2025-03-08 10:18:21 
jj1 = 24, max_th = 2.640058e+00, time=2025-03-08 10:20:35 
jj1 = 9, max_th = 1.989306e+00, time=2025-03-08 10:21:40 
jj1 = 8, max_th = 3.304447e+00, time=2025-03-08 10:21:49 
jj1 = 23, max_th = 9.687852e-01, time=2025-03-08 10:22:09 
jj1 = 3, max_th = 2.434662e+00, time=2025-03-08 10:22:32 
jj1 = 174, max_th = 2.982221e+00, time=2025-03-08 10:22:48 
jj1 = 15, max_th = 2.051615e+00, time=2025-03-08 10:23:06 
jj1 = 38, max_th = 1.988071e+00, time=2025-03-08 10:23:44 
jj1 = 30, max_th = 2.436201e+00, time=2025-03-08 10:23:48 
jj1 = 44, max_th = 1.701765e+00, time=2025-03-08 10:23:58 
jj1 = 52, max_th = 1.980853e+00, time=2025-03-08 10:24:26 
jj1 = 29, max_th = 1.400010e+00, time=2025-03-08 10:25:46 
jj1 = 173, max_th = 1.404837e+00, time=2025-03-08 10:26:39 
jj1 = 22, max_th = 2.209794e+00, time=2025-03-08 10:28:53 
jj1 = 43, max_th = 2.438359e+00, time=2025-03-08 10:29:02 
jj1 = 2, max_th = 1.990865e+00, time=2025-03-08 10:29:47 
jj1 = 233, max_th = 1.723396e+00, time=2025-03-08 10:29:59 
jj1 = 37, max_th = 1.716695e+00, time=2025-03-08 10:30:19 
jj1 = 469, max_th = 2.815297e+00, time=2025-03-08 10:30:57 
jj1 = 51, max_th = 1.721134e+00, time=2025-03-08 10:31:09 
jj1 = 1, max_th = 9.684986e-01, time=2025-03-08 10:31:22 
jj1 = 50, max_th = 9.885064e-01, time=2025-03-08 10:32:44 
jj1 = 351, max_th = 1.991681e+00, time=2025-03-08 10:33:04 
jj1 = 172, max_th = 2.194871e+00, time=2025-03-08 10:33:09 
jj1 = 468, max_th = 1.400985e+00, time=2025-03-08 10:34:16 
jj1 = 115, max_th = 2.635309e+00, time=2025-03-08 10:34:43 
jj1 = 292, max_th = 1.712715e+00, time=2025-03-08 10:35:22 
jj1 = 232, max_th = 1.710352e+00, time=2025-03-08 10:36:17 
jj1 = 36, max_th = 1.717618e+00, time=2025-03-08 10:36:57 
jj1 = 528, max_th = 1.698953e+00, time=2025-03-08 10:37:59 
jj1 = 171, max_th = 2.435602e+00, time=2025-03-08 10:38:20 
jj1 = 350, max_th = 2.224236e+00, time=2025-03-08 10:40:16 
jj1 = 410, max_th = 1.391776e+00, time=2025-03-08 10:40:55 
jj1 = 114, max_th = 1.761252e+00, time=2025-03-08 10:41:14 
jj1 = 291, max_th = 1.703865e+00, time=2025-03-08 10:41:15 
jj1 = 467, max_th = 1.984947e+00, time=2025-03-08 10:41:49 
jj1 = 527, max_th = 1.379849e+00, time=2025-03-08 10:42:06 
jj1 = 170, max_th = 1.700124e+00, time=2025-03-08 10:42:29 
jj1 = 231, max_th = 1.717120e+00, time=2025-03-08 10:42:52 
jj1 = 230, max_th = 3.153376e+00, time=2025-03-08 10:43:15 
jj1 = 349, max_th = 1.711458e+00, time=2025-03-08 10:46:39 
jj1 = 290, max_th = 1.717600e+00, time=2025-03-08 10:47:57 
jj1 = 113, max_th = 1.721370e+00, time=2025-03-08 10:48:00 
jj1 = 409, max_th = 1.980234e+00, time=2025-03-08 10:48:38 
jj1 = 466, max_th = 2.218254e+00, time=2025-03-08 10:48:49 
jj1 = 526, max_th = 2.212236e+00, time=2025-03-08 10:48:52 
jj1 = 112, max_th = 9.976154e-01, time=2025-03-08 10:49:28 
jj1 = 169, max_th = 2.222836e+00, time=2025-03-08 10:49:30 
jj1 = 348, max_th = 1.402177e+00, time=2025-03-08 10:50:13 
jj1 = 408, max_th = 9.904435e-01, time=2025-03-08 10:50:13 
jj1 = 229, max_th = 1.986654e+00, time=2025-03-08 10:50:36 
jj1 = 289, max_th = 2.597343e+00, time=2025-03-08 10:51:12 
jj1 = 407, max_th = 2.969668e+00, time=2025-03-08 10:51:13 
jj1 = 406, max_th = 3.139560e+00, time=2025-03-08 10:51:39 
jj1 = 465, max_th = 2.409839e+00, time=2025-03-08 10:54:05 
jj1 = 111, max_th = 2.442955e+00, time=2025-03-08 10:54:17 
jj1 = 110, max_th = 9.911857e-01, time=2025-03-08 10:55:50 
jj1 = 168, max_th = 2.194469e+00, time=2025-03-08 10:55:52 
jj1 = 525, max_th = 1.981511e+00, time=2025-03-08 10:56:28 
jj1 = 228, max_th = 1.709949e+00, time=2025-03-08 10:56:47 
jj1 = 347, max_th = 1.717276e+00, time=2025-03-08 10:56:48 
jj1 = 288, max_th = 2.232829e+00, time=2025-03-08 10:58:06 
jj1 = 405, max_th = 1.719004e+00, time=2025-03-08 10:58:20 
jj1 = 227, max_th = 2.818395e+00, time=2025-03-08 10:58:39 
jj1 = 167, max_th = 1.404444e+00, time=2025-03-08 10:59:36 
jj1 = 464, max_th = 2.215712e+00, time=2025-03-08 11:00:58 
jj1 = 226, max_th = 2.620007e+00, time=2025-03-08 11:02:09 
jj1 = 404, max_th = 1.394432e+00, time=2025-03-08 11:02:10 
jj1 = 109, max_th = 1.723620e+00, time=2025-03-08 11:02:38 
jj1 = 524, max_th = 1.727077e+00, time=2025-03-08 11:03:13 
jj1 = 287, max_th = 1.709508e+00, time=2025-03-08 11:04:20 
jj1 = 346, max_th = 1.981861e+00, time=2025-03-08 11:04:23 
jj1 = 523, max_th = 9.868418e-01, time=2025-03-08 11:04:49 
jj1 = 166, max_th = 1.716548e+00, time=2025-03-08 11:06:03 
jj1 = 463, max_th = 1.717520e+00, time=2025-03-08 11:07:32 
jj1 = 225, max_th = 1.726621e+00, time=2025-03-08 11:08:53 
jj1 = 403, max_th = 1.973895e+00, time=2025-03-08 11:09:54 
jj1 = 165, max_th = 1.385639e+00, time=2025-03-08 11:10:03 
jj1 = 108, max_th = 1.977899e+00, time=2025-03-08 11:10:21 
jj1 = 345, max_th = 1.711085e+00, time=2025-03-08 11:10:39 
jj1 = 286, max_th = 2.225306e+00, time=2025-03-08 11:11:25 
jj1 = 522, max_th = 1.720959e+00, time=2025-03-08 11:11:28 
jj1 = 164, max_th = 9.869302e-01, time=2025-03-08 11:11:36 
jj1 = 224, max_th = 1.386616e+00, time=2025-03-08 11:12:54 
jj1 = 462, max_th = 2.227248e+00, time=2025-03-08 11:14:32 
jj1 = 402, max_th = 2.437209e+00, time=2025-03-08 11:14:59 
jj1 = 344, max_th = 2.429270e+00, time=2025-03-08 11:15:59 
jj1 = 521, max_th = 2.431781e+00, time=2025-03-08 11:16:42 
jj1 = 163, max_th = 2.427406e+00, time=2025-03-08 11:17:01 
jj1 = 107, max_th = 1.988396e+00, time=2025-03-08 11:17:41 
jj1 = 285, max_th = 2.209482e+00, time=2025-03-08 11:18:09 
jj1 = 284, max_th = -2.128088e-03, time=2025-03-08 11:18:27 
jj1 = 401, max_th = 1.402203e+00, time=2025-03-08 11:18:35 
jj1 = 461, max_th = 1.701241e+00, time=2025-03-08 11:19:47 
jj1 = 223, max_th = 2.222894e+00, time=2025-03-08 11:19:52 
jj1 = 162, max_th = 1.398401e+00, time=2025-03-08 11:20:29 
jj1 = 520, max_th = 2.439378e+00, time=2025-03-08 11:21:41 
jj1 = 400, max_th = 1.409657e+00, time=2025-03-08 11:22:41 
jj1 = 343, max_th = 1.720649e+00, time=2025-03-08 11:22:43 
jj1 = 106, max_th = 1.996083e+00, time=2025-03-08 11:24:30 
jj1 = 105, max_th = -1.508105e-02, time=2025-03-08 11:24:50 
jj1 = 222, max_th = 2.420493e+00, time=2025-03-08 11:25:23 
jj1 = 161, max_th = 2.432596e+00, time=2025-03-08 11:25:46 
jj1 = 283, max_th = 1.968338e+00, time=2025-03-08 11:26:15 
jj1 = 460, max_th = 1.978777e+00, time=2025-03-08 11:27:33 
jj1 = 519, max_th = 1.993006e+00, time=2025-03-08 11:28:50 
jj1 = 104, max_th = 1.380741e+00, time=2025-03-08 11:28:59 
jj1 = 342, max_th = 2.226030e+00, time=2025-03-08 11:29:51 
jj1 = 399, max_th = 1.985095e+00, time=2025-03-08 11:30:13 
jj1 = 160, max_th = 2.434604e+00, time=2025-03-08 11:31:00 
jj1 = 221, max_th = 1.704547e+00, time=2025-03-08 11:31:18 
jj1 = 459, max_th = 1.393093e+00, time=2025-03-08 11:31:29 
jj1 = 103, max_th = 1.405804e+00, time=2025-03-08 11:32:56 
jj1 = 282, max_th = 2.225023e+00, time=2025-03-08 11:33:28 
jj1 = 398, max_th = 1.397824e+00, time=2025-03-08 11:33:52 
jj1 = 159, max_th = 1.403654e+00, time=2025-03-08 11:34:49 
jj1 = 458, max_th = 2.632942e+00, time=2025-03-08 11:34:51 
jj1 = 220, max_th = 2.620928e+00, time=2025-03-08 11:34:51 
jj1 = 158, max_th = 3.145209e+00, time=2025-03-08 11:35:14 
jj1 = 518, max_th = 1.716743e+00, time=2025-03-08 11:35:27 
jj1 = 341, max_th = 1.716989e+00, time=2025-03-08 11:36:29 
jj1 = 457, max_th = 2.614735e+00, time=2025-03-08 11:38:24 
jj1 = 219, max_th = 2.442739e+00, time=2025-03-08 11:39:45 
jj1 = 102, max_th = 2.223748e+00, time=2025-03-08 11:40:05 
jj1 = 397, max_th = 2.230279e+00, time=2025-03-08 11:40:57 
jj1 = 281, max_th = 1.985228e+00, time=2025-03-08 11:41:10 
jj1 = 157, max_th = 1.715635e+00, time=2025-03-08 11:41:56 
jj1 = 517, max_th = 1.719551e+00, time=2025-03-08 11:42:17 
jj1 = 280, max_th = 9.816260e-01, time=2025-03-08 11:42:51 
jj1 = 340, max_th = 2.210765e+00, time=2025-03-08 11:43:24 
jj1 = 396, max_th = 2.639483e+00, time=2025-03-08 11:44:17 
jj1 = 456, max_th = 2.218848e+00, time=2025-03-08 11:45:37 
jj1 = 455, max_th = -1.406002e-02, time=2025-03-08 11:45:57 
jj1 = 516, max_th = 1.397062e+00, time=2025-03-08 11:46:03 
jj1 = 454, max_th = 3.152511e+00, time=2025-03-08 11:46:20 
jj1 = 101, max_th = 1.707047e+00, time=2025-03-08 11:46:24 
jj1 = 218, max_th = 1.720246e+00, time=2025-03-08 11:46:39 
jj1 = 156, max_th = 2.429431e+00, time=2025-03-08 11:47:26 
jj1 = 453, max_th = 9.844842e-01, time=2025-03-08 11:48:00 
jj1 = 155, max_th = 9.967001e-01, time=2025-03-08 11:49:01 
jj1 = 279, max_th = 1.714211e+00, time=2025-03-08 11:49:39 
jj1 = 339, max_th = 1.718727e+00, time=2025-03-08 11:50:21 
jj1 = 154, max_th = 9.754781e-01, time=2025-03-08 11:50:41 
jj1 = 338, max_th = -1.302841e-02, time=2025-03-08 11:50:41 
jj1 = 395, max_th = 1.985452e+00, time=2025-03-08 11:52:14 
jj1 = 100, max_th = 1.712239e+00, time=2025-03-08 11:53:02 
jj1 = 515, max_th = 1.979730e+00, time=2025-03-08 11:54:04 
jj1 = 217, max_th = 1.971993e+00, time=2025-03-08 11:54:46 
jj1 = 452, max_th = 1.990241e+00, time=2025-03-08 11:55:39 
jj1 = 394, max_th = 1.356134e+00, time=2025-03-08 11:56:07 
jj1 = 153, max_th = 2.409435e+00, time=2025-03-08 11:56:10 
jj1 = 451, max_th = 9.964390e-01, time=2025-03-08 11:57:13 
jj1 = 278, max_th = 1.990534e+00, time=2025-03-08 11:57:22 
jj1 = 450, max_th = 2.977438e+00, time=2025-03-08 11:58:18 
jj1 = 337, max_th = 1.987996e+00, time=2025-03-08 11:58:28 
jj1 = 99, max_th = 1.702647e+00, time=2025-03-08 11:59:00 
jj1 = 514, max_th = 2.205226e+00, time=2025-03-08 12:00:48 
jj1 = 98, max_th = 2.798255e+00, time=2025-03-08 12:00:49 
jj1 = 393, max_th = 2.434421e+00, time=2025-03-08 12:01:38 
jj1 = 216, max_th = 1.973894e+00, time=2025-03-08 12:02:53 
jj1 = 152, max_th = 2.230026e+00, time=2025-03-08 12:03:26 
jj1 = 215, max_th = 9.584359e-01, time=2025-03-08 12:04:25 
jj1 = 151, max_th = 9.695708e-01, time=2025-03-08 12:05:03 
jj1 = 513, max_th = 1.407671e+00, time=2025-03-08 12:05:02 
jj1 = 449, max_th = 1.713650e+00, time=2025-03-08 12:05:09 
jj1 = 277, max_th = 1.984709e+00, time=2025-03-08 12:05:22 
jj1 = 336, max_th = 1.944090e+00, time=2025-03-08 12:05:51 
jj1 = 214, max_th = 2.801403e+00, time=2025-03-08 12:06:10 
jj1 = 97, max_th = 2.432358e+00, time=2025-03-08 12:06:24 
jj1 = 150, max_th = 9.753126e-01, time=2025-03-08 12:06:51 
jj1 = 335, max_th = 9.805933e-01, time=2025-03-08 12:06:56 
jj1 = 448, max_th = 1.400329e+00, time=2025-03-08 12:07:42 
