Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 8).
jj1 = 350, max_th = 1.920414e+00, time=2025-01-01 11:01:57 
jj1 = 523, max_th = 2.416132e+00, time=2025-01-01 11:02:39 
jj1 = 466, max_th = 1.725700e+00, time=2025-01-01 11:04:19 
jj1 = 111, max_th = 1.707504e+00, time=2025-01-01 11:04:20 
jj1 = 407, max_th = 2.620858e+00, time=2025-01-01 11:04:32 
jj1 = 230, max_th = 2.217970e+00, time=2025-01-01 11:05:07 
jj1 = 465, max_th = 9.835978e-01, time=2025-01-01 11:06:29 
jj1 = 349, max_th = 2.435071e+00, time=2025-01-01 11:08:53 
jj1 = 406, max_th = 2.633900e+00, time=2025-01-01 11:08:59 
jj1 = 168, max_th = 1.724488e+00, time=2025-01-01 11:09:24 
jj1 = 110, max_th = 1.408378e+00, time=2025-01-01 11:09:44 
jj1 = 405, max_th = 9.723183e-01, time=2025-01-01 11:11:03 
jj1 = 288, max_th = 1.979047e+00, time=2025-01-01 11:11:15 
jj1 = 109, max_th = 2.802462e+00, time=2025-01-01 11:12:04 
jj1 = 229, max_th = 2.201524e+00, time=2025-01-01 11:12:52 
jj1 = 522, max_th = 1.980864e+00, time=2025-01-01 11:12:59 
jj1 = 464, max_th = 1.715458e+00, time=2025-01-01 11:15:15 
jj1 = 287, max_th = 2.613569e+00, time=2025-01-01 11:15:54 
jj1 = 228, max_th = 2.616433e+00, time=2025-01-01 11:17:31 
jj1 = 348, max_th = 1.953710e+00, time=2025-01-01 11:17:41 
jj1 = 404, max_th = 1.701652e+00, time=2025-01-01 11:18:10 
jj1 = 167, max_th = 2.217161e+00, time=2025-01-01 11:18:44 
jj1 = 108, max_th = 2.434656e+00, time=2025-01-01 11:19:00 
jj1 = 521, max_th = 1.717076e+00, time=2025-01-01 11:21:46 
jj1 = 520, max_th = -7.115247e-03, time=2025-01-01 11:22:11 
jj1 = 286, max_th = 1.653973e+00, time=2025-01-01 11:23:31 
jj1 = 166, max_th = 1.391679e+00, time=2025-01-01 11:23:52 
jj1 = 107, max_th = 2.200128e+00, time=2025-01-01 11:25:03 
jj1 = 463, max_th = 1.987951e+00, time=2025-01-01 11:25:08 
