MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
[Warning: A task was unexpectedly found in state: Unavailable.] 
[> In parallel.cluster.Local/deriveJobStateFromTasks (line 29)
In parallel.cluster/Local/getJobState (line 174)
In parallel.cluster/CJSCluster/hGetJobState (line 375)
In parallel.internal.cluster/CJSJobMixin/hGetStateEnum (line 175)
In parallel/Job/get.StateEnum (line 247)
In parallel/Job/get.State (line 239)
In parallel.internal.customattr.CustomGetSet>iVectorisedGetHelper (line 128)
In parallel.internal.customattr.CustomGetSet>@(a,b,c)iVectorisedGetHelper(obj,a,b,c) (line 102)
In parallel.internal.customattr/CustomGetSet/doVectorisedGet (line 103)
In parallel.internal.customattr/CustomGetSet/hVectorisedGet (line 76)
In parallel.internal.customattr.GetSetImpl>iAccessProperties (line 322)
In parallel.internal.customattr.GetSetImpl>iGetAllPropertiesVec (line 264)
In parallel.internal.customattr/GetSetImpl/getImpl (line 133)
In parallel.internal.customattr.CustomGetSet>iHetFunGetFunction (line 154)
In parallel.internal.customattr.CustomGetSet>@(o)iHetFunGetFunction(o,props) (line 139)
In parallel.internal.cluster.hetfun (line 46)
In parallel.internal.customattr.CustomGetSet>iHetFunGetProperty (line 139)
In parallel.internal.customattr/CustomGetSet/get (line 38)
In parallel.internal.pool/AbstractInteractiveClient/pRemoveOldJobs (line 211)
In parallel.internal.pool/AbstractInteractiveClient/start (line 103)
In parallel.internal.pool.AbstractClusterPool>iStartClient (line 831)
In parallel.internal.pool/AbstractClusterPool/hBuildPool (line 585)
In parallel.internal.pool.doParpool (line 22)
In parpool (line 123)
In parallel.internal.parpool.getOrCreateCurrentPool (line 17)
In parallel.internal.pool/PoolArrayManager/getOrAutoCreateWithCleanup (line 44)
In pctTryCreatePoolIfNecessary (line 28)
In parallel_function (line 423)] 
Connected to the parallel pool (number of workers: 12).
jj1 = 5, max_th = 8.143829e-01, time=2025-04-15 09:54:57 
jj1 = 60, max_th = 2.914386e+00, time=2025-04-15 09:56:45 
jj1 = 25, max_th = 2.910671e+00, time=2025-04-15 09:58:28 
jj1 = 50, max_th = 2.702463e+00, time=2025-04-15 10:00:01 
jj1 = 24, max_th = 2.961760e+00, time=2025-04-15 10:01:53 
jj1 = 15, max_th = 1.371480e+00, time=2025-04-15 10:08:42 
jj1 = 30, max_th = 1.754551e+00, time=2025-04-15 10:09:44 
jj1 = 45, max_th = 1.793599e+00, time=2025-04-15 10:13:08 
jj1 = 20, max_th = 2.170121e+00, time=2025-04-15 10:13:57 
jj1 = 4, max_th = 1.665749e+00, time=2025-04-15 10:14:53 
jj1 = 10, max_th = 1.944460e+00, time=2025-04-15 10:15:08 
jj1 = 55, max_th = 1.915386e+00, time=2025-04-15 10:15:41 
jj1 = 35, max_th = 1.941656e+00, time=2025-04-15 10:15:46 
jj1 = 40, max_th = 1.880812e+00, time=2025-04-15 10:16:42 
jj1 = 59, max_th = 2.156564e+00, time=2025-04-15 10:17:46 
jj1 = 49, max_th = 2.356408e+00, time=2025-04-15 10:18:20 
jj1 = 14, max_th = 1.227522e+00, time=2025-04-15 10:18:22 
jj1 = 58, max_th = 4.037888e+00, time=2025-04-15 10:19:55 
jj1 = 44, max_th = 2.605694e+00, time=2025-04-15 10:23:42 
jj1 = 23, max_th = 1.807388e+00, time=2025-04-15 10:24:17 
jj1 = 54, max_th = 1.175961e+00, time=2025-04-15 10:26:11 
jj1 = 43, max_th = 8.365921e-01, time=2025-04-15 10:27:00 
jj1 = 3, max_th = 1.501922e+00, time=2025-04-15 10:27:55 
jj1 = 2, max_th = -2.152650e-02, time=2025-04-15 10:29:00 
jj1 = 29, max_th = 1.568827e+00, time=2025-04-15 10:29:21 
jj1 = 19, max_th = 1.695571e+00, time=2025-04-15 10:29:40 
jj1 = 13, max_th = 1.483800e+00, time=2025-04-15 10:32:05 
jj1 = 48, max_th = 2.484542e+00, time=2025-04-15 10:33:22 
jj1 = 34, max_th = 2.255019e+00, time=2025-04-15 10:34:30 
jj1 = 12, max_th = 8.687858e-01, time=2025-04-15 10:35:22 
jj1 = 39, max_th = 1.806538e+00, time=2025-04-15 10:36:59 
jj1 = 9, max_th = 1.762457e+00, time=2025-04-15 10:38:09 
jj1 = 57, max_th = 1.719139e+00, time=2025-04-15 10:39:14 
jj1 = 18, max_th = 1.314565e+00, time=2025-04-15 10:40:29 
jj1 = 47, max_th = 2.739386e+00, time=2025-04-15 10:40:42 
jj1 = 33, max_th = 1.216434e+00, time=2025-04-15 10:41:21 
jj1 = 22, max_th = 1.294349e+00, time=2025-04-15 10:43:42 
jj1 = 53, max_th = 1.693209e+00, time=2025-04-15 10:45:45 
jj1 = 1, max_th = 1.799345e+00, time=2025-04-15 10:46:43 
jj1 = 99, max_th = 3.067360e+00, time=2025-04-15 10:48:45 
jj1 = 11, max_th = 1.444203e+00, time=2025-04-15 10:48:57 
jj1 = 8, max_th = 2.554027e+00, time=2025-04-15 10:49:31 
jj1 = 56, max_th = 1.302920e+00, time=2025-04-15 10:49:57 
jj1 = 28, max_th = 2.161256e+00, time=2025-04-15 10:52:35 
jj1 = 17, max_th = 2.554970e+00, time=2025-04-15 10:52:42 
jj1 = 98, max_th = 2.897930e+00, time=2025-04-15 10:52:44 
jj1 = 42, max_th = 1.931707e+00, time=2025-04-15 10:53:15 
jj1 = 177, max_th = 1.230049e+00, time=2025-04-15 10:57:44 
jj1 = 32, max_th = 2.339798e+00, time=2025-04-15 10:59:23 
jj1 = 7, max_th = 1.448396e+00, time=2025-04-15 11:01:34 
jj1 = 38, max_th = 1.960820e+00, time=2025-04-15 11:01:44 
jj1 = 46, max_th = 2.093962e+00, time=2025-04-15 11:02:21 
jj1 = 21, max_th = 2.361260e+00, time=2025-04-15 11:03:04 
jj1 = 97, max_th = 1.516465e+00, time=2025-04-15 11:07:10 
jj1 = 16, max_th = 1.503101e+00, time=2025-04-15 11:07:21 
jj1 = 52, max_th = 1.726450e+00, time=2025-04-15 11:09:23 
jj1 = 528, max_th = 1.554395e+00, time=2025-04-15 11:09:44 
jj1 = 527, max_th = 7.265413e-01, time=2025-04-15 11:11:03 
jj1 = 27, max_th = 2.265896e+00, time=2025-04-15 11:12:49 
jj1 = 41, max_th = 1.997018e+00, time=2025-04-15 11:15:05 
jj1 = 216, max_th = 2.738102e+00, time=2025-04-15 11:16:30 
jj1 = 6, max_th = 1.561234e+00, time=2025-04-15 11:17:39 
jj1 = 450, max_th = 1.651139e+00, time=2025-04-15 11:18:14 
jj1 = 31, max_th = 2.397520e+00, time=2025-04-15 11:19:02 
jj1 = 176, max_th = 1.903830e+00, time=2025-04-15 11:19:42 
jj1 = 26, max_th = 1.118963e+00, time=2025-04-15 11:22:54 
jj1 = 37, max_th = 1.896328e+00, time=2025-04-15 11:23:49 
jj1 = 294, max_th = 7.650883e-01, time=2025-04-15 11:25:25 
jj1 = 449, max_th = 1.448583e+00, time=2025-04-15 11:31:16 
jj1 = 526, max_th = 2.215371e+00, time=2025-04-15 11:32:04 
jj1 = 138, max_th = 2.518506e+00, time=2025-04-15 11:32:35 
jj1 = 96, max_th = 2.008300e+00, time=2025-04-15 11:32:46 
jj1 = 51, max_th = 1.814163e+00, time=2025-04-15 11:33:24 
jj1 = 411, max_th = 1.670500e+00, time=2025-04-15 11:34:02 
jj1 = 175, max_th = 1.850182e+00, time=2025-04-15 11:34:35 
jj1 = 215, max_th = 1.816430e+00, time=2025-04-15 11:41:45 
jj1 = 333, max_th = 1.915526e+00, time=2025-04-15 11:43:21 
