MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 60, max_th = 9.461250e-01, time=2024-09-06 16:15:14 
jj1 = 35, max_th = 2.918462e+00, time=2024-09-06 16:15:18 
jj1 = 59, max_th = 1.298452e+00, time=2024-09-06 16:18:41 
jj1 = 20, max_th = 1.244881e+00, time=2024-09-06 16:19:19 
jj1 = 30, max_th = 1.299355e+00, time=2024-09-06 16:20:17 
jj1 = 25, max_th = 2.428684e+00, time=2024-09-06 16:20:39 
jj1 = 10, max_th = 2.151861e+00, time=2024-09-06 16:21:43 
jj1 = 9, max_th = -1.052887e-01, time=2024-09-06 16:21:59 
jj1 = 40, max_th = 2.213949e+00, time=2024-09-06 16:22:57 
jj1 = 15, max_th = 2.367131e+00, time=2024-09-06 16:25:19 
jj1 = 45, max_th = 2.351362e+00, time=2024-09-06 16:25:45 
jj1 = 19, max_th = 1.248999e+00, time=2024-09-06 16:26:21 
jj1 = 58, max_th = 1.321213e+00, time=2024-09-06 16:27:17 
jj1 = 24, max_th = 2.356201e+00, time=2024-09-06 16:28:25 
jj1 = 50, max_th = 1.973541e+00, time=2024-09-06 16:28:44 
jj1 = 55, max_th = 1.918759e+00, time=2024-09-06 16:29:04 
jj1 = 49, max_th = -7.154409e-04, time=2024-09-06 16:29:31 
jj1 = 34, max_th = 1.679549e+00, time=2024-09-06 16:30:03 
jj1 = 5, max_th = 1.896587e+00, time=2024-09-06 16:30:05 
jj1 = 29, max_th = 1.836909e+00, time=2024-09-06 16:31:08 
jj1 = 8, max_th = 2.404367e+00, time=2024-09-06 16:32:14 
jj1 = 54, max_th = 9.520303e-01, time=2024-09-06 16:32:15 
jj1 = 18, max_th = 1.215089e+00, time=2024-09-06 16:32:54 
jj1 = 39, max_th = 1.369112e+00, time=2024-09-06 16:33:07 
jj1 = 44, max_th = 2.539478e+00, time=2024-09-06 16:37:00 
jj1 = 57, max_th = 1.332103e+00, time=2024-09-06 16:37:21 
jj1 = 43, max_th = 3.064914e+00, time=2024-09-06 16:38:56 
jj1 = 14, max_th = 2.143658e+00, time=2024-09-06 16:39:28 
jj1 = 23, max_th = 1.667957e+00, time=2024-09-06 16:39:33 
jj1 = 28, max_th = 1.618509e+00, time=2024-09-06 16:40:14 
jj1 = 33, max_th = 1.867193e+00, time=2024-09-06 16:40:49 
jj1 = 7, max_th = 2.158190e+00, time=2024-09-06 16:42:13 
jj1 = 53, max_th = 1.370407e+00, time=2024-09-06 16:42:28 
jj1 = 48, max_th = 1.541723e+00, time=2024-09-06 16:43:49 
jj1 = 6, max_th = 1.250055e+00, time=2024-09-06 16:44:52 
jj1 = 4, max_th = 1.629866e+00, time=2024-09-06 16:46:40 
jj1 = 56, max_th = 2.179818e+00, time=2024-09-06 16:47:04 
jj1 = 27, max_th = 1.652452e+00, time=2024-09-06 16:47:17 
jj1 = 26, max_th = -1.001232e-01, time=2024-09-06 16:47:30 
jj1 = 17, max_th = 2.360012e+00, time=2024-09-06 16:47:34 
jj1 = 16, max_th = -1.080386e-02, time=2024-09-06 16:48:25 
jj1 = 32, max_th = 1.643056e+00, time=2024-09-06 16:49:11 
jj1 = 528, max_th = 2.823883e+00, time=2024-09-06 16:49:41 
jj1 = 52, max_th = 1.374539e+00, time=2024-09-06 16:49:48 
jj1 = 38, max_th = 1.683119e+00, time=2024-09-06 16:50:03 
jj1 = 13, max_th = 2.119314e+00, time=2024-09-06 16:51:53 
jj1 = 42, max_th = 2.409042e+00, time=2024-09-06 16:53:13 
jj1 = 22, max_th = 1.853884e+00, time=2024-09-06 16:54:27 
jj1 = 21, max_th = 3.087917e+00, time=2024-09-06 16:55:13 
jj1 = 138, max_th = 1.692793e+00, time=2024-09-06 16:55:56 
jj1 = 12, max_th = 2.636999e+00, time=2024-09-06 16:56:10 
jj1 = 294, max_th = 2.155930e+00, time=2024-09-06 16:56:28 
jj1 = 31, max_th = 1.851522e+00, time=2024-09-06 16:56:57 
jj1 = 51, max_th = 2.366151e+00, time=2024-09-06 16:57:42 
jj1 = 47, max_th = 1.694685e+00, time=2024-09-06 16:59:20 
jj1 = 527, max_th = 2.009452e+00, time=2024-09-06 16:59:29 
jj1 = 37, max_th = 2.566703e+00, time=2024-09-06 17:00:46 
jj1 = 137, max_th = 2.545871e+00, time=2024-09-06 17:01:04 
jj1 = 293, max_th = 2.559137e+00, time=2024-09-06 17:01:28 
jj1 = 3, max_th = 1.565519e+00, time=2024-09-06 17:01:39 
jj1 = 136, max_th = 9.005374e-01, time=2024-09-06 17:02:21 
jj1 = 526, max_th = 1.384157e+00, time=2024-09-06 17:04:46 
jj1 = 216, max_th = 1.808609e+00, time=2024-09-06 17:05:51 
jj1 = 333, max_th = 1.857895e+00, time=2024-09-06 17:06:02 
jj1 = 489, max_th = 1.912323e+00, time=2024-09-06 17:07:24 
jj1 = 41, max_th = 1.685750e+00, time=2024-09-06 17:07:46 
jj1 = 46, max_th = 2.189462e+00, time=2024-09-06 17:08:34 
jj1 = 292, max_th = 1.654014e+00, time=2024-09-06 17:08:38 
jj1 = 215, max_th = 1.264991e+00, time=2024-09-06 17:09:44 
jj1 = 214, max_th = 2.917027e+00, time=2024-09-06 17:11:23 
jj1 = 2, max_th = 2.179014e+00, time=2024-09-06 17:11:27 
jj1 = 135, max_th = 1.718915e+00, time=2024-09-06 17:11:35 
jj1 = 11, max_th = 2.168523e+00, time=2024-09-06 17:13:26 
jj1 = 450, max_th = 1.322754e+00, time=2024-09-06 17:13:32 
jj1 = 525, max_th = 2.276860e+00, time=2024-09-06 17:13:59 
jj1 = 291, max_th = 2.541176e+00, time=2024-09-06 17:14:02 
jj1 = 255, max_th = 2.107448e+00, time=2024-09-06 17:14:06 
jj1 = 332, max_th = 1.673662e+00, time=2024-09-06 17:14:23 
jj1 = 524, max_th = 9.207571e-01, time=2024-09-06 17:15:53 
jj1 = 36, max_th = 2.198407e+00, time=2024-09-06 17:16:05 
jj1 = 488, max_th = 2.129633e+00, time=2024-09-06 17:17:06 
jj1 = 411, max_th = 2.542281e+00, time=2024-09-06 17:18:12 
jj1 = 1, max_th = 2.370967e+00, time=2024-09-06 17:20:07 
jj1 = 134, max_th = 2.193718e+00, time=2024-09-06 17:20:17 
jj1 = 290, max_th = 2.487160e+00, time=2024-09-06 17:20:20 
jj1 = 523, max_th = 1.327768e+00, time=2024-09-06 17:20:44 
jj1 = 213, max_th = 1.614907e+00, time=2024-09-06 17:20:47 
jj1 = 177, max_th = 1.255938e+00, time=2024-09-06 17:21:52 
jj1 = 372, max_th = 2.747587e+00, time=2024-09-06 17:21:58 
jj1 = 487, max_th = 2.200299e+00, time=2024-09-06 17:23:28 
jj1 = 486, max_th = -2.428452e-04, time=2024-09-06 17:23:48 
jj1 = 331, max_th = 1.965046e+00, time=2024-09-06 17:24:21 
jj1 = 449, max_th = 1.847193e+00, time=2024-09-06 17:24:39 
jj1 = 289, max_th = 2.000013e+00, time=2024-09-06 17:24:58 
jj1 = 99, max_th = 2.587920e+00, time=2024-09-06 17:25:07 
jj1 = 485, max_th = 9.477240e-01, time=2024-09-06 17:25:29 
jj1 = 448, max_th = 2.828658e+00, time=2024-09-06 17:27:16 
jj1 = 133, max_th = 2.421847e+00, time=2024-09-06 17:27:30 
jj1 = 98, max_th = 1.304551e+00, time=2024-09-06 17:29:03 
jj1 = 254, max_th = 1.870447e+00, time=2024-09-06 17:29:22 
jj1 = 212, max_th = 1.374878e+00, time=2024-09-06 17:30:02 
jj1 = 522, max_th = 2.166580e+00, time=2024-09-06 17:30:18 
jj1 = 132, max_th = 2.724396e+00, time=2024-09-06 17:30:58 
jj1 = 521, max_th = 3.086891e+00, time=2024-09-06 17:31:00 
jj1 = 253, max_th = 2.851126e+00, time=2024-09-06 17:31:13 
jj1 = 288, max_th = 2.403118e+00, time=2024-09-06 17:31:22 
jj1 = 410, max_th = 2.257915e+00, time=2024-09-06 17:31:51 
jj1 = 447, max_th = 1.381331e+00, time=2024-09-06 17:32:32 
jj1 = 97, max_th = 1.355924e+00, time=2024-09-06 17:33:41 
jj1 = 484, max_th = 2.107830e+00, time=2024-09-06 17:34:26 
jj1 = 96, max_th = 9.334964e-01, time=2024-09-06 17:35:24 
jj1 = 252, max_th = 1.401310e+00, time=2024-09-06 17:35:55 
jj1 = 446, max_th = 1.298482e+00, time=2024-09-06 17:36:07 
jj1 = 483, max_th = 9.543488e-01, time=2024-09-06 17:36:10 
jj1 = 330, max_th = 1.904806e+00, time=2024-09-06 17:36:42 
jj1 = 520, max_th = 2.351060e+00, time=2024-09-06 17:37:07 
jj1 = 371, max_th = 2.379502e+00, time=2024-09-06 17:37:16 
jj1 = 176, max_th = 2.119278e+00, time=2024-09-06 17:37:33 
jj1 = 482, max_th = 9.755381e-01, time=2024-09-06 17:38:08 
jj1 = 211, max_th = 2.110263e+00, time=2024-09-06 17:38:47 
jj1 = 409, max_th = 2.577799e+00, time=2024-09-06 17:38:49 
jj1 = 287, max_th = 2.323246e+00, time=2024-09-06 17:39:32 
jj1 = 131, max_th = 2.117191e+00, time=2024-09-06 17:40:34 
jj1 = 445, max_th = 1.362241e+00, time=2024-09-06 17:40:55 
jj1 = 251, max_th = 2.099950e+00, time=2024-09-06 17:41:08 
jj1 = 444, max_th = 7.101694e-01, time=2024-09-06 17:41:51 
jj1 = 210, max_th = 1.205718e+00, time=2024-09-06 17:42:02 
jj1 = 175, max_th = 2.575170e+00, time=2024-09-06 17:42:30 
