MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 332, max_th = 1.281747e+00, time=2024-09-03 11:58:30 
jj1 = 449, max_th = 2.186850e+00, time=2024-09-03 12:00:13 
jj1 = 410, max_th = 2.333755e+00, time=2024-09-03 12:01:36 
jj1 = 293, max_th = 2.299117e+00, time=2024-09-03 12:02:19 
jj1 = 487, max_th = 2.348552e+00, time=2024-09-03 12:04:11 
jj1 = 527, max_th = 2.705657e+00, time=2024-09-03 12:04:11 
jj1 = 99, max_th = 2.325633e+00, time=2024-09-03 12:05:46 
jj1 = 292, max_th = 9.759549e-01, time=2024-09-03 12:06:59 
jj1 = 448, max_th = 1.305719e+00, time=2024-09-03 12:08:39 
jj1 = 135, max_th = 1.566612e+00, time=2024-09-03 12:09:42 
jj1 = 291, max_th = 8.356568e-01, time=2024-09-03 12:10:11 
jj1 = 98, max_th = 2.774213e+00, time=2024-09-03 12:12:42 
jj1 = 175, max_th = 2.105451e+00, time=2024-09-03 12:13:19 
jj1 = 215, max_th = 2.066564e+00, time=2024-09-03 12:13:32 
jj1 = 368, max_th = 2.197717e+00, time=2024-09-03 12:15:18 
jj1 = 252, max_th = 1.923086e+00, time=2024-09-03 12:16:26 
jj1 = 97, max_th = 2.924499e+00, time=2024-09-03 12:16:45 
jj1 = 331, max_th = 1.945818e+00, time=2024-09-03 12:18:21 
jj1 = 409, max_th = 1.851723e+00, time=2024-09-03 12:18:30 
jj1 = 367, max_th = 2.886075e+00, time=2024-09-03 12:19:22 
jj1 = 486, max_th = 1.642698e+00, time=2024-09-03 12:20:35 
jj1 = 174, max_th = 1.349237e+00, time=2024-09-03 12:21:55 
jj1 = 366, max_th = 9.710944e-01, time=2024-09-03 12:23:54 
jj1 = 526, max_th = 2.126320e+00, time=2024-09-03 12:26:28 
jj1 = 290, max_th = 2.152237e+00, time=2024-09-03 12:28:18 
jj1 = 134, max_th = 1.789987e+00, time=2024-09-03 12:29:08 
jj1 = 408, max_th = 2.561596e+00, time=2024-09-03 12:29:58 
jj1 = 330, max_th = 1.384704e+00, time=2024-09-03 12:30:12 
jj1 = 447, max_th = 1.928301e+00, time=2024-09-03 12:31:22 
jj1 = 251, max_th = 1.527120e+00, time=2024-09-03 12:34:05 
jj1 = 485, max_th = 2.405375e+00, time=2024-09-03 12:35:16 
jj1 = 365, max_th = 1.378565e+00, time=2024-09-03 12:35:41 
jj1 = 214, max_th = 1.927075e+00, time=2024-09-03 12:36:06 
jj1 = 407, max_th = 2.783711e+00, time=2024-09-03 12:36:22 
jj1 = 96, max_th = 1.891288e+00, time=2024-09-03 12:37:54 
jj1 = 364, max_th = 2.881798e+00, time=2024-09-03 12:39:59 
jj1 = 329, max_th = 2.401308e+00, time=2024-09-03 12:43:28 
jj1 = 173, max_th = 1.979663e+00, time=2024-09-03 12:44:41 
jj1 = 525, max_th = 1.676777e+00, time=2024-09-03 12:45:35 
jj1 = 289, max_th = 1.629007e+00, time=2024-09-03 12:45:59 
jj1 = 95, max_th = 2.538023e+00, time=2024-09-03 12:50:18 
jj1 = 524, max_th = 9.894476e-01, time=2024-09-03 12:51:07 
jj1 = 446, max_th = 2.189027e+00, time=2024-09-03 12:51:25 
jj1 = 133, max_th = 2.128205e+00, time=2024-09-03 12:51:38 
jj1 = 406, max_th = 1.900418e+00, time=2024-09-03 12:51:48 
jj1 = 484, max_th = 1.798298e+00, time=2024-09-03 12:52:51 
jj1 = 213, max_th = 2.314824e+00, time=2024-09-03 12:54:15 
jj1 = 250, max_th = 1.939141e+00, time=2024-09-03 12:55:06 
jj1 = 328, max_th = 2.353322e+00, time=2024-09-03 12:58:47 
jj1 = 363, max_th = 2.156970e+00, time=2024-09-03 13:00:02 
jj1 = 288, max_th = 2.440778e+00, time=2024-09-03 13:00:51 
jj1 = 172, max_th = 1.716863e+00, time=2024-09-03 13:04:13 
jj1 = 445, max_th = 2.351097e+00, time=2024-09-03 13:05:10 
jj1 = 94, max_th = 2.367421e+00, time=2024-09-03 13:07:45 
jj1 = 523, max_th = 2.322948e+00, time=2024-09-03 13:09:45 
jj1 = 405, max_th = 1.996459e+00, time=2024-09-03 13:10:05 
jj1 = 483, max_th = 2.152023e+00, time=2024-09-03 13:10:31 
jj1 = 132, max_th = 1.942575e+00, time=2024-09-03 13:11:08 
jj1 = 327, max_th = 1.383223e+00, time=2024-09-03 13:11:27 
jj1 = 287, max_th = 1.363572e+00, time=2024-09-03 13:12:18 
jj1 = 444, max_th = 2.606653e+00, time=2024-09-03 13:15:01 
jj1 = 212, max_th = 2.172301e+00, time=2024-09-03 13:15:08 
jj1 = 443, max_th = -1.401008e-01, time=2024-09-03 13:15:36 
jj1 = 249, max_th = 1.957391e+00, time=2024-09-03 13:15:47 
jj1 = 362, max_th = 1.669778e+00, time=2024-09-03 13:18:34 
jj1 = 286, max_th = 2.620383e+00, time=2024-09-03 13:22:25 
jj1 = 171, max_th = 1.892401e+00, time=2024-09-03 13:24:20 
jj1 = 285, max_th = 2.942500e+00, time=2024-09-03 13:25:39 
jj1 = 404, max_th = 2.389522e+00, time=2024-09-03 13:25:44 
jj1 = 131, max_th = 2.347138e+00, time=2024-09-03 13:26:58 
jj1 = 361, max_th = 1.262788e+00, time=2024-09-03 13:27:23 
jj1 = 130, max_th = -3.398351e-04, time=2024-09-03 13:27:49 
jj1 = 93, max_th = 2.190557e+00, time=2024-09-03 13:27:53 
jj1 = 482, max_th = 1.714340e+00, time=2024-09-03 13:29:22 
jj1 = 522, max_th = 2.104206e+00, time=2024-09-03 13:29:38 
jj1 = 326, max_th = 1.768266e+00, time=2024-09-03 13:30:54 
jj1 = 211, max_th = 1.800426e+00, time=2024-09-03 13:31:09 
jj1 = 170, max_th = 2.725204e+00, time=2024-09-03 13:32:00 
jj1 = 210, max_th = 3.117992e+00, time=2024-09-03 13:32:44 
jj1 = 248, max_th = 2.337578e+00, time=2024-09-03 13:33:43 
jj1 = 129, max_th = 2.733350e+00, time=2024-09-03 13:34:41 
jj1 = 481, max_th = 2.741007e+00, time=2024-09-03 13:36:27 
jj1 = 442, max_th = 1.939550e+00, time=2024-09-03 13:36:39 
jj1 = 480, max_th = -1.201708e-01, time=2024-09-03 13:37:05 
jj1 = 128, max_th = 9.166014e-01, time=2024-09-03 13:38:30 
jj1 = 127, max_th = 2.957595e+00, time=2024-09-03 13:41:37 
jj1 = 325, max_th = 2.571053e+00, time=2024-09-03 13:42:48 
jj1 = 360, max_th = 1.614383e+00, time=2024-09-03 13:43:52 
jj1 = 403, max_th = 1.986910e+00, time=2024-09-03 13:47:14 
jj1 = 284, max_th = 1.916773e+00, time=2024-09-03 13:47:20 
jj1 = 247, max_th = 1.701046e+00, time=2024-09-03 13:48:53 
jj1 = 92, max_th = 1.918115e+00, time=2024-09-03 13:49:44 
jj1 = 169, max_th = 1.952141e+00, time=2024-09-03 13:50:48 
jj1 = 521, max_th = 1.889313e+00, time=2024-09-03 13:50:48 
jj1 = 402, max_th = 2.913113e+00, time=2024-09-03 13:51:00 
jj1 = 209, max_th = 2.319033e+00, time=2024-09-03 13:51:34 
jj1 = 359, max_th = 2.652534e+00, time=2024-09-03 13:52:42 
jj1 = 441, max_th = 2.313420e+00, time=2024-09-03 13:53:29 
jj1 = 479, max_th = 1.897427e+00, time=2024-09-03 13:55:57 
jj1 = 91, max_th = 2.778663e+00, time=2024-09-03 13:56:15 
jj1 = 283, max_th = 1.296836e+00, time=2024-09-03 13:56:30 
jj1 = 126, max_th = 2.408013e+00, time=2024-09-03 13:56:50 
jj1 = 246, max_th = 1.345418e+00, time=2024-09-03 13:58:42 
jj1 = 324, max_th = 2.377298e+00, time=2024-09-03 14:00:00 
jj1 = 520, max_th = 1.328318e+00, time=2024-09-03 14:00:56 
jj1 = 208, max_th = 2.605523e+00, time=2024-09-03 14:01:09 
jj1 = 168, max_th = 2.548525e+00, time=2024-09-03 14:01:17 
jj1 = 282, max_th = 1.263453e+00, time=2024-09-03 14:06:19 
jj1 = 401, max_th = 2.422447e+00, time=2024-09-03 14:06:53 
jj1 = 207, max_th = 1.189668e+00, time=2024-09-03 14:09:32 
jj1 = 281, max_th = 2.837367e+00, time=2024-09-03 14:11:26 
jj1 = 478, max_th = 1.540096e+00, time=2024-09-03 14:11:50 
jj1 = 358, max_th = 2.228081e+00, time=2024-09-03 14:13:25 
jj1 = 440, max_th = 1.816669e+00, time=2024-09-03 14:14:07 
jj1 = 90, max_th = 1.688615e+00, time=2024-09-03 14:14:24 
jj1 = 125, max_th = 1.630057e+00, time=2024-09-03 14:15:14 
jj1 = 519, max_th = 1.998750e+00, time=2024-09-03 14:19:32 
jj1 = 167, max_th = 1.674833e+00, time=2024-09-03 14:20:04 
jj1 = 323, max_th = 2.093626e+00, time=2024-09-03 14:20:47 
jj1 = 245, max_th = 1.930958e+00, time=2024-09-03 14:21:11 
jj1 = 206, max_th = 1.564471e+00, time=2024-09-03 14:25:39 
jj1 = 400, max_th = 2.091701e+00, time=2024-09-03 14:28:31 
jj1 = 477, max_th = 1.672755e+00, time=2024-09-03 14:30:37 
jj1 = 322, max_th = 1.335652e+00, time=2024-09-03 14:31:17 
jj1 = 280, max_th = 1.858258e+00, time=2024-09-03 14:31:31 
jj1 = 124, max_th = 1.635699e+00, time=2024-09-03 14:32:50 
jj1 = 89, max_th = 1.953656e+00, time=2024-09-03 14:34:31 
jj1 = 357, max_th = 2.116748e+00, time=2024-09-03 14:35:21 
jj1 = 439, max_th = 2.122212e+00, time=2024-09-03 14:36:14 
jj1 = 356, max_th = 8.684980e-01, time=2024-09-03 14:38:54 
jj1 = 399, max_th = 1.360361e+00, time=2024-09-03 14:39:37 
jj1 = 518, max_th = 1.941596e+00, time=2024-09-03 14:40:23 
jj1 = 166, max_th = 1.937351e+00, time=2024-09-03 14:41:52 
jj1 = 476, max_th = 2.400274e+00, time=2024-09-03 14:42:04 
jj1 = 279, max_th = 1.326327e+00, time=2024-09-03 14:42:51 
jj1 = 244, max_th = 2.113495e+00, time=2024-09-03 14:42:52 
jj1 = 517, max_th = 2.997728e+00, time=2024-09-03 14:43:25 
jj1 = 516, max_th = 9.513695e-01, time=2024-09-03 14:47:11 
jj1 = 205, max_th = 1.930365e+00, time=2024-09-03 14:47:52 
jj1 = 321, max_th = 2.367966e+00, time=2024-09-03 14:48:48 
jj1 = 88, max_th = 2.388182e+00, time=2024-09-03 14:50:36 
jj1 = 438, max_th = 1.621514e+00, time=2024-09-03 14:54:01 
jj1 = 123, max_th = 1.913981e+00, time=2024-09-03 14:54:30 
jj1 = 475, max_th = 1.547002e+00, time=2024-09-03 14:55:49 
jj1 = 355, max_th = 1.687226e+00, time=2024-09-03 14:57:36 
jj1 = 515, max_th = 1.338461e+00, time=2024-09-03 14:57:44 
jj1 = 204, max_th = 1.273941e+00, time=2024-09-03 14:57:56 
jj1 = 203, max_th = 3.038526e+00, time=2024-09-03 15:00:14 
jj1 = 165, max_th = 2.152902e+00, time=2024-09-03 15:00:34 
jj1 = 87, max_th = 1.328982e+00, time=2024-09-03 15:01:12 
jj1 = 398, max_th = 1.926414e+00, time=2024-09-03 15:02:13 
jj1 = 243, max_th = 1.954363e+00, time=2024-09-03 15:02:31 
jj1 = 278, max_th = 1.903925e+00, time=2024-09-03 15:02:38 
jj1 = 437, max_th = 2.605246e+00, time=2024-09-03 15:03:36 
jj1 = 320, max_th = 1.698149e+00, time=2024-09-03 15:04:25 
jj1 = 86, max_th = 2.893938e+00, time=2024-09-03 15:05:11 
jj1 = 354, max_th = 2.511452e+00, time=2024-09-03 15:10:42 
jj1 = 164, max_th = 2.562364e+00, time=2024-09-03 15:11:50 
jj1 = 397, max_th = 2.555309e+00, time=2024-09-03 15:13:26 
jj1 = 474, max_th = 1.683054e+00, time=2024-09-03 15:14:19 
jj1 = 122, max_th = 1.970127e+00, time=2024-09-03 15:16:45 
jj1 = 514, max_th = 1.961286e+00, time=2024-09-03 15:20:01 
jj1 = 473, max_th = 2.599946e+00, time=2024-09-03 15:20:51 
jj1 = 277, max_th = 1.948033e+00, time=2024-09-03 15:21:01 
jj1 = 319, max_th = 1.702848e+00, time=2024-09-03 15:21:21 
jj1 = 202, max_th = 1.937736e+00, time=2024-09-03 15:21:31 
jj1 = 436, max_th = 1.903892e+00, time=2024-09-03 15:22:37 
jj1 = 513, max_th = 2.931263e+00, time=2024-09-03 15:23:42 
jj1 = 242, max_th = 1.937795e+00, time=2024-09-03 15:24:00 
jj1 = 85, max_th = 2.218163e+00, time=2024-09-03 15:25:48 
jj1 = 318, max_th = 2.782484e+00, time=2024-09-03 15:27:41 
jj1 = 353, max_th = 1.663818e+00, time=2024-09-03 15:28:43 
jj1 = 163, max_th = 1.761832e+00, time=2024-09-03 15:29:52 
jj1 = 435, max_th = 2.610493e+00, time=2024-09-03 15:32:50 
jj1 = 396, max_th = 2.174764e+00, time=2024-09-03 15:35:05 
jj1 = 201, max_th = 2.388483e+00, time=2024-09-03 15:37:40 
jj1 = 276, max_th = 1.627960e+00, time=2024-09-03 15:38:43 
jj1 = 121, max_th = 1.873592e+00, time=2024-09-03 15:39:03 
jj1 = 472, max_th = 2.094481e+00, time=2024-09-03 15:41:19 
jj1 = 434, max_th = 2.583151e+00, time=2024-09-03 15:43:42 
jj1 = 317, max_th = 2.354205e+00, time=2024-09-03 15:43:44 
jj1 = 241, max_th = 1.887038e+00, time=2024-09-03 15:44:45 
jj1 = 84, max_th = 2.146780e+00, time=2024-09-03 15:44:56 
jj1 = 512, max_th = 1.873349e+00, time=2024-09-03 15:45:46 
jj1 = 352, max_th = 2.030518e+00, time=2024-09-03 15:51:06 
jj1 = 162, max_th = 1.977291e+00, time=2024-09-03 15:52:38 
jj1 = 395, max_th = 2.332956e+00, time=2024-09-03 15:52:56 
jj1 = 433, max_th = 1.371916e+00, time=2024-09-03 15:55:17 
jj1 = 120, max_th = 2.100520e+00, time=2024-09-03 15:55:21 
jj1 = 200, max_th = 1.896530e+00, time=2024-09-03 15:56:15 
jj1 = 275, max_th = 1.689491e+00, time=2024-09-03 15:56:51 
jj1 = 511, max_th = 1.372541e+00, time=2024-09-03 15:57:59 
jj1 = 351, max_th = 2.742045e+00, time=2024-09-03 15:58:16 
jj1 = 471, max_th = 1.703960e+00, time=2024-09-03 15:58:24 
jj1 = 199, max_th = 9.758408e-01, time=2024-09-03 16:00:42 
jj1 = 83, max_th = 2.377738e+00, time=2024-09-03 16:01:46 
jj1 = 394, max_th = 2.609842e+00, time=2024-09-03 16:02:35 
jj1 = 240, max_th = 1.903488e+00, time=2024-09-03 16:03:56 
jj1 = 316, max_th = 1.947313e+00, time=2024-09-03 16:03:59 
jj1 = 119, max_th = 2.359122e+00, time=2024-09-03 16:11:49 
jj1 = 393, max_th = 1.337119e+00, time=2024-09-03 16:12:52 
jj1 = 161, max_th = 1.772711e+00, time=2024-09-03 16:13:10 
jj1 = 432, max_th = 2.323767e+00, time=2024-09-03 16:14:04 
jj1 = 510, max_th = 1.654829e+00, time=2024-09-03 16:14:07 
jj1 = 470, max_th = 2.148810e+00, time=2024-09-03 16:15:55 
jj1 = 274, max_th = 1.878899e+00, time=2024-09-03 16:18:21 
jj1 = 198, max_th = 2.152434e+00, time=2024-09-03 16:18:36 
jj1 = 350, max_th = 1.863049e+00, time=2024-09-03 16:19:02 
jj1 = 82, max_th = 2.152902e+00, time=2024-09-03 16:20:07 
jj1 = 273, max_th = 2.881139e+00, time=2024-09-03 16:22:45 
jj1 = 315, max_th = 2.205146e+00, time=2024-09-03 16:23:02 
jj1 = 431, max_th = 1.238065e+00, time=2024-09-03 16:23:56 
jj1 = 239, max_th = 1.931312e+00, time=2024-09-03 16:26:12 
jj1 = 509, max_th = 2.402550e+00, time=2024-09-03 16:28:20 
jj1 = 392, max_th = 1.632900e+00, time=2024-09-03 16:29:57 
jj1 = 272, max_th = 2.732341e+00, time=2024-09-03 16:29:59 
jj1 = 118, max_th = 1.732533e+00, time=2024-09-03 16:31:40 
jj1 = 508, max_th = 8.191765e-01, time=2024-09-03 16:31:40 
jj1 = 469, max_th = 2.310240e+00, time=2024-09-03 16:33:42 
jj1 = 160, max_th = 1.936739e+00, time=2024-09-03 16:34:52 
jj1 = 349, max_th = 2.104911e+00, time=2024-09-03 16:38:19 
jj1 = 117, max_th = 2.706771e+00, time=2024-09-03 16:39:16 
jj1 = 314, max_th = 1.584341e+00, time=2024-09-03 16:39:45 
jj1 = 468, max_th = 2.760494e+00, time=2024-09-03 16:40:19 
jj1 = 197, max_th = 1.930325e+00, time=2024-09-03 16:41:19 
jj1 = 81, max_th = 1.939281e+00, time=2024-09-03 16:41:29 
jj1 = 430, max_th = 1.671638e+00, time=2024-09-03 16:42:36 
jj1 = 238, max_th = 1.641049e+00, time=2024-09-03 16:43:14 
jj1 = 271, max_th = 1.655953e+00, time=2024-09-03 16:46:43 
jj1 = 391, max_th = 2.315993e+00, time=2024-09-03 16:47:36 
jj1 = 80, max_th = 1.218901e+00, time=2024-09-03 16:49:12 
jj1 = 159, max_th = 2.387697e+00, time=2024-09-03 16:51:07 
jj1 = 507, max_th = 1.926635e+00, time=2024-09-03 16:53:26 
jj1 = 237, max_th = 1.378258e+00, time=2024-09-03 16:54:53 
jj1 = 79, max_th = 2.772309e+00, time=2024-09-03 16:55:50 
jj1 = 348, max_th = 1.668831e+00, time=2024-09-03 16:56:44 
jj1 = 158, max_th = 1.132554e+00, time=2024-09-03 16:59:03 
jj1 = 390, max_th = 2.350155e+00, time=2024-09-03 16:59:16 
jj1 = 467, max_th = 1.666428e+00, time=2024-09-03 16:59:20 
jj1 = 196, max_th = 2.152061e+00, time=2024-09-03 16:59:23 
jj1 = 429, max_th = 2.203492e+00, time=2024-09-03 17:00:42 
jj1 = 116, max_th = 1.912266e+00, time=2024-09-03 17:01:13 
jj1 = 313, max_th = 1.958756e+00, time=2024-09-03 17:01:36 
jj1 = 270, max_th = 2.426482e+00, time=2024-09-03 17:03:18 
jj1 = 157, max_th = 2.566414e+00, time=2024-09-03 17:10:42 
jj1 = 506, max_th = 1.895986e+00, time=2024-09-03 17:13:00 
jj1 = 236, max_th = 1.669193e+00, time=2024-09-03 17:13:05 
jj1 = 389, max_th = 2.402962e+00, time=2024-09-03 17:13:28 
jj1 = 195, max_th = 1.659176e+00, time=2024-09-03 17:16:29 
jj1 = 78, max_th = 1.911131e+00, time=2024-09-03 17:16:53 
jj1 = 347, max_th = 1.957318e+00, time=2024-09-03 17:17:19 
jj1 = 156, max_th = 1.235340e+00, time=2024-09-03 17:19:51 
jj1 = 312, max_th = 1.683836e+00, time=2024-09-03 17:20:29 
jj1 = 269, max_th = 1.668300e+00, time=2024-09-03 17:20:57 
jj1 = 466, max_th = 1.970730e+00, time=2024-09-03 17:21:11 
jj1 = 428, max_th = 2.134261e+00, time=2024-09-03 17:21:28 
jj1 = 388, max_th = 2.651872e+00, time=2024-09-03 17:21:31 
jj1 = 115, max_th = 1.886708e+00, time=2024-09-03 17:22:52 
jj1 = 505, max_th = 1.307819e+00, time=2024-09-03 17:23:03 
jj1 = 387, max_th = 3.040310e+00, time=2024-09-03 17:23:36 
jj1 = 235, max_th = 2.370684e+00, time=2024-09-03 17:30:19 
jj1 = 194, max_th = 2.343738e+00, time=2024-09-03 17:31:57 
jj1 = 114, max_th = 2.448969e+00, time=2024-09-03 17:34:56 
jj1 = 346, max_th = 1.856286e+00, time=2024-09-03 17:36:34 
jj1 = 465, max_th = 2.393540e+00, time=2024-09-03 17:36:47 
jj1 = 77, max_th = 2.110054e+00, time=2024-09-03 17:37:42 
jj1 = 268, max_th = 2.318893e+00, time=2024-09-03 17:39:23 
jj1 = 155, max_th = 1.858871e+00, time=2024-09-03 17:40:19 
jj1 = 311, max_th = 1.776865e+00, time=2024-09-03 17:41:03 
jj1 = 504, max_th = 2.104090e+00, time=2024-09-03 17:42:19 
jj1 = 427, max_th = 2.082198e+00, time=2024-09-03 17:43:07 
jj1 = 386, max_th = 1.968746e+00, time=2024-09-03 17:46:21 
jj1 = 426, max_th = 2.906753e+00, time=2024-09-03 17:46:43 
jj1 = 193, max_th = 1.651904e+00, time=2024-09-03 17:46:57 
jj1 = 234, max_th = 1.673318e+00, time=2024-09-03 17:47:51 
jj1 = 113, max_th = 2.398346e+00, time=2024-09-03 17:48:21 
jj1 = 154, max_th = 1.293366e+00, time=2024-09-03 17:49:58 
jj1 = 464, max_th = 2.412336e+00, time=2024-09-03 17:52:54 
jj1 = 76, max_th = 2.361508e+00, time=2024-09-03 17:53:49 
jj1 = 153, max_th = 9.398841e-01, time=2024-09-03 17:54:11 
jj1 = 345, max_th = 1.852903e+00, time=2024-09-03 17:54:48 
jj1 = 425, max_th = 1.239674e+00, time=2024-09-03 17:55:01 
jj1 = 192, max_th = 1.290740e+00, time=2024-09-03 17:56:18 
jj1 = 233, max_th = 2.592054e+00, time=2024-09-03 17:58:23 
jj1 = 310, max_th = 2.374362e+00, time=2024-09-03 17:59:57 
jj1 = 191, max_th = 9.824319e-01, time=2024-09-03 18:00:53 
