MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 25, max_th = 4.644087e+00, time=2024-09-03 10:01:56 
jj1 = 55, max_th = 3.603890e+00, time=2024-09-03 10:02:09 
jj1 = 30, max_th = 1.092253e+00, time=2024-09-03 10:07:10 
jj1 = 60, max_th = 2.886287e+00, time=2024-09-03 10:07:53 
jj1 = 45, max_th = 2.950429e+00, time=2024-09-03 10:09:22 
jj1 = 15, max_th = 1.018820e+00, time=2024-09-03 10:13:05 
jj1 = 50, max_th = 2.417716e+00, time=2024-09-03 10:18:31 
jj1 = 59, max_th = 2.648365e+00, time=2024-09-03 10:19:54 
jj1 = 24, max_th = 1.584937e+00, time=2024-09-03 10:20:00 
jj1 = 40, max_th = 1.539007e+00, time=2024-09-03 10:25:27 
jj1 = 54, max_th = 2.336004e+00, time=2024-09-03 10:26:19 
jj1 = 44, max_th = 1.808263e+00, time=2024-09-03 10:26:31 
jj1 = 14, max_th = 1.373646e+00, time=2024-09-03 10:27:41 
jj1 = 23, max_th = 1.196551e+00, time=2024-09-03 10:28:03 
jj1 = 35, max_th = 2.261250e+00, time=2024-09-03 10:28:11 
jj1 = 29, max_th = 2.097809e+00, time=2024-09-03 10:31:17 
jj1 = 10, max_th = 2.179963e+00, time=2024-09-03 10:32:31 
jj1 = 39, max_th = 2.469442e+00, time=2024-09-03 10:34:46 
jj1 = 20, max_th = 3.735288e+00, time=2024-09-03 10:36:20 
jj1 = 9, max_th = 8.777950e-01, time=2024-09-03 10:36:54 
jj1 = 5, max_th = 1.486211e+00, time=2024-09-03 10:38:13 
jj1 = 49, max_th = 2.426999e+00, time=2024-09-03 10:40:03 
jj1 = 58, max_th = 1.848866e+00, time=2024-09-03 10:41:52 
jj1 = 34, max_th = 1.200471e+00, time=2024-09-03 10:42:24 
jj1 = 13, max_th = 1.373983e+00, time=2024-09-03 10:44:24 
jj1 = 53, max_th = 2.154024e+00, time=2024-09-03 10:46:46 
jj1 = 43, max_th = 2.137181e+00, time=2024-09-03 10:49:03 
jj1 = 22, max_th = 1.901497e+00, time=2024-09-03 10:51:08 
jj1 = 42, max_th = 3.342644e+00, time=2024-09-03 10:51:13 
jj1 = 28, max_th = 2.539182e+00, time=2024-09-03 10:51:35 
jj1 = 8, max_th = 2.609131e+00, time=2024-09-03 10:51:56 
jj1 = 27, max_th = 3.321984e+00, time=2024-09-03 10:53:23 
jj1 = 19, max_th = 1.606677e+00, time=2024-09-03 10:56:48 
jj1 = 41, max_th = 1.085338e+00, time=2024-09-03 10:56:58 
jj1 = 21, max_th = 1.031898e+00, time=2024-09-03 10:57:23 
jj1 = 38, max_th = 1.985801e+00, time=2024-09-03 10:58:05 
jj1 = 33, max_th = 1.391802e+00, time=2024-09-03 10:58:26 
jj1 = 12, max_th = 2.397664e+00, time=2024-09-03 10:59:42 
jj1 = 4, max_th = 2.145052e+00, time=2024-09-03 11:00:13 
jj1 = 3, max_th = 3.190293e+00, time=2024-09-03 11:04:39 
jj1 = 255, max_th = 1.323688e+00, time=2024-09-03 11:10:29 
jj1 = 26, max_th = 2.075847e+00, time=2024-09-03 11:11:56 
jj1 = 32, max_th = 1.653461e+00, time=2024-09-03 11:12:41 
jj1 = 52, max_th = 2.066257e+00, time=2024-09-03 11:14:09 
jj1 = 7, max_th = 2.543348e+00, time=2024-09-03 11:15:33 
jj1 = 51, max_th = 3.018747e+00, time=2024-09-03 11:15:46 
jj1 = 18, max_th = 2.363573e+00, time=2024-09-03 11:16:50 
jj1 = 17, max_th = 2.981693e+00, time=2024-09-03 11:19:33 
jj1 = 411, max_th = 2.011144e+00, time=2024-09-03 11:20:04 
jj1 = 48, max_th = 2.270297e+00, time=2024-09-03 11:20:59 
jj1 = 37, max_th = 1.765913e+00, time=2024-09-03 11:23:55 
jj1 = 47, max_th = 3.748848e+00, time=2024-09-03 11:24:32 
jj1 = 2, max_th = 2.289017e+00, time=2024-09-03 11:26:19 
jj1 = 294, max_th = 2.136526e+00, time=2024-09-03 11:27:48 
jj1 = 57, max_th = 1.813833e+00, time=2024-09-03 11:31:00 
jj1 = 6, max_th = 1.667316e+00, time=2024-09-03 11:34:31 
jj1 = 254, max_th = 2.106845e+00, time=2024-09-03 11:34:32 
jj1 = 31, max_th = 2.284371e+00, time=2024-09-03 11:35:39 
jj1 = 489, max_th = 1.585527e+00, time=2024-09-03 11:37:04 
jj1 = 410, max_th = 1.610193e+00, time=2024-09-03 11:40:55 
jj1 = 46, max_th = 2.177458e+00, time=2024-09-03 11:40:57 
