MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 15, max_th = 2.883723e+00, time=2024-09-06 16:17:21 
jj1 = 25, max_th = 1.949794e+00, time=2024-09-06 16:21:44 
jj1 = 5, max_th = 2.587426e+00, time=2024-09-06 16:22:49 
jj1 = 55, max_th = 2.163950e+00, time=2024-09-06 16:23:46 
jj1 = 24, max_th = 2.991720e+00, time=2024-09-06 16:24:08 
jj1 = 10, max_th = 1.766983e+00, time=2024-09-06 16:25:37 
jj1 = 20, max_th = 2.633327e+00, time=2024-09-06 16:27:04 
jj1 = 50, max_th = 2.298319e+00, time=2024-09-06 16:28:51 
jj1 = 9, max_th = 9.972856e-01, time=2024-09-06 16:29:55 
jj1 = 40, max_th = 2.319853e+00, time=2024-09-06 16:30:37 
jj1 = 14, max_th = 1.581782e+00, time=2024-09-06 16:32:37 
jj1 = 45, max_th = 2.066447e+00, time=2024-09-06 16:33:21 
jj1 = 30, max_th = 2.234856e+00, time=2024-09-06 16:33:33 
jj1 = 54, max_th = 2.123564e+00, time=2024-09-06 16:33:36 
jj1 = 60, max_th = 2.001765e+00, time=2024-09-06 16:34:36 
jj1 = 49, max_th = 1.499687e+00, time=2024-09-06 16:34:43 
jj1 = 4, max_th = 2.331026e+00, time=2024-09-06 16:34:57 
jj1 = 29, max_th = 5.965973e-01, time=2024-09-06 16:35:41 
jj1 = 35, max_th = 1.582993e+00, time=2024-09-06 16:35:54 
jj1 = 48, max_th = 9.383295e-01, time=2024-09-06 16:35:54 
jj1 = 59, max_th = 7.873455e-01, time=2024-09-06 16:36:30 
jj1 = 58, max_th = 3.096706e+00, time=2024-09-06 16:41:07 
jj1 = 34, max_th = 2.542778e+00, time=2024-09-06 16:42:42 
jj1 = 8, max_th = 2.798403e+00, time=2024-09-06 16:43:07 
jj1 = 23, max_th = 1.921563e+00, time=2024-09-06 16:44:16 
jj1 = 44, max_th = 2.092371e+00, time=2024-09-06 16:45:12 
jj1 = 53, max_th = 1.841516e+00, time=2024-09-06 16:45:26 
jj1 = 39, max_th = 2.552054e+00, time=2024-09-06 16:45:44 
jj1 = 19, max_th = 2.222371e+00, time=2024-09-06 16:46:18 
jj1 = 28, max_th = 1.623327e+00, time=2024-09-06 16:48:01 
jj1 = 3, max_th = 1.915891e+00, time=2024-09-06 16:48:39 
jj1 = 47, max_th = 1.904721e+00, time=2024-09-06 16:52:14 
jj1 = 57, max_th = 2.188934e+00, time=2024-09-06 16:52:38 
jj1 = 33, max_th = 1.955183e+00, time=2024-09-06 16:53:51 
jj1 = 13, max_th = 1.875026e+00, time=2024-09-06 16:54:17 
jj1 = 43, max_th = 2.197036e+00, time=2024-09-06 16:55:03 
jj1 = 38, max_th = 2.145731e+00, time=2024-09-06 16:55:19 
jj1 = 22, max_th = 2.369394e+00, time=2024-09-06 16:56:04 
jj1 = 7, max_th = 2.390268e+00, time=2024-09-06 16:57:25 
jj1 = 2, max_th = 1.557329e+00, time=2024-09-06 16:57:51 
jj1 = 46, max_th = 1.454664e+00, time=2024-09-06 16:58:30 
jj1 = 27, max_th = 1.603791e+00, time=2024-09-06 17:00:09 
jj1 = 18, max_th = 1.457519e+00, time=2024-09-06 17:01:00 
jj1 = 17, max_th = 3.023122e+00, time=2024-09-06 17:02:23 
jj1 = 37, max_th = 2.314592e+00, time=2024-09-06 17:05:54 
jj1 = 52, max_th = 1.961557e+00, time=2024-09-06 17:06:01 
jj1 = 450, max_th = 2.611930e+00, time=2024-09-06 17:06:39 
jj1 = 21, max_th = 1.947986e+00, time=2024-09-06 17:07:05 
jj1 = 42, max_th = 2.235945e+00, time=2024-09-06 17:08:35 
jj1 = 1, max_th = 1.973661e+00, time=2024-09-06 17:09:05 
jj1 = 16, max_th = 1.198248e+00, time=2024-09-06 17:10:00 
jj1 = 32, max_th = 2.433823e+00, time=2024-09-06 17:10:55 
jj1 = 99, max_th = 1.149219e+00, time=2024-09-06 17:11:35 
jj1 = 26, max_th = 2.597637e+00, time=2024-09-06 17:12:46 
jj1 = 255, max_th = 1.510602e+00, time=2024-09-06 17:13:58 
jj1 = 51, max_th = 1.398330e+00, time=2024-09-06 17:14:03 
jj1 = 216, max_th = 8.728081e-01, time=2024-09-06 17:14:18 
jj1 = 6, max_th = 1.334268e+00, time=2024-09-06 17:16:09 
jj1 = 56, max_th = 2.069383e+00, time=2024-09-06 17:16:10 
jj1 = 36, max_th = 1.986286e+00, time=2024-09-06 17:16:50 
jj1 = 98, max_th = -5.036418e-01, time=2024-09-06 17:18:25 
jj1 = 97, max_th = 3.060740e+00, time=2024-09-06 17:19:33 
jj1 = 294, max_th = 1.213616e+00, time=2024-09-06 17:20:43 
jj1 = 41, max_th = 2.012337e+00, time=2024-09-06 17:20:45 
jj1 = 138, max_th = 9.136578e-01, time=2024-09-06 17:21:22 
jj1 = 449, max_th = 1.470465e+00, time=2024-09-06 17:22:30 
jj1 = 293, max_th = 1.725459e+00, time=2024-09-06 17:22:51 
jj1 = 372, max_th = 1.579214e+00, time=2024-09-06 17:24:17 
jj1 = 12, max_th = 1.532503e+00, time=2024-09-06 17:24:26 
jj1 = 254, max_th = 2.174479e+00, time=2024-09-06 17:24:35 
jj1 = 528, max_th = 1.263271e+00, time=2024-09-06 17:24:42 
jj1 = 31, max_th = 2.326891e+00, time=2024-09-06 17:26:04 
jj1 = 292, max_th = 1.207122e+00, time=2024-09-06 17:27:00 
jj1 = 137, max_th = 1.208255e+00, time=2024-09-06 17:28:20 
jj1 = 489, max_th = 2.547888e+00, time=2024-09-06 17:29:19 
jj1 = 448, max_th = 1.334360e+00, time=2024-09-06 17:29:31 
jj1 = 253, max_th = 2.590035e+00, time=2024-09-06 17:30:18 
jj1 = 215, max_th = 2.120277e+00, time=2024-09-06 17:31:23 
jj1 = 214, max_th = 5.173037e-01, time=2024-09-06 17:31:35 
jj1 = 371, max_th = 1.543893e+00, time=2024-09-06 17:31:48 
jj1 = 411, max_th = 1.429479e+00, time=2024-09-06 17:33:41 
jj1 = 527, max_th = 2.097891e+00, time=2024-09-06 17:34:16 
jj1 = 291, max_th = 2.153498e+00, time=2024-09-06 17:34:21 
jj1 = 526, max_th = 8.320065e-01, time=2024-09-06 17:34:56 
jj1 = 447, max_th = 2.636730e+00, time=2024-09-06 17:35:06 
jj1 = 136, max_th = 1.292770e+00, time=2024-09-06 17:36:05 
jj1 = 252, max_th = 2.502737e+00, time=2024-09-06 17:36:08 
jj1 = 333, max_th = 1.533117e+00, time=2024-09-06 17:38:30 
jj1 = 446, max_th = 1.231016e+00, time=2024-09-06 17:39:53 
