MATLAB is selecting SOFTWARE OPENGL rendering.

                            < M A T L A B (R) >
                  Copyright 1984-2021 The MathWorks, Inc.
                  R2021b (9.11.0.1769968) 64-bit (glnxa64)
                             September 17, 2021

 
To get started, type doc.
For product information, visit www.mathworks.com.
 
>> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> >> Starting parallel pool (parpool) using the 'local' profile ...
Connected to the parallel pool (number of workers: 12).
jj1 = 50, max_th = 9.428267e-01, time=2024-09-06 16:17:49 
jj1 = 55, max_th = 9.777542e-01, time=2024-09-06 16:18:26 
jj1 = 30, max_th = 2.557688e+00, time=2024-09-06 16:19:22 
jj1 = 20, max_th = 2.720094e+00, time=2024-09-06 16:21:26 
jj1 = 25, max_th = 1.590309e+00, time=2024-09-06 16:21:47 
jj1 = 40, max_th = 2.564894e+00, time=2024-09-06 16:22:22 
jj1 = 5, max_th = 1.618614e+00, time=2024-09-06 16:22:49 
jj1 = 45, max_th = 1.908544e+00, time=2024-09-06 16:24:01 
jj1 = 10, max_th = 2.580862e+00, time=2024-09-06 16:24:22 
jj1 = 35, max_th = 1.377604e+00, time=2024-09-06 16:25:09 
jj1 = 60, max_th = 2.538862e+00, time=2024-09-06 16:25:14 
jj1 = 4, max_th = 9.107193e-01, time=2024-09-06 16:26:09 
jj1 = 39, max_th = 2.729781e+00, time=2024-09-06 16:26:11 
jj1 = 29, max_th = 1.369970e+00, time=2024-09-06 16:26:33 
jj1 = 44, max_th = 1.318257e+00, time=2024-09-06 16:28:52 
jj1 = 54, max_th = 2.152571e+00, time=2024-09-06 16:29:17 
jj1 = 15, max_th = 1.623781e+00, time=2024-09-06 16:30:02 
jj1 = 49, max_th = 2.410736e+00, time=2024-09-06 16:31:39 
jj1 = 53, max_th = 1.389643e+00, time=2024-09-06 16:34:35 
jj1 = 3, max_th = 1.663647e+00, time=2024-09-06 16:35:00 
jj1 = 38, max_th = 2.157336e+00, time=2024-09-06 16:35:23 
jj1 = 2, max_th = 2.952738e+00, time=2024-09-06 16:36:19 
jj1 = 28, max_th = 1.943283e+00, time=2024-09-06 16:36:26 
jj1 = 9, max_th = 1.699683e+00, time=2024-09-06 16:36:49 
jj1 = 19, max_th = 2.151648e+00, time=2024-09-06 16:37:19 
jj1 = 24, max_th = 1.935892e+00, time=2024-09-06 16:38:07 
jj1 = 48, max_th = 1.312826e+00, time=2024-09-06 16:39:06 
jj1 = 59, max_th = 2.394309e+00, time=2024-09-06 16:39:06 
jj1 = 43, max_th = 2.116092e+00, time=2024-09-06 16:39:27 
jj1 = 52, max_th = 2.575516e+00, time=2024-09-06 16:40:00 
jj1 = 42, max_th = 8.806531e-01, time=2024-09-06 16:41:16 
jj1 = 34, max_th = 1.613750e+00, time=2024-09-06 16:41:45 
jj1 = 37, max_th = 1.559651e+00, time=2024-09-06 16:42:15 
jj1 = 27, max_th = 1.954114e+00, time=2024-09-06 16:46:31 
jj1 = 14, max_th = 2.088024e+00, time=2024-09-06 16:47:09 
jj1 = 36, max_th = 1.343268e+00, time=2024-09-06 16:47:09 
jj1 = 47, max_th = 1.657682e+00, time=2024-09-06 16:47:39 
jj1 = 46, max_th = -5.020933e-02, time=2024-09-06 16:47:58 
jj1 = 23, max_th = 2.098438e+00, time=2024-09-06 16:48:07 
jj1 = 1, max_th = 2.373081e+00, time=2024-09-06 16:48:35 
jj1 = 13, max_th = 9.241326e-01, time=2024-09-06 16:48:58 
jj1 = 58, max_th = 2.427703e+00, time=2024-09-06 16:49:17 
jj1 = 51, max_th = 1.937241e+00, time=2024-09-06 16:50:50 
jj1 = 41, max_th = 1.931014e+00, time=2024-09-06 16:51:11 
jj1 = 57, max_th = 1.198964e+00, time=2024-09-06 16:52:13 
jj1 = 26, max_th = 1.507489e+00, time=2024-09-06 16:54:20 
jj1 = 411, max_th = 2.736556e+00, time=2024-09-06 16:54:49 
jj1 = 18, max_th = 2.188957e+00, time=2024-09-06 16:55:43 
jj1 = 8, max_th = 2.215465e+00, time=2024-09-06 16:55:46 
jj1 = 372, max_th = 2.303139e+00, time=2024-09-06 16:56:11 
jj1 = 12, max_th = 1.543808e+00, time=2024-09-06 16:56:13 
jj1 = 450, max_th = 2.070810e+00, time=2024-09-06 16:58:24 
jj1 = 7, max_th = 9.513719e-01, time=2024-09-06 16:58:32 
jj1 = 33, max_th = 2.236330e+00, time=2024-09-06 16:59:49 
jj1 = 294, max_th = 2.341081e+00, time=2024-09-06 17:02:13 
jj1 = 56, max_th = 1.961456e+00, time=2024-09-06 17:02:43 
jj1 = 410, max_th = 2.343949e+00, time=2024-09-06 17:02:58 
jj1 = 371, max_th = 2.298051e+00, time=2024-09-06 17:03:24 
jj1 = 17, max_th = 2.416405e+00, time=2024-09-06 17:03:29 
jj1 = 489, max_th = 1.635883e+00, time=2024-09-06 17:03:35 
jj1 = 293, max_th = 9.554988e-01, time=2024-09-06 17:04:03 
jj1 = 449, max_th = 2.495964e+00, time=2024-09-06 17:04:17 
jj1 = 370, max_th = 9.106456e-01, time=2024-09-06 17:05:11 
jj1 = 11, max_th = 1.945133e+00, time=2024-09-06 17:05:16 
jj1 = 32, max_th = 1.299804e+00, time=2024-09-06 17:06:18 
jj1 = 488, max_th = 2.758315e+00, time=2024-09-06 17:06:27 
jj1 = 22, max_th = 1.878669e+00, time=2024-09-06 17:07:03 
jj1 = 99, max_th = 2.070212e+00, time=2024-09-06 17:07:12 
jj1 = 6, max_th = 2.133589e+00, time=2024-09-06 17:08:31 
jj1 = 487, max_th = 2.829897e+00, time=2024-09-06 17:09:04 
jj1 = 528, max_th = 2.567109e+00, time=2024-09-06 17:09:09 
jj1 = 292, max_th = 1.556142e+00, time=2024-09-06 17:10:53 
jj1 = 409, max_th = 2.116466e+00, time=2024-09-06 17:12:39 
jj1 = 16, max_th = 2.268188e+00, time=2024-09-06 17:13:18 
jj1 = 31, max_th = 2.393091e+00, time=2024-09-06 17:13:27 
jj1 = 98, max_th = 2.669263e+00, time=2024-09-06 17:14:05 
jj1 = 448, max_th = 1.929092e+00, time=2024-09-06 17:14:17 
jj1 = 369, max_th = 1.941492e+00, time=2024-09-06 17:14:58 
jj1 = 447, max_th = 2.893880e+00, time=2024-09-06 17:16:01 
jj1 = 177, max_th = 1.878445e+00, time=2024-09-06 17:16:54 
jj1 = 527, max_th = 1.886829e+00, time=2024-09-06 17:18:53 
jj1 = 333, max_th = 1.547213e+00, time=2024-09-06 17:19:40 
jj1 = 291, max_th = 1.850403e+00, time=2024-09-06 17:20:00 
jj1 = 526, max_th = 9.183585e-01, time=2024-09-06 17:20:45 
jj1 = 138, max_th = 1.651260e+00, time=2024-09-06 17:21:49 
jj1 = 408, max_th = 1.641343e+00, time=2024-09-06 17:22:04 
jj1 = 525, max_th = 9.090261e-01, time=2024-09-06 17:22:27 
jj1 = 486, max_th = 1.916971e+00, time=2024-09-06 17:23:40 
jj1 = 176, max_th = 1.576827e+00, time=2024-09-06 17:24:50 
jj1 = 368, max_th = 1.970532e+00, time=2024-09-06 17:24:58 
jj1 = 21, max_th = 1.967457e+00, time=2024-09-06 17:26:57 
jj1 = 485, max_th = 8.894041e-01, time=2024-09-06 17:27:00 
jj1 = 484, max_th = -9.534143e-02, time=2024-09-06 17:27:39 
jj1 = 446, max_th = 1.680107e+00, time=2024-09-06 17:27:50 
jj1 = 332, max_th = 1.852235e+00, time=2024-09-06 17:28:05 
jj1 = 97, max_th = 1.619124e+00, time=2024-09-06 17:28:31 
jj1 = 407, max_th = 2.392932e+00, time=2024-09-06 17:28:47 
jj1 = 524, max_th = 1.522662e+00, time=2024-09-06 17:29:40 
jj1 = 290, max_th = 2.520885e+00, time=2024-09-06 17:30:11 
jj1 = 523, max_th = 9.872760e-01, time=2024-09-06 17:31:45 
jj1 = 216, max_th = 2.168066e+00, time=2024-09-06 17:32:24 
jj1 = 175, max_th = 1.562369e+00, time=2024-09-06 17:32:43 
jj1 = 367, max_th = 1.863139e+00, time=2024-09-06 17:35:01 
jj1 = 331, max_th = 2.376208e+00, time=2024-09-06 17:35:35 
jj1 = 96, max_th = 2.303897e+00, time=2024-09-06 17:35:58 
jj1 = 95, max_th = 3.029330e+00, time=2024-09-06 17:37:03 
jj1 = 137, max_th = 1.617103e+00, time=2024-09-06 17:37:08 
jj1 = 289, max_th = 1.704978e+00, time=2024-09-06 17:37:41 
jj1 = 406, max_th = 2.066136e+00, time=2024-09-06 17:38:52 
jj1 = 405, max_th = -9.124006e-02, time=2024-09-06 17:39:12 
jj1 = 522, max_th = 1.612951e+00, time=2024-09-06 17:39:15 
jj1 = 255, max_th = 1.646036e+00, time=2024-09-06 17:40:23 
jj1 = 94, max_th = 1.305422e+00, time=2024-09-06 17:41:30 
jj1 = 404, max_th = 2.773709e+00, time=2024-09-06 17:42:04 
jj1 = 174, max_th = 2.156905e+00, time=2024-09-06 17:42:11 
jj1 = 215, max_th = 2.167259e+00, time=2024-09-06 17:43:10 
jj1 = 366, max_th = 1.681065e+00, time=2024-09-06 17:43:13 
jj1 = 445, max_th = 1.678186e+00, time=2024-09-06 17:44:22 
jj1 = 330, max_th = 2.130750e+00, time=2024-09-06 17:45:07 
jj1 = 93, max_th = 1.113560e+00, time=2024-09-06 17:46:11 
jj1 = 288, max_th = 2.276208e+00, time=2024-09-06 17:46:22 
jj1 = 483, max_th = 1.867135e+00, time=2024-09-06 17:46:42 
jj1 = 254, max_th = 1.397998e+00, time=2024-09-06 17:49:39 
jj1 = 214, max_th = 2.414873e+00, time=2024-09-06 17:50:21 
jj1 = 403, max_th = 1.632497e+00, time=2024-09-06 17:52:07 
jj1 = 136, max_th = 2.372522e+00, time=2024-09-06 17:52:47 
jj1 = 253, max_th = 9.535532e-01, time=2024-09-06 17:52:48 
jj1 = 521, max_th = 2.207727e+00, time=2024-09-06 17:53:34 
jj1 = 173, max_th = 1.938164e+00, time=2024-09-06 17:53:59 
jj1 = 213, max_th = 2.691168e+00, time=2024-09-06 17:54:50 
jj1 = 329, max_th = 2.118616e+00, time=2024-09-06 17:55:12 
jj1 = 287, max_th = 1.880171e+00, time=2024-09-06 17:56:34 
jj1 = 135, max_th = 9.276739e-01, time=2024-09-06 17:56:36 
jj1 = 482, max_th = 2.588522e+00, time=2024-09-06 17:56:37 
jj1 = 402, max_th = 1.261776e+00, time=2024-09-06 18:00:34 
jj1 = 252, max_th = 1.386838e+00, time=2024-09-06 18:03:22 
jj1 = 365, max_th = 1.923663e+00, time=2024-09-06 18:03:47 
jj1 = 286, max_th = 2.382018e+00, time=2024-09-06 18:04:32 
jj1 = 444, max_th = 1.924232e+00, time=2024-09-06 18:04:41 
jj1 = 328, max_th = 2.178294e+00, time=2024-09-06 18:05:03 
jj1 = 172, max_th = 2.382330e+00, time=2024-09-06 18:05:09 
jj1 = 212, max_th = 1.919657e+00, time=2024-09-06 18:05:15 
jj1 = 92, max_th = 2.111763e+00, time=2024-09-06 18:05:42 
jj1 = 401, max_th = 2.752942e+00, time=2024-09-06 18:06:03 
